postcode,mean_ptal
BR1 1AA,24.4005
BR1 1AB,28.5572
BR1 1AD,24.4005
BR1 1AE,21.1558
BR1 1AF,24.4005
BR1 1AG,24.4005
BR1 1AH,24.4005
BR1 1AJ,24.4005
BR1 1AL,28.5572
BR1 1AX,28.5572
BR1 1BA,20.9143
BR1 1BB,20.9143
BR1 1BP,10.5695
BR1 1BQ,24.4005
BR1 1BS,28.5572
BR1 1BT,19.1676
BR1 1BU,10.5695
BR1 1BW,20.9143
BR1 1BX,28.5572
BR1 1BY,28.5572
BR1 1BZ,28.5572
BR1 1DA,24.4005
BR1 1DB,28.5572
BR1 1DD,28.5572
BR1 1DE,10.5695
BR1 1DF,10.5695
BR1 1DG,10.5695
BR1 1DH,10.5695
BR1 1DJ,28.5572
BR1 1DL,10.5695
BR1 1DN,28.5572
BR1 1DP,20.9143
BR1 1DQ,10.5695
BR1 1DR,20.9143
BR1 1DS,24.4005
BR1 1DT,10.5695
BR1 1DU,20.9143
BR1 1DW,21.1558
BR1 1DX,28.5572
BR1 1EA,24.4005
BR1 1EE,24.4005
BR1 1EG,24.4005
BR1 1EH,28.5572
BR1 1EJ,24.4005
BR1 1EL,24.4005
BR1 1EN,24.4005
BR1 1EP,24.4005
BR1 1ER,24.4005
BR1 1ES,21.1558
BR1 1EU,21.1558
BR1 1EW,21.1558
BR1 1EX,21.1558
BR1 1EY,21.1558
BR1 1EZ,21.1558
BR1 1GA,21.1558
BR1 1HA,21.1558
BR1 1HB,21.1558
BR1 1HD,28.5572
BR1 1HE,21.1558
BR1 1HF,21.1558
BR1 1HG,21.1558
BR1 1HH,28.5572
BR1 1HJ,21.1558
BR1 1HL,21.1558
BR1 1HN,24.4005
BR1 1HP,24.4005
BR1 1HQ,21.1558
BR1 1HR,24.4005
BR1 1HS,24.4005
BR1 1HT,24.4005
BR1 1HU,24.4005
BR1 1HW,24.4005
BR1 1HX,24.4005
BR1 1HY,24.4005
BR1 1HZ,24.4005
BR1 1JA,24.4005
BR1 1JB,21.1558
BR1 1JD,28.5572
BR1 1JF,28.5572
BR1 1JG,28.5572
BR1 1JH,28.5572
BR1 1JJ,21.1558
BR1 1JL,28.5572
BR1 1JN,24.4005
BR1 1JP,24.4005
BR1 1JQ,24.4005
BR1 1JR,24.4005
BR1 1JS,21.1558
BR1 1JT,24.4005
BR1 1JU,24.4005
BR1 1JW,24.4005
BR1 1JX,24.4005
BR1 1JY,24.4005
BR1 1LA,24.4005
BR1 1LB,28.5572
BR1 1LD,24.4005
BR1 1LE,24.4005
BR1 1LF,24.4005
BR1 1LG,24.4005
BR1 1LH,24.4005
BR1 1LJ,24.4005
BR1 1LL,24.4005
BR1 1LN,24.4005
BR1 1LP,24.4005
BR1 1LQ,24.4005
BR1 1LR,24.4005
BR1 1LS,24.4005
BR1 1LT,24.4005
BR1 1LU,24.4005
BR1 1LW,24.4005
BR1 1LX,24.4005
BR1 1LY,28.5572
BR1 1LZ,24.4005
BR1 1NA,28.5572
BR1 1NB,21.1558
BR1 1ND,28.5572
BR1 1NE,28.5572
BR1 1NF,28.5572
BR1 1NG,28.5572
BR1 1NH,24.4005
BR1 1NJ,28.5572
BR1 1NL,28.5572
BR1 1NN,28.5572
BR1 1NP,28.5572
BR1 1NQ,28.5572
BR1 1NR,24.4005
BR1 1NS,24.4005
BR1 1NT,24.4005
BR1 1NU,24.4005
BR1 1NW,24.4005
BR1 1NX,24.4005
BR1 1NY,28.5572
BR1 1NZ,28.5572
BR1 1PA,28.5572
BR1 1PB,28.5572
BR1 1PD,28.5572
BR1 1PE,28.5572
BR1 1PF,28.5572
BR1 1PG,28.5572
BR1 1PH,28.5572
BR1 1PJ,28.5572
BR1 1PL,28.5572
BR1 1PN,28.5572
BR1 1PP,24.4005
BR1 1PQ,28.5572
BR1 1PR,28.5572
BR1 1PS,28.5572
BR1 1PT,10.5695
BR1 1PU,28.5572
BR1 1PW,28.5572
BR1 1PX,28.5572
BR1 1PY,28.5572
BR1 1PZ,28.5572
BR1 1QA,28.5572
BR1 1QB,28.5572
BR1 1QD,21.1558
BR1 1QE,24.4005
BR1 1QF,28.5572
BR1 1QG,28.5572
BR1 1QH,24.4005
BR1 1QJ,24.4005
BR1 1QL,24.4005
BR1 1QN,24.4005
BR1 1QP,24.4005
BR1 1QQ,24.4005
BR1 1QR,24.4005
BR1 1QS,28.5572
BR1 1QT,24.4005
BR1 1QU,24.4005
BR1 1QW,24.4005
BR1 1QX,28.5572
BR1 1QY,21.1558
BR1 1RA,28.5572
BR1 1RB,24.4005
BR1 1RD,28.5572
BR1 1RE,28.5572
BR1 1RF,24.4005
BR1 1RG,28.5572
BR1 1RH,24.4005
BR1 1RJ,28.5572
BR1 1RL,28.5572
BR1 1RN,28.5572
BR1 1RP,24.4005
BR1 1RQ,24.4005
BR1 1RR,28.5572
BR1 1RS,28.5572
BR1 1RT,28.5572
BR1 1RU,28.5572
BR1 1RW,28.5572
BR1 1RX,28.5572
BR1 1RY,28.5572
BR1 1RZ,28.5572
BR1 1SA,28.5572
BR1 1SB,24.4005
BR1 1SD,24.4005
BR1 1SE,24.4005
BR1 1SG,24.4005
BR1 1SH,28.5572
BR1 1SJ,24.4005
BR1 1SP,24.4005
BR1 1SR,24.4005
BR1 1SS,24.4005
BR1 1ST,24.4005
BR1 1SU,24.4005
BR1 1SZ,24.4005
BR1 1TA,24.4005
BR1 1TB,21.1558
BR1 1TD,24.4005
BR1 1TE,28.5572
BR1 1TF,24.4005
BR1 1TG,24.4005
BR1 1TH,21.1558
BR1 1TJ,28.5572
BR1 1TL,24.4005
BR1 1TN,24.4005
BR1 1TP,28.5572
BR1 1TQ,24.4005
BR1 1TR,24.4005
BR1 1TS,24.4005
BR1 1TT,24.4005
BR1 1TU,24.4005
BR1 1TW,24.4005
BR1 1TX,21.1558
BR1 1TY,28.5572
BR1 1UA,28.5572
BR1 1UB,28.5572
BR1 1UD,28.5572
BR1 1UE,28.5572
BR1 1UF,21.1558
BR1 1UG,21.1558
BR1 1UH,28.5572
BR1 1WA,28.5572
BR1 1WB,28.5572
BR1 1WD,28.5572
BR1 1WE,28.5572
