,,,,,,,,,,,,
"Average interest rates for mortgages in the United Kingdom (UK) from January 2000 to August 2025, by type of mortgage",,,,,,,,,,,,
Period,2 year fixed rate mortgages,3 year fixed mortgage,5 year fixed mortgage,10 year fixed,2 year variable,Average,,,,,,
Jan 2015,2.01,2.86,3.09,3.95,1.60,2.70,,,,,,
Feb 2015,1.96,2.62,3.05,3.67,1.61,2.58,,,,,,
Mar 2015,1.99,2.63,2.98,3.47,1.56,2.53,,,,,,
Apr 2015,1.95,2.57,2.92,3.49,1.55,2.50,,,,,,
May 2015,1.90,2.56,2.86,3.28,1.56,2.43,,,,,,
Jun 2015,1.83,2.54,2.82,3.24,1.66,2.42,,,,,,
Jul 2015,1.87,2.54,2.83,3.34,1.70,2.46,,,,,,
Aug 2015,1.95,2.55,2.92,3.33,1.72,2.49,,,,,,
Sep 2015,1.91,2.40,2.84,3.35,1.74,2.45,,,,,,
Oct 2015,1.87,2.30,2.78,3.29,1.78,2.40,,,,,,
Nov 2015,1.92,2.27,2.77,3.37,1.78,2.42,,,,,,
Dec 2015,1.90,2.26,2.75,3.36,1.78,2.41,,,,,,
Jan 2016,1.93,2.19,2.68,3.27,1.68,2.35,,,,,,
Feb 2016,1.95,2.14,2.73,3.20,1.68,2.34,,,,,,
Mar 2016,1.90,2.14,2.70,3.19,1.67,2.32,,,,,,
Apr 2016,1.84,2.13,2.71,3.12,1.67,2.29,,,,,,
May 2016,1.91,2.12,2.64,3.15,1.61,2.29,,,,,,
Jun 2016,1.75,2.13,2.54,3.10,1.62,2.23,,,,,,
Jul 2016,1.72,2.09,2.51,3.05,1.72,2.22,,,,,,
Aug 2016,1.69,2.02,2.39,3.04,1.52,2.13,,,,,,
Sep 2016,1.59,1.92,2.34,2.84,1.54,2.05,,,,,,
Oct 2016,1.52,1.83,2.27,2.75,1.52,1.98,,,,,,
Nov 2016,1.43,1.79,2.25,2.78,1.52,1.95,,,,,,
Dec 2016,1.45,1.79,2.26,2.98,1.48,1.99,,,,,,
Jan 2017,1.45,1.75,2.22,2.93,1.49,1.97,,,,,,
Feb 2017,1.42,1.70,2.20,2.91,1.48,1.94,,,,,,
Mar 2017,1.37,1.68,2.15,2.80,1.42,1.88,,,,,,
Apr 2017,1.35,1.65,2.09,2.78,1.39,1.85,,,,,,
May 2017,1.49,1.73,2.03,2.83,1.46,1.91,,,,,,
Jun 2017,1.48,1.70,1.99,2.82,1.42,1.88,,,,,,
Jul 2017,1.41,1.81,1.97,2.77,1.38,1.87,,,,,,
Aug 2017,1.43,1.62,1.96,2.77,1.39,1.83,,,,,,
Sep 2017,1.40,1.60,1.90,2.72,1.46,1.82,,,,,,
Oct 2017,1.55,1.70,2.04,2.67,1.46,1.88,,,,,,
Nov 2017,1.61,1.68,2.04,2.67,1.69,1.94,,,,,,
