lsoa,mean_ptal_score,ptal_rating,sample_postcode,borough_outbound
E01000001,69.8233,6b,EC1A 4AA,8_EC1A
E01000002,83.782,6b,EC1Y 4AG,8_EC2Y
E01000003,41.7417,6b,EC1M 7AA,8_EC1Y
E01000005,85.8893,6b,E1 7AA,8_E1
E01000006,22.4558,5,IG11 9SU,1_IG11
E01000007,33.3023,6a,IG11 8AH,1_IG11
E01000008,7.39059,2,IG11 8AD,1_IG11
E01000009,38.3641,6a,IG11 8EA,1_IG11
E01000010,32.286,6a,IG11 7AR,1_IG11
E01000011,31.9167,6a,IG11 8QE,1_IG11
E01000012,16.2314,4,IG11 8FL,1_IG11
E01000013,13.1449,3,RM10 8DP,1_RM10
E01000014,7.46001,2,RM10 8NJ,1_RM10
E01000015,8.29508,2,RM10 8AW,1_RM10
E01000016,5.11561,2,RM10 7AN,1_RM10
E01000017,8.20281,2,RM10 7ST,1_RM10
E01000018,7.37822,2,RM10 8BN,1_RM10
E01000019,4.58686,1b,RM8 2BA,1_RM8
E01000020,6.75302,2,RM8 2JS,1_RM8
E01000021,4.86539,1b,IG11 8PD,1_RM8
E01000022,6.39859,2,RM8 2AU,1_RM8
E01000023,7.01491,2,IG11 9BY,1_IG11
E01000024,7.43551,2,RM8 2AA,1_RM8
E01000025,5.751210000000001,2,RM8 2AH,1_RM8
E01000027,3.85844,1b,RM5 2BG,1_RM5
E01000028,3.01489,1b,RM6 5EH,1_RM6
E01000029,2.5171,1b,RM6 5AE,1_RM6
E01000030,4.82101,1b,RM6 5AG,1_RM6
E01000031,4.07693,1b,RM6 5QX,1_RM6
E01000032,6.6856,2,RM6 4BF,1_RM6
E01000033,3.9150399999999994,1b,RM10 7AS,1_RM10
E01000034,3.51145,1b,RM10 7AA,1_RM10
E01000035,6.7778,2,RM10 7EA,1_RM10
E01000036,7.34586,2,RM10 7FQ,1_RM10
E01000037,2.32273,1a,RM7 0PH,1_RM7
E01000038,8.36135,2,RM7 0AS,1_RM7
E01000039,1.99736,1a,RM12 4PD,1_RM7
E01000040,9.00812,2,IG11 7RB,1_IG11
E01000041,5.72093,2,RM9 4DB,1_RM9
E01000042,8.48745,2,IG11 9FB,1_IG11
E01000043,7.26782,2,IG11 0TJ,1_IG11
E01000044,8.7118,2,IG11 7QL,1_IG11
E01000045,7.08704,2,IG11 0TS,1_IG11
E01000046,6.09177,2,RM9 4AG,1_RM9
E01000048,8.13742,2,IG11 7DU,1_IG11
E01000049,7.73561,2,IG11 0AT,1_IG11
E01000050,23.446000000000005,5,IG11 7AS,1_IG11
E01000051,13.4392,3,IG11 7AD,1_IG11
E01000052,7.91239,2,IG11 0AL,1_IG11
E01000053,5.84284,2,RM9 6AY,1_RM9
E01000054,6.31438,2,RM9 6AD,1_RM9
E01000055,7.7862,2,RM9 4EX,1_RM9
E01000056,1.6277100000000002,1a,RM9 6AR,1_RM9
E01000057,9.98087,2,RM9 4EU,1_RM9
E01000058,7.25869,2,RM9 6BX,1_RM9
E01000059,5.43468,2,RM9 6BN,1_RM9
E01000060,4.75043,1b,RM10 7DS,1_RM10
E01000061,7.36381,2,RM10 7AE,1_RM10
E01000062,4.4875,1b,RM10 7FR,1_RM10
E01000063,7.42822,2,RM10 7LJ,1_RM10
E01000064,4.11487,1b,RM10 7BG,1_RM10
E01000065,5.82993,2,RM10 7DE,1_RM10
E01000066,3.48363,1b,IG11 9AG,1_IG11
E01000067,5.81071,2,IG11 8UG,1_IG11
E01000068,16.9529,4,IG11 8SL,1_IG11
E01000069,8.91029,2,IG11 9AA,1_IG11
E01000070,9.08794,2,IG11 8FF,1_IG11
E01000071,8.50495,2,IG11 9BD,1_IG11
E01000072,3.4708,1b,RM8 2BJ,1_RM8
E01000073,3.68102,1b,RM8 2BL,1_RM8
E01000074,5.22423,2,RM8 2AW,1_RM8
E01000075,9.06998,2,RM9 4AA,1_RM9
E01000076,5.922669999999999,2,RM9 4AP,1_RM9
E01000077,7.48654,2,RM8 2AE,1_RM8
E01000078,6.90947,2,RM8 3BP,1_RM8
E01000079,5.87476,2,RM9 5AR,1_RM9
E01000080,5.88791,2,RM9 4AE,1_RM9
E01000081,4.9585,1b,RM9 5AJ,1_RM9
E01000082,4.94285,1b,RM8 3AA,1_RM8
E01000083,7.386190000000001,2,RM8 3AT,1_RM8
E01000084,13.9159,3,RM10 8QX,1_RM9
E01000085,13.5581,3,RM10 8QT,1_RM10
E01000086,11.3246,3,RM10 9NX,1_RM10
E01000087,7.1013,2,RM10 9DG,1_RM10
E01000088,4.09005,1b,RM10 9AB,1_RM10
E01000089,3.14651,1b,RM10 9BA,1_RM10
E01000090,2.62035,1b,RM10 9AR,1_RM10
E01000091,4.69844,1b,IG11 0AH,1_IG11
E01000092,1.89438,1a,IG11 0AB,1_IG11
E01000093,4.76951,1b,IG11 0AG,1_IG11
E01000094,3.08911,1b,IG11 0BF,1_IG11
E01000095,3.4989099999999995,1b,IG11 0RH,1_IG11
E01000096,3.51993,1b,IG11 0AE,1_IG11
E01000097,14.5706,3,RM8 1DB,1_RM8
E01000098,11.0563,3,RM8 1BL,1_RM8
E01000099,9.59104,2,RM8 1BF,1_RM8
E01000100,4.91511,1b,RM8 1BT,1_RM8
E01000101,8.70126,2,RM8 1BD,1_RM8
E01000102,5.78336,2,RM8 3AG,1_RM8
E01000103,3.04832,1b,RM10 8AG,1_RM10
E01000104,8.24809,2,RM10 8AE,1_RM10
E01000105,8.9166,2,RM10 8PE,1_RM10
E01000106,4.76699,1b,RM10 8AD,1_RM10
E01000107,2.67607,1b,RM10 8AT,1_RM10
E01000108,9.5896,2,RM10 7BZ,1_RM10
E01000109,4.30923,1b,RM8 1AE,1_RM8
E01000110,5.204680000000001,2,RM6 5BU,1_RM6
E01000111,5.31493,2,RM6 6AL,1_RM6
E01000112,9.71421,2,RM1 1HA,1_RM6
E01000113,14.5377,3,RM6 4BE,1_RM6
E01000114,5.97464,2,RM8 1AA,1_RM8
E01000115,7.010250000000001,2,EN4 8LH,2_EN4
E01000116,5.3088,2,EN4 8FT,2_EN4
E01000117,5.74797,2,EN4 8ER,2_EN4
E01000118,5.74361,2,EN4 8JN,2_EN4
E01000119,8.40527,2,N14 5AE,2_N14
E01000120,7.207479999999999,2,N14 5DG,2_N14
E01000121,3.31441,1b,N11 1DS,2_N11
E01000122,3.91162,1b,N11 1DD,2_N11
E01000123,5.58762,2,N11 1AZ,2_N11
E01000124,12.909899999999999,3,N11 1AW,2_N11
E01000125,12.3823,3,HA8 0AA,2_HA8
E01000126,4.62348,1b,NW9 5AN,2_NW9
E01000127,14.665600000000001,3,HA8 0EQ,2_HA8
E01000128,14.6214,3,HA8 0AZ,2_HA8
E01000129,20.5564,5,HA8 0AX,2_HA8
E01000130,9.84947,2,HA8 0DZ,2_HA8
E01000131,8.7169,2,HA8 0DP,2_NW9
E01000132,10.0333,3,HA8 0ND,2_HA8
E01000133,11.5425,3,HA8 0JD,2_HA8
E01000134,11.0418,3,HA8 0QP,2_HA8
E01000135,14.616,3,NW11 7RY,2_NW11
E01000136,11.6318,3,NW11 7HU,2_NW11
E01000137,11.4895,3,NW2 2AB,2_NW2
E01000138,10.2718,3,NW11 8SL,2_NW11
E01000139,10.1868,3,NW2 1HR,2_NW2
E01000140,14.5111,3,NW11 8AT,2_NW11
E01000141,17.3824,4,NW2 1BP,2_NW2
E01000142,12.9837,3,NW11 8HZ,2_NW11
E01000143,13.9178,3,NW2 2DL,2_NW2
E01000144,24.4656,5,NW11 0NX,2_NW11
E01000145,12.0305,3,NW11 8BN,2_NW11
E01000146,30.033499999999997,6a,NW11 7PA,2_NW11
E01000147,4.9307,1b,NW9 6DP,2_NW9
E01000148,11.2697,3,NW9 4BD,2_NW9
E01000150,5.09996,2,NW9 6AN,2_NW9
E01000151,4.13997,1b,NW9 5DZ,2_NW9
E01000152,3.94988,1b,NW7 2LA,2_NW7
E01000153,5.49369,2,NW7 2LE,2_NW7
E01000154,9.27649,2,NW9 1ZU,2_NW9
E01000155,12.0205,3,NW9 4AW,2_NW9
E01000156,8.16457,2,N10 1AB,2_N10
E01000157,4.75052,1b,N10 2ER,2_N10
E01000158,6.74756,2,N11 3AD,2_N11
E01000159,4.51445,1b,N11 3AR,2_N11
E01000160,7.35754,2,N11 1PX,2_N11
E01000161,9.4314,2,N11 3BN,2_N11
E01000162,10.2149,3,N11 3BH,2_N11
E01000163,3.79625,1b,N10 2EP,2_N10
E01000164,7.30712,2,N10 1AA,2_N10
E01000165,8.8973,2,N11 3AQ,2_N11
E01000166,5.24531,2,EN4 9AB,2_EN4
E01000167,1.79421,1a,EN4 9AG,2_EN4
E01000168,6.79275,2,EN4 9DY,2_EN4
E01000169,6.72274,2,EN4 9AA,2_EN4
E01000170,8.01471,2,EN4 8AG,2_EN4
E01000171,11.3282,3,EN4 8AA,2_EN4
E01000172,3.48235,1b,EN4 8HR,2_EN4
E01000173,3.15452,1b,EN4 8DT,2_EN4
E01000174,9.69772,2,EN4 8AE,2_EN4
E01000175,5.88037,2,EN4 8DA,2_EN4
E01000176,3.71903,1b,N2 0FD,2_N2
E01000177,5.02878,2,N2 0LT,2_N2
E01000178,4.0344,1b,N2 8AJ,2_N2
E01000179,3.10387,1b,N2 0SH,2_N2
E01000180,8.57823,2,N2 0AU,2_N2
E01000181,14.1528,3,N2 8AD,2_N2
E01000182,14.5049,3,N2 0NW,2_N2
E01000183,2.92704,1b,N2 0DB,2_N2
E01000184,1.93827,1a,N10 1JW,2_N2
E01000185,2.90637,1b,N2 8BZ,2_N2
E01000186,7.95126,2,HA8 8DJ,2_HA8
E01000187,4.09808,1b,HA8 8AR,2_HA8
E01000188,0.980628,1a,HA7 4LS,2_HA7
E01000189,1.9185599999999998,1a,HA8 8AA,2_HA8
E01000190,4.04547,1b,HA8 7QA,2_HA8
E01000191,10.5428,3,HA8 8BF,2_HA8
E01000192,21.4253,5,HA8 7AR,2_HA8
E01000193,20.0665,5,HA8 0BD,2_HA8
E01000194,16.0119,4,HA8 5AA,2_HA8
E01000195,1.50344,1a,HA8 8EW,2_HA8
E01000196,15.3315,4,N3 1BF,2_N3
E01000197,9.2003,2,N3 2FD,2_N3
E01000198,3.23133,1b,N3 3EF,2_N3
E01000199,4.50414,1b,N3 1DA,2_N3
E01000200,6.86817,2,N3 1FB,2_N3
E01000201,6.115429999999999,2,N3 3AU,2_N3
E01000202,7.46676,2,N3 3AJ,2_N3
E01000203,5.04058,2,N3 2SX,2_N3
E01000204,11.4422,3,N3 1AY,2_N3
E01000205,4.21301,1b,NW11 6BG,2_NW11
E01000206,2.80062,1b,N2 0AZ,2_N2
E01000207,3.8972800000000003,1b,N2 0DL,2_N2
E01000208,10.277599999999998,3,N2 0AA,2_N2
E01000209,5.37832,2,NW11 6AT,2_NW11
E01000210,3.9213899999999997,1b,N2 0DG,2_N2
E01000211,8.35726,2,N3 3JR,2_NW11
E01000212,7.74902,2,NW11 6TU,2_NW11
E01000213,3.3815199999999996,1b,N2 0EJ,2_N2
E01000214,16.6422,4,NW11 7BS,2_NW11
E01000215,12.709099999999998,3,NW11 0JN,2_NW11
E01000216,8.80247,2,NW11 0DA,2_NW11
E01000217,6.08947,2,NW11 0BG,2_NW11
E01000218,14.0212,3,NW11 8AU,2_NW11
E01000219,18.7051,4,NW11 9DT,2_NW11
E01000220,13.651,3,NW11 9AF,2_NW11
E01000221,13.3496,3,NW11 9EH,2_NW11
E01000222,6.68951,2,NW2 1AE,2_NW2
E01000223,8.4522,2,NW2 1AB,2_NW2
E01000224,9.28636,2,NW2 1BL,2_NW2
E01000225,5.41549,2,NW11 0AG,2_NW11
E01000226,6.72681,2,HA8 9BJ,2_HA8
E01000227,5.5744,2,HA8 9AS,2_HA8
E01000228,0.813966,1a,NW7 3AA,2_NW7
E01000229,2.50364,1b,HA8 8XE,2_HA8
E01000230,5.12524,2,HA8 8SU,2_HA8
E01000231,2.99059,1b,HA8 9SX,2_HA8
E01000232,7.25079,2,HA8 8BY,2_HA8
E01000233,7.01215,2,HA8 9GR,2_HA8
E01000234,11.8742,3,HA8 9NU,2_HA8
E01000235,12.1799,3,HA8 9BT,2_HA8
E01000236,6.55226,2,NW11 9JU,2_NW11
E01000237,14.3658,3,NW4 2AD,2_NW4
E01000238,4.37487,1b,NW11 9JY,2_NW11
E01000239,5.80517,2,NW4 4BF,2_NW4
E01000240,2.37931,1a,NW4 1HE,2_NW4
E01000241,2.21401,1a,NW4 1AA,2_NW4
E01000242,4.83334,1b,NW4 1AN,2_NW4
E01000243,7.486249999999999,2,NW4 1AB,2_NW4
E01000244,8.20936,2,NW4 1QF,2_NW4
E01000245,10.4143,3,NW4 1EQ,2_NW4
E01000246,2.34873,1a,EN4 0LY,2_EN5
E01000247,4.86619,1b,EN5 5BU,2_EN5
E01000248,10.5315,3,EN5 3DL,2_EN5
E01000249,2.11587,1a,EN5 3DG,2_EN5
E01000250,8.55294,2,EN5 4AY,2_EN5
E01000251,11.9501,3,EN4 8RR,2_EN4
E01000252,8.40912,2,EN5 1EQ,2_EN5
E01000253,1.16655,1a,EN5 2AA,2_EN5
E01000254,0.536905,1a,EN4 0NH,2_EN5
E01000255,1.77553,1a,NW7 1AY,2_NW7
E01000256,3.63009,1b,NW7 2AW,2_NW7
E01000257,7.101159999999999,2,N3 1RE,2_N3
E01000258,6.77941,2,NW7 0AA,2_NW7
E01000259,1.74679,1a,NW4 1PX,2_NW7
E01000260,2.56492,1b,NW4 1PS,2_NW4
E01000261,2.93094,1b,NW7 1AQ,2_NW7
E01000262,1.96018,1a,N12 7BN,2_NW7
E01000263,5.37449,2,NW7 3JD,2_NW7
E01000264,10.9522,3,NW7 2JU,2_NW7
E01000265,5.79479,2,N20 0BJ,2_N20
E01000266,4.41078,1b,N20 0BG,2_N20
E01000267,7.58199,2,EN4 0AD,2_EN5
E01000268,13.782999999999998,3,EN4 8RP,2_EN5
E01000269,10.0329,3,EN5 1AF,2_EN5
E01000270,10.4929,3,EN5 1AG,2_EN5
E01000271,9.08156,2,EN5 1BJ,2_EN5
E01000272,7.15502,2,EN5 1BX,2_EN5
E01000273,12.1505,3,N20 0HP,2_N20
E01000274,6.76218,2,N20 0AA,2_N20
E01000275,7.429120000000001,2,N12 7AG,2_N12
E01000276,2.91234,1b,N12 7AA,2_N12
E01000277,10.138,3,N12 0DX,2_N12
E01000278,5.12517,2,N12 7AP,2_N12
E01000279,1.48978,1a,N20 8AA,2_N20
E01000280,4.76207,1b,N20 8DL,2_N20
E01000281,10.1968,3,N20 0AW,2_N20
E01000282,9.58732,2,N20 0EZ,2_N20
E01000283,4.22068,1b,N12 7ET,2_N12
E01000284,7.858110000000001,2,N12 7EA,2_N12
E01000285,3.18573,1b,EN5 2DE,2_EN5
E01000286,4.57522,1b,EN5 2RT,2_EN5
E01000287,4.13223,1b,EN5 2AL,2_EN5
E01000288,8.34093,2,EN5 2BA,2_EN5
E01000289,6.94427,2,EN5 2DJ,2_EN5
E01000290,1.48016,1a,EN5 2AB,2_EN5
E01000291,3.04293,1b,EN5 2FA,2_EN5
E01000292,8.10976,2,EN5 2AF,2_EN5
E01000293,16.1789,4,EN5 2EA,2_EN5
E01000294,6.761240000000001,2,EN5 2NF,2_EN5
E01000295,14.5725,3,N3 2BB,2_N3
E01000296,16.7983,4,N3 1AA,2_N3
E01000297,5.7428,2,N3 2AA,2_N3
E01000298,12.4266,3,N3 1DY,2_N3
E01000299,12.996,3,N12 0BH,2_N12
E01000300,11.1317,3,N12 7DH,2_N12
E01000301,11.159,3,N12 7HP,2_N12
E01000302,14.058200000000001,3,N12 0ES,2_N12
E01000303,7.75464,2,N3 1AB,2_N3
E01000304,8.91359,2,N3 1AQ,2_N3
E01000305,4.53612,1b,NW2 1LY,2_NW9
E01000306,10.6458,3,NW4 3BE,2_NW4
E01000307,13.583199999999998,3,NW2 1JS,2_NW4
E01000308,3.59251,1b,NW9 0BL,2_NW9
E01000309,13.4253,3,NW4 3AF,2_NW4
E01000310,16.9418,4,NW4 3AA,2_NW4
E01000311,11.2528,3,NW11 9JQ,2_NW11
E01000312,7.463759999999999,2,NW9 6AS,2_NW9
E01000313,12.4284,3,NW4 3ED,2_NW4
E01000314,17.8886,4,NW4 3AQ,2_NW4
E01000315,4.27959,1b,N12 0AG,2_N12
E01000316,5.17573,2,N12 0AE,2_N12
E01000317,13.0089,3,N12 0BE,2_N12
E01000318,7.65489,2,N12 0AA,2_N12
E01000319,5.79505,2,N12 0HZ,2_N3
E01000320,4.41757,1b,N12 8FA,2_N12
E01000321,8.3204,2,N12 8FB,2_N12
E01000322,5.7123,2,N12 9BB,2_N12
E01000323,12.3449,3,N12 0DS,2_N12
E01000324,6.64776,2,N12 0LA,2_N12
E01000325,8.32679,2,DA7 6BE,3_DA7
E01000326,3.41403,1b,DA1 4RA,3_DA7
E01000327,13.200300000000002,3,DA7 4LU,3_DA7
E01000328,2.8506499999999995,1b,DA1 4DL,3_DA1
E01000329,8.2841,2,DA6 7AT,3_DA6
E01000330,17.4417,4,DA7 4HL,3_DA7
E01000331,3.10323,1b,DA5 1PF,3_DA5
E01000332,7.260139999999999,2,DA17 5BW,3_DA17
E01000333,4.65451,1b,DA17 5ED,3_DA17
E01000334,3.74277,1b,DA17 5DZ,3_DA17
E01000335,3.6927,1b,DA17 6AG,3_DA17
E01000336,8.93537,2,DA17 5AA,3_DA17
E01000337,4.86354,1b,DA17 5AF,3_DA17
E01000338,7.48566,2,DA17 5AE,3_DA17
E01000339,4.67548,1b,DA15 8AA,3_DA15
E01000340,2.61588,1b,DA15 8PX,3_DA15
E01000341,3.27627,1b,DA15 8AZ,3_DA15
E01000342,2.81472,1b,DA15 8HL,3_DA15
E01000343,4.57313,1b,DA15 8JU,3_DA15
E01000344,4.49253,1b,DA15 8AT,3_DA15
E01000345,4.67157,1b,DA15 8EL,3_DA15
E01000346,3.83546,1b,DA15 9BB,3_DA15
E01000347,4.94347,1b,DA15 8NU,3_DA15
E01000348,3.23538,1b,DA5 1BN,3_DA5
E01000349,4.25791,1b,DA5 1BW,3_DA5
E01000350,3.73397,1b,DA15 8LN,3_DA15
E01000351,3.14063,1b,DA15 9LD,3_DA15
E01000352,4.45,1b,DA15 9BE,3_DA15
E01000353,3.8967,1b,DA7 4PB,3_DA7
E01000354,6.9721400000000004,2,DA7 4ES,3_DA7
E01000355,7.68435,2,DA7 5AJ,3_DA7
E01000356,12.1571,3,DA7 4AB,3_DA7
E01000357,6.53809,2,DA7 4TG,3_DA7
E01000358,8.54207,2,DA7 4DS,3_DA7
E01000359,4.70258,1b,DA7 4SS,3_DA7
E01000360,16.1787,4,DA6 7AE,3_DA6
E01000361,5.08739,2,DA6 8DP,3_DA6
E01000362,15.0623,4,DA6 7AD,3_DA6
E01000363,5.38097,2,DA5 1HD,3_DA5
E01000364,3.823,1b,DA5 1PU,3_DA5
E01000365,10.9912,3,DA6 7DA,3_DA6
E01000366,15.4365,4,DA16 1AN,3_DA6
E01000367,3.20996,1b,DA8 3BB,3_DA8
E01000368,2.41844,1a,DA7 6RN,3_DA7
E01000369,4.21462,1b,DA7 6QL,3_DA7
E01000370,10.7576,3,DA7 6HD,3_DA7
E01000371,4.976890000000001,1b,DA7 6PH,3_DA7
E01000372,3.50441,1b,DA8 3AT,3_DA8
E01000373,3.1140700000000003,1b,DA8 3AQ,3_DA8
E01000374,2.26362,1a,DA1 4GA,3_DA1
E01000375,6.52067,2,DA1 3NP,3_DA1
E01000376,2.19275,1a,DA1 4HT,3_DA1
E01000377,1.62648,1a,DA1 4DY,3_DA1
E01000378,4.31319,1b,DA1 3PN,3_DA1
E01000379,7.0541100000000005,2,DA1 3LD,3_DA1
E01000380,5.18912,2,DA1 4FB,3_DA1
E01000381,1.4313500000000001,1a,DA14 4PH,3_DA14
E01000382,3.01202,1b,DA14 4JH,3_DA14
E01000383,0.677378,1a,DA14 5AN,3_DA14
E01000384,7.69227,2,DA14 4QG,3_DA14
E01000385,3.61829,1b,DA14 5AE,3_DA14
E01000386,6.65619,2,DA14 5AB,3_DA14
E01000387,7.4484,2,DA14 4BF,3_DA14
E01000388,4.35928,1b,DA16 1SY,3_DA16
E01000389,8.03609,2,DA16 1SW,3_DA6
E01000390,2.8985599999999994,1b,DA5 1DB,3_DA5
E01000391,1.68107,1a,DA15 9PN,3_DA15
E01000392,11.2378,3,DA16 1AA,3_DA16
E01000393,8.81402,2,DA16 1HP,3_DA16
E01000394,15.4882,4,DA6 8BJ,3_DA6
E01000395,4.94627,1b,DA16 2RU,3_DA16
E01000396,4.80394,1b,DA16 2QP,3_DA16
E01000398,3.35725,1b,DA16 3BJ,3_DA16
E01000399,8.83361,2,DA16 2QR,3_DA16
E01000400,10.4133,3,DA16 3AH,3_DA16
E01000401,11.8369,3,DA16 3AS,3_DA16
E01000402,3.55182,1b,DA17 6EW,3_DA17
E01000403,9.61681,2,DA8 1AB,3_DA8
E01000404,7.16235,2,DA8 1AD,3_DA8
E01000405,2.40968,1a,DA17 6FJ,3_DA17
E01000406,2.82144,1b,DA17 6FA,3_DA17
E01000407,5.89327,2,DA8 1DP,3_DA8
E01000408,2.32499,1a,DA17 6AA,3_DA17
E01000409,6.05412,2,DA16 2BN,3_DA16
E01000410,3.39149,1b,DA16 2LX,3_DA16
E01000411,3.93518,1b,DA15 8PF,3_DA15
E01000412,6.77975,2,DA15 8PD,3_DA15
E01000413,3.13988,1b,DA15 8FA,3_DA15
E01000414,15.578,4,DA16 2AA,3_DA16
E01000415,10.0208,3,DA16 2ED,3_DA16
E01000416,14.2417,3,SE2 9QG,3_SE2
E01000417,6.474680000000001,2,SE2 0AA,3_SE2
E01000418,8.33427,2,DA17 5DH,3_DA17
E01000419,3.82175,1b,DA7 5RA,3_DA7
E01000420,4.24964,1b,DA17 5NR,3_DA17
E01000421,3.69421,1b,DA7 5LG,3_DA7
E01000422,9.60783,2,DA18 4BP,3_SE2
E01000423,5.6252,2,DA14 6QG,3_DA14
E01000424,12.0637,3,DA14 6PA,3_DA15
E01000425,2.02419,1a,DA15 7LH,3_DA15
E01000426,4.01798,1b,DA14 6PR,3_DA14
E01000427,3.50594,1b,DA14 6AY,3_DA14
E01000428,8.34943,2,DA14 6AG,3_DA14
E01000429,1.88013,1a,DA8 2AB,3_DA8
E01000430,0.738143,1a,DA18 4AD,3_DA8
E01000431,3.88447,1b,DA8 2AF,3_DA8
