year,borough_outbound,area_bin,average_price,average_area,property_count
2015,10_HA0,Q1,222000.0,36.67,3
2015,10_HA0,Q2,380666.67,70.4,3
2015,10_HA0,Q3,225000.0,79.0,1
2015,10_HA0,Q4a,275000.0,110.0,1
2015,10_HA0,Q4b,,,0
2015,10_NW10,Q1,302177.12,47.88,17
2015,10_NW10,Q2,421000.0,69.32,5
2015,10_NW10,Q3,483987.29,88.5,21
2015,10_NW10,Q4a,650000.0,108.0,1
2015,10_NW10,Q4b,650000.0,158.0,1
2015,10_TW8,Q1,335000.0,45.64,2
2015,10_TW8,Q2,,,0
2015,10_TW8,Q3,,,0
2015,10_TW8,Q4a,,,0
2015,10_TW8,Q4b,,,0
2015,10_UB1,Q1,214460.71,49.38,28
2015,10_UB1,Q2,270491.67,67.57,30
2015,10_UB1,Q3,325337.21,89.24,43
2015,10_UB1,Q4a,331963.04,113.78,23
2015,10_UB1,Q4b,425000.0,172.5,2
2015,10_UB2,Q1,194148.75,47.21,40
2015,10_UB2,Q2,267870.0,68.06,55
2015,10_UB2,Q3,316798.8,88.33,56
2015,10_UB2,Q4a,440578.95,114.2,19
2015,10_UB2,Q4b,827346.67,209.15,15
2015,10_UB5,Q1,209945.01,45.49,110
2015,10_UB5,Q2,300942.03,68.27,116
2015,10_UB5,Q3,352825.62,87.73,121
2015,10_UB5,Q4a,413520.83,113.88,24
2015,10_UB5,Q4b,460000.0,166.14,2
2015,10_UB6,Q1,245579.98,46.49,94
2015,10_UB6,Q2,350518.55,69.4,89
2015,10_UB6,Q3,401798.66,87.12,153
2015,10_UB6,Q4a,472878.0,117.0,50
2015,10_UB6,Q4b,713125.0,182.25,8
2015,10_W12,Q1,,,0
2015,10_W12,Q2,675000.0,71.8,1
2015,10_W12,Q3,572250.0,80.0,2
2015,10_W12,Q4a,1155000.0,143.5,2
2015,10_W12,Q4b,,,0
2015,10_W13,Q1,369973.26,48.1,92
2015,10_W13,Q2,494930.46,67.27,87
2015,10_W13,Q3,655862.68,90.1,80
2015,10_W13,Q4a,780317.69,120.93,72
2015,10_W13,Q4b,1277867.86,187.6,42
2015,10_W3,Q1,328124.49,46.33,175
2015,10_W3,Q2,460000.27,68.74,124
2015,10_W3,Q3,574592.04,88.85,76
2015,10_W3,Q4a,834377.18,124.38,99
2015,10_W3,Q4b,1280298.03,199.7,38
2015,10_W4,Q1,471386.31,46.76,42
2015,10_W4,Q2,607947.94,70.3,77
2015,10_W4,Q3,836603.85,88.29,39
2015,10_W4,Q4a,1097940.34,120.19,76
2015,10_W4,Q4b,2043331.0,200.11,21
2015,10_W5,Q1,401577.28,48.56,191
2015,10_W5,Q2,488434.77,68.25,214
2015,10_W5,Q3,642904.72,87.41,133
2015,10_W5,Q4a,910609.97,124.32,122
2015,10_W5,Q4b,1377888.0,198.56,50
2015,10_W7,Q1,312881.75,48.09,63
2015,10_W7,Q2,408712.34,67.62,68
2015,10_W7,Q3,554761.81,91.68,72
2015,10_W7,Q4a,682221.04,119.5,57
2015,10_W7,Q4b,940142.86,184.86,7
2015,11_EN1,Q1,232931.02,47.88,147
2015,11_EN1,Q2,318486.49,68.42,154
2015,11_EN1,Q3,387383.6,89.4,203
2015,11_EN1,Q4a,491616.08,120.33,83
