priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
4206.34920634921,2023,2023-11-28,F,L,265000,IG11 7GW,E09000002,{152AB733-B73B-E651-E063-4704A8C061D9},5a6e6b6a24c2a840e15b66b8abcb70c3d09b4096b2f5e2ac0c98919fec29fac2,63.0,3.0,12,76,79,England and Wales: 1996-2002
4259.25925925926,2017,2017-06-28,F,L,230000,IG11 0XU,E09000002,{55BDCAE5-D63C-521D-E053-6B04A8C0DD7A},1516080632712017020216430198030049,54.0,3.0,11,80,80,England and Wales: 1996-2002
3964.28571428571,2019,2019-12-13,S,F,333000,RM10 9RJ,E09000002,{9DBAD221-9A19-6EB3-E053-6B04A8C0F257},302069721132019091122222395068202,84.0,3.0,12,62,84,England and Wales: 1930-1949
4381.16100766703,2022,2022-12-09,F,L,200000,IG11 8RR,E09000002,{F87E72F9-8070-176C-E053-6B04A8C0D2BE},446368229262010022820145253538650,45.65,2.0,11,82,82,England and Wales: 2003-2006
4455.28455284553,2016,2016-11-11,S,F,548000,IG11 9HD,E09000002,{453D27A2-E9AE-EF91-E050-A8C0630574D7},1442699394912016051221163296960046,123.0,6.0,11,49,79,England and Wales: 1930-1949
5500.0,2021,2021-07-30,T,F,330000,RM7 0SH,E09000002,{D707E535-A75B-0AD9-E053-6B04A8C067CC},1346906023532015072707495723278304,60.0,3.0,11,58,77,England and Wales: 1930-1949
4541.66666666667,2015,2015-12-16,T,F,272500,RM7 0SH,E09000002,{288DCE29-743F-E510-E050-A8C06205480E},1346906023532015072707495723278304,60.0,3.0,11,58,77,England and Wales: 1930-1949
3282.60869565217,2015,2015-01-09,T,F,377500,IG11 9HD,E09000002,{4F4EAED2-69A7-4704-B428-E6BAE61F7205},1197703577152014082914571792240825,115.0,5.0,11,56,83,England and Wales: 1930-1949
4719.6261682243,2023,2023-07-12,T,L,505000,IG11 7US,E09000002,{152AB734-3B27-E651-E063-4704A8C061D9},30f96734af4b75a7444ea4935c8ac3162fb15b6ce01b0be441c3033b277489ae,107.0,,11,83,93,2022
4268.29268292683,2018,2018-06-26,T,F,350000,RM8 1JS,E09000002,{726BF13A-A4DF-0A46-E053-6C04A8C01D0D},1583303909962017101919263334618403,82.0,4.0,11,66,85,England and Wales: 1930-1949
4229.35779816514,2023,2023-12-11,T,F,461000,RM6 6EX,E09000002,{152AB733-B61A-E651-E063-4704A8C061D9},b1a0c3bcb3b63c62cea0b30ec3ce637deac52571101fda26a14eaa810ce4c8e0,109.0,5.0,11,66,81,England and Wales: 1930-1949
3666.66666666667,2021,2021-10-22,F,L,165000,IG11 0LE,E09000002,{D4D42645-910D-27F6-E053-6C04A8C0A572},283632469262014052723234171638454,45.0,2.0,12,74,74,England and Wales: 1950-1966
3000.0,2015,2015-11-02,F,L,135000,IG11 0LE,E09000002,{2D1E4B26-33A2-FCD1-E050-A8C0630544EC},283632469262014052723234171638454,45.0,2.0,12,74,74,England and Wales: 1950-1966
5813.95348837209,2023,2023-06-22,T,F,500000,IG11 9TZ,E09000002,{045A1898-8BE5-9A24-E063-4804A8C048EA},20b9940ebc9dcb1d7eee932dfbbd4312b8944fa23f68682e802075e3ce32f90d,86.0,4.0,11,67,87,England and Wales: 1930-1949
4516.12903225806,2016,2016-02-26,T,F,280000,RM9 4AJ,E09000002,{2FD36065-68B4-4BF8-E050-A8C0620562B1},1397673249002015121807503441159668,62.0,3.0,11,49,88,England and Wales: 1930-1949
4247.05882352941,2022,2022-12-16,T,F,361000,RM6 5LH,E09000002,{FFA361DA-B9BA-8A03-E053-4804A8C01F61},9180ec1d629ec4596b7e3f4eac126decf457ffa2a9d4a20a0ffef41de3665f45,85.0,5.0,11,44,87,England and Wales: 1950-1966
3412.69841269841,2017,2017-12-15,F,L,215000,IG11 7GW,E09000002,{64342BFE-0EDC-422C-E053-6C04A8C0FB8A},1565326898252017080408294992030958,63.0,2.0,11,77,79,England and Wales: 1983-1990
4805.1948051948,2017,2017-07-14,T,F,370000,RM8 1PJ,E09000002,{55BDCAE5-D817-521D-E053-6B04A8C0DD7A},1449784256632016060217301266078204,77.0,4.0,11,53,81,England and Wales: 1930-1949
3045.97701149425,2016,2016-03-31,S,F,265000,RM10 9TJ,E09000002,{34428D7D-F367-B86C-E050-A8C06205059C},671529969002016101107531882969408,87.0,3.0,12,18,57,England and Wales: 1950-1966
6083.33333333333,2021,2021-10-26,T,F,365000,RM8 1RT,E09000002,{D707E535-1E6E-0AD9-E053-6B04A8C067CC},111361119402014070819355347840388,60.0,3.0,12,57,88,England and Wales: 1930-1949
4064.93506493506,2016,2016-03-01,T,F,313000,RM8 3HU,E09000002,{2FD36065-67E2-4BF8-E050-A8C0620562B1},1a5b98ec7706a8d3c4309e5453264e4089a28f68b62143de68a08a96f729e87a,77.0,3.0,11,73,86,England and Wales: 1950-1966
