priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
5783.78378378378,2022,2022-03-04,F,L,428000,NW11 6XX,E09000003,{EED73E75-198B-6AF3-E053-6C04A8C08ABA},b2d64c9d027ec209868d290d4b81827026e10caa6fab13e6412cb89e1029d637,74.0,3.0,11,72,82,England and Wales: 1930-1949
6666.66666666667,2020,2020-09-17,F,L,500000,NW9 4EU,E09000003,{CB0035E5-78FA-58AE-E053-6B04A8C091AF},1792116657032020031214242097978407,75.0,,11,86,86,NO DATA!
7855.85585585586,2018,2018-10-19,F,L,872000,NW11 7HB,E09000003,{7C2D06FF-9DF8-4963-E053-6B04A8C07B97},1627543679942018042917135451782218,111.0,4.0,11,81,82,England and Wales: 2007 onwards
7317.94383626844,2016,2016-05-27,F,L,615000,N11 3FP,E09000003,{369DFB15-4EED-3A19-E050-A8C0620518C6},676252348712011090910193099090783,84.04,4.0,11,72,74,England and Wales: 1900-1929
3766.23376623377,2023,2023-09-13,T,L,290000,N3 3SB,E09000003,{1061746E-3D49-3C34-E063-4804A8C0F9E7},1110769029942014060911362724140348,77.0,3.0,11,41,63,England and Wales: 1950-1966
4206.34920634921,2015,2015-06-19,F,L,265000,EN5 2PS,E09000003,{23B6165D-CFAA-FCF4-E050-A8C0620577FA},a66963e4af4ab01f6b59088a08e59c4d626bbfe9b1eb6cf8bef58ea157fb8fa9,63.0,3.0,11,67,77,England and Wales: 1900-1929
5500.0,2022,2022-08-05,F,L,302500,NW9 5FL,E09000003,{EC7AD099-36EC-9200-E053-6C04A8C0E306},1325649385352017101122134293939239,55.0,3.0,11,83,87,England and Wales: 2003-2006
5981.81818181818,2018,2018-02-23,F,L,329000,NW9 5FL,E09000003,{773788C2-3106-2CE4-E053-6C04A8C05E57},1325649385352017101122134293939239,55.0,3.0,11,83,87,England and Wales: 2003-2006
5633.80281690141,2016,2016-06-24,D,F,800000,HA8 8RP,E09000003,{3B7E0B90-2826-EA99-E050-A8C062057E77},1410716825812016020720130793060942,142.0,7.0,11,39,79,England and Wales: 1930-1949
11437.908496732,2016,2016-09-02,D,L,1750000,NW11 6PT,E09000003,{3E0330F0-1265-8D89-E050-A8C062052140},1146077349222014052315285873578754,153.0,7.0,11,44,84,England and Wales: 1900-1929
7050.0,2017,2017-03-24,F,L,282000,NW2 1UP,E09000003,{4E95D757-1713-EDA1-E050-A8C0630539E2},1298110437532015032016304650978902,40.0,2.0,11,70,80,England and Wales: 1996-2002
7467.32394366197,2020,2020-12-09,F,L,530180,NW7 1SX,E09000003,{D707E534-B9C7-0AD9-E053-6B04A8C067CC},aa0af7aef14eb9709250840e10a1c542703c5166988652bc68c406afdeb3ce7d,71.0,,11,85,85,
