priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
5076.92307692308,2015,2015-09-29,S,F,330000,DA7 4LU,E09000004,{23B6165E-6510-FCF4-E050-A8C0620577FA},1305980715612015040909451699050537,65.0,4.0,11,41,78,England and Wales: 1950-1966
3963.96396396396,2021,2021-07-30,T,F,440000,DA8 2BT,E09000004,{D22473F5-F0B1-7B40-E053-6C04A8C0A630},1076433569642014012209180719842228,111.0,,11,84,84,NO DATA!
5981.48148148148,2022,2022-01-10,F,L,323000,DA7 4DD,E09000004,{E073986B-A975-2134-E053-6C04A8C0233B},1428319400312016032920322596260648,54.0,3.0,11,62,77,England and Wales: 1950-1966
5092.59259259259,2016,2016-07-22,F,L,275000,DA7 4DD,E09000004,{3B7E0B90-5274-EA99-E050-A8C062057E77},1428319400312016032920322596260648,54.0,3.0,11,62,77,England and Wales: 1950-1966
6114.86486486487,2022,2022-09-16,F,L,452500,DA14 6HJ,E09000004,{FFA361DB-2565-8A03-E053-4804A8C01F61},6bc6fb92cb142439ed05be8f67c6cc2ceb263cc223d5efa35423bcd57cf5083a,74.0,,11,86,86,2019
5307.69230769231,2021,2021-02-16,F,L,276000,DA6 7BF,E09000004,{E073986B-AFDD-2134-E053-6C04A8C0233B},c9e1282ae8479734a00b1ba1ee1e30df06419b5967b23a747f206f71ecbeb9ab,52.0,,11,86,86,
3692.30769230769,2017,2017-07-14,F,L,240000,DA1 4DF,E09000004,{582D0637-743D-8F22-E053-6C04A8C01BAC},1538567708352017042506042493230854,65.0,3.0,11,64,69,England and Wales: 1950-1966
3465.98202824133,2015,2015-05-28,T,F,270000,DA16 2BY,E09000004,{631A89F4-3A12-4570-B77B-1E5C3D2E1940},719232199932011110115595389068099,77.9,4.0,11,62,64,England and Wales: 1930-1949
4172.01540436457,2019,2019-12-03,T,F,325000,DA16 2BY,E09000004,{9B361206-A257-1904-E053-6B04A8C0EEB5},719232199932011110115595389068099,77.9,4.0,11,62,64,England and Wales: 1930-1949
4295.77464788732,2022,2022-12-16,F,L,305000,DA7 4UR,E09000004,{F5E8B081-BA26-3A13-E053-6C04A8C060B7},1530807289142017032612411455032278,71.0,3.0,11,75,78,England and Wales: 1983-1990
3802.81690140845,2017,2017-09-08,F,L,270000,DA7 4UR,E09000004,{5A9D8B55-9F00-68EB-E053-6B04A8C0D293},1530807289142017032612411455032278,71.0,3.0,11,75,78,England and Wales: 1983-1990
5833.33333333333,2022,2022-08-25,F,L,245000,DA16 3DD,E09000004,{F5E8B081-B960-3A13-E053-6C04A8C060B7},081197cf474e4b85df2b284ff0d007dc85dbefb50a03950208df1638f21c588e,42.0,2.0,12,66,77,England and Wales: 1991-1995
4047.61904761905,2024,2024-08-22,F,L,255000,DA6 7PX,E09000004,{237B17FE-641D-22AC-E063-4804A8C0EA3A},7aa1e855cf7d7206e4fd98a2a95ec63f82ff5ac4826e09a4ce92887bc6eb72c4,63.0,3.0,12,55,69,England and Wales: 1967-1975
4500.0,2021,2021-06-18,S,F,360000,DA16 1AX,E09000004,{C8A3A576-8C27-0425-E053-6C04A8C0947B},99ad5fe298e4f34b14ae32ae8afbd6d91fd12d6a6b13c9b2dbc43d1335b7ab56,80.0,5.0,11,52,80,England and Wales: 1930-1949
4830.54545454545,2021,2021-03-05,F,L,265680,DA6 7BF,E09000004,{E2D14905-FB1A-4C2D-E053-6B04A8C0422B},26f2f21db46198792b77ae19b0d58f2c9fc5213e55b9df3a6e38fd6d9ea79ab8,55.0,,11,86,86,
5757.57575757576,2021,2021-08-23,T,F,380000,DA15 8RL,E09000004,{CD5A9DCC-3BF7-310A-E053-6C04A8C00A1F},9ef6c1a370545b2b586401d829ab2945fc75af21b67bd1e836886a4c2688fd3f,66.0,5.0,11,42,90,England and Wales: 1930-1949
6106.06060606061,2024,2024-08-27,T,F,403000,DA15 8RL,E09000004,{237B17FE-5B4B-22AC-E063-4804A8C0EA3A},9ef6c1a370545b2b586401d829ab2945fc75af21b67bd1e836886a4c2688fd3f,66.0,5.0,11,42,90,England and Wales: 1930-1949
5614.0350877193,2021,2021-04-09,T,F,320000,DA15 8RL,E09000004,{C8A3A576-8518-0425-E053-6C04A8C0947B},1719715439702019051015305968419708,57.0,3.0,11,61,82,England and Wales: 1930-1949
5714.22077922078,2019,2019-09-27,S,F,439995,DA15 8PZ,E09000004,{965B6D91-C87E-95E4-E053-6C04A8C07729},1719081859062019050818241674388331,77.0,4.0,11,60,84,England and Wales: 1930-1949
4758.77192982456,2018,2018-05-22,D,F,542500,DA5 2DE,E09000004,{6DA0844A-4D0A-30F2-E053-6B04A8C05F3B},1489561253152016101911432599969248,114.0,5.0,11,63,84,England and Wales: 1967-1975
5425.53191489362,2023,2023-03-31,F,L,255000,DA16 3DD,E09000004,{01EB45F0-22A3-40F3-E063-4704A8C05FDE},1500493049952016113021151696269847,47.0,2.0,11,68,75,England and Wales: 1991-1995
3650.40650406504,2017,2017-05-10,T,F,449000,DA15 9LF,E09000004,{50F18103-72C5-9FD5-E050-A8C063054923},1486331079742016100714035140760738,123.0,7.0,11,44,78,England and Wales: 1930-1949
4961.53846153846,2020,2020-02-14,T,F,322500,DA15 9LF,E09000004,{A2479555-8E03-74C7-E053-6B04A8C0887D},668148349922019091513495619478421,65.0,3.0,12,69,88,England and Wales: 1930-1949
5192.30769230769,2016,2016-07-11,T,F,337500,DA15 9LF,E09000004,{3914047A-18CB-3206-E050-A8C063057647},668148349922019091513495619478421,65.0,3.0,12,69,88,England and Wales: 1930-1949
3303.57142857143,2015,2015-08-21,F,L,185000,DA8 3BY,E09000004,{E4364BD8-2EA3-417F-BA47-91BB8E24AF6D},820623428232012080117212945078308,56.0,3.0,11,68,77,England and Wales: 1976-1982
3809.52380952381,2022,2022-09-16,T,F,320000,DA8 3BP,E09000004,{EC7AD09A-24A5-9200-E053-6C04A8C0E306},32801beba5b2b9210e9f67ba716b5c429170c68de1682c285c674282ef2d1174,84.0,5.0,11,55,77,England and Wales: 1930-1949
3797.61904761905,2022,2022-12-13,T,F,319000,DA8 3BP,E09000004,{F3B6C198-ADAF-6E40-E053-6C04A8C0B3B4},32801beba5b2b9210e9f67ba716b5c429170c68de1682c285c674282ef2d1174,84.0,5.0,11,55,77,England and Wales: 1930-1949
4375.0,2021,2021-04-30,S,F,350000,DA17 5JX,E09000004,{CD5A9DCC-4491-310A-E053-6C04A8C00A1F},1403010772712016011516330898960045,80.0,4.0,11,65,86,England and Wales: 1967-1975
5749.9,2021,2021-02-15,F,L,287495,DA6 7BF,E09000004,{1775CCF7-8A29-38BA-E063-4704A8C05A7C},f1e2c76703dac914217f9c742004f75bbc35c830ba804b58f8a576ac2eb47bf9,50.0,,11,86,86,
7145.63106796117,2023,2023-07-05,S,F,736000,DA6 8HE,E09000004,{045A1898-F515-9A24-E063-4804A8C048EA},a012af436773c4d314e1bae0f26cb89c568fd9fbca4e16b7d4e84e24558c648a,103.0,6.0,11,60,78,England and Wales: 1930-1949
3484.63187991422,2017,2017-08-24,T,F,390000,DA1 3QQ,E09000004,{5A9D8B55-42BF-68EB-E053-6B04A8C0D293},531535229542010082413574477902948,111.92,5.0,11,52,60,England and Wales: before 1900
3909.0421729807,2021,2021-06-25,T,F,437500,DA1 3QQ,E09000004,{D22473F5-7ABE-7B40-E053-6C04A8C0A630},531535229542010082413574477902948,111.92,5.0,11,52,60,England and Wales: before 1900
5058.82352941176,2020,2020-05-07,D,F,430000,DA17 5BD,E09000004,{A96E4ACC-7DE2-9205-E053-6C04A8C0DA09},1757099740252019100914245091910763,85.0,5.0,11,58,85,England and Wales: 1930-1949
5824.74226804124,2019,2019-04-05,S,F,565000,DA5 1BN,E09000004,{87E1551E-85E9-6405-E053-6C04A8C0B2EE},1651925949242018072919183852982978,97.0,5.0,11,68,85,England and Wales: 1930-1949
7186.4406779661,2024,2024-05-29,T,F,424000,DA15 8NE,E09000004,{1C3E72FE-84E5-F410-E063-4804A8C0DFA6},8ae2c2969e5e663fb2d5ac9cbbb0a1ee33ba2c3fd55b6bc1bdef32f88d62d33c,59.0,4.0,11,69,91,England and Wales: 1950-1966
6983.60655737705,2021,2021-05-28,S,F,426000,DA15 8PZ,E09000004,{D707E535-6425-0AD9-E053-6B04A8C067CC},55536539962018101921570553118418,61.0,5.0,12,55,83,England and Wales: 1930-1949
5147.05882352941,2021,2021-04-23,T,F,525000,DA7 5EW,E09000004,{CD5A9DCB-F2A6-310A-E053-6C04A8C00A1F},1823348560412020090417354529000878,102.0,5.0,11,58,82,England and Wales: 1930-1949
1204.81927710843,2015,2015-08-17,D,F,600000,DA15 7HJ,E09000004,{FAC86A0F-480A-473B-BEA5-FE44CCF72C1C},1770991529922019121610511098668461,498.0,,11,87,89,NO DATA!
6122.44897959184,2022,2022-11-07,D,F,600000,DA7 5DR,E09000004,{FD226036-2C58-4CB7-E053-4804A8C00430},78de394e59a3d5896b08fcac2a9718d7cb79d6f12ad5445b9168b20d3ee29fed,98.0,4.0,11,66,83,England and Wales: 1950-1966
4275.36231884058,2020,2020-06-19,F,L,295000,DA14 6QL,E09000004,{AE4D86D4-59E5-4619-E053-6C04A8C03CD0},46766839942019031820040152519188,69.0,3.0,12,83,83,England and Wales: 2007 onwards
