priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
4351.85185185185,2017,2017-10-25,F,L,235000,CM14 4EP,E07000068,{5F54B81D-0B32-2B45-E053-6B04A8C01FB0},1049bb91f07383224b963cb95af4ec02ca48820f7bd5022838b79a2ba2acb833,54.0,2.0,12,81,81,England and Wales: 2003-2006
6585.36585365854,2023,2023-08-31,F,L,270000,CM14 4HZ,E07000068,{0B85394F-E469-69A5-E063-4704A8C07DAC},927508319142013051512373507879558,41.0,,11,82,82,NO DATA!
3654.49438202247,2016,2016-07-05,S,F,650500,CM14 4ND,E07000068,{39140479-9058-3206-E050-A8C063057647},603763093512015110920230397059388,178.0,8.0,12,75,83,England and Wales: 1930-1949
9840.8956982911,2023,2023-03-02,D,F,835000,CM13 3RA,E07000068,{F87E72F8-E261-176C-E053-6B04A8C0D2BE},538272309062010090913192049018370,84.85,6.0,11,47,54,England and Wales: 1950-1966
3577.98165137615,2015,2015-01-09,D,F,390000,CM15 0XA,E07000068,{92016C75-B870-43A3-A7D0-D80272D18A78},1195983279752015051115455091950022,109.0,6.0,12,59,84,England and Wales: 1967-1975
4339.4495412844,2016,2016-03-01,D,F,473000,CM15 0XA,E07000068,{31FB4C17-34D4-57B9-E050-A8C063053436},1195983279752015051115455091950022,109.0,6.0,12,59,84,England and Wales: 1967-1975
4852.6863084922,2022,2022-05-25,F,L,280000,CM14 4EU,E07000068,{E2D14905-642D-4C2D-E053-6B04A8C0422B},634918039752011052716171690290085,57.7,,11,80,81,NO DATA!
4117.48558880044,2015,2015-10-02,T,F,300000,CM14 4BT,E07000068,{23B6165E-316C-FCF4-E050-A8C0620577FA},487791619842010091018271074609908,72.86,3.0,12,50,59,England and Wales: 1900-1929
4171.0758377425,2019,2019-01-09,D,F,473000,CM15 0XA,E07000068,{8355F008-EBC8-55C5-E053-6B04A8C0D090},391907481252009110410372504019960,113.4,6.0,11,57,71,
6956.52173913043,2019,2019-09-26,D,F,960000,CM15 0HD,E07000068,{965B6D91-4B2D-95E4-E053-6C04A8C07729},1719147633412019050816383093010567,138.0,6.0,11,60,80,England and Wales: 1930-1949
4281.25,2018,2018-05-03,S,F,685000,CM14 5JN,E07000068,{6DA08449-DDB2-30F2-E053-6B04A8C05F3B},175244879922017081300391793498263,160.0,7.0,12,65,79,England and Wales: 1900-1929
3602.27272727273,2016,2016-12-22,F,L,317000,CM14 4NH,E07000068,{49B78529-FA29-7921-E050-A8C063056E8D},1469676959142016080921474947660118,88.0,3.0,11,74,76,England and Wales: 1983-1990
3806.81818181818,2022,2022-10-06,F,L,335000,CM14 4NH,E07000068,{EC7AD099-9CDB-9200-E053-6C04A8C0E306},1469676959142016080921474947660118,88.0,3.0,11,74,76,England and Wales: 1983-1990
6416.66666666667,2020,2020-12-04,T,F,385000,CM14 5JQ,E07000068,{BA558B32-7469-76EF-E053-6B04A8C0B4B7},1455938305552016062212440395260345,60.0,3.0,11,62,91,England and Wales: 1900-1929
5166.66666666667,2016,2016-12-15,T,F,310000,CM14 5JQ,E07000068,{453D27A2-F2A6-EF91-E050-A8C0630574D7},1455938305552016062212440395260345,60.0,3.0,11,62,91,England and Wales: 1900-1929
5714.28571428571,2019,2019-04-25,D,F,520000,CM13 2SJ,E07000068,{8A78B2AF-7C91-5CB0-E053-6B04A8C0F504},1310393329302018110111495731580298,91.0,5.0,11,46,86,England and Wales: 1967-1975
5400.65310223562,2017,2017-11-10,F,L,215000,CM13 1LZ,E07000068,{61D8894D-D957-3DE6-E053-6C04A8C01207},742821385852012012720365090220594,39.81,2.0,11,71,76,England and Wales: 1950-1966
4169.80658126099,2015,2015-12-15,F,L,166000,CM13 1LZ,E07000068,{288DCE29-123D-E510-E050-A8C06205480E},742821385852012012720365090220594,39.81,2.0,11,71,76,England and Wales: 1950-1966
5777.44285355438,2022,2022-05-19,F,L,230000,CM13 1LZ,E07000068,{E53EDD2D-A68E-83EC-E053-6B04A8C03A59},742821385852012012720365090220594,39.81,2.0,11,71,76,England and Wales: 1950-1966
4925.37313432836,2023,2023-09-19,D,F,660000,CM15 0SZ,E07000068,{0B85394F-8946-69A5-E063-4704A8C07DAC},0d3948289337a95d7336461ed6b237f2f40d6acda602f57c9b19619f522621a5,134.0,6.0,11,57,90,England and Wales: 1950-1966
5000.0,2015,2015-01-22,S,F,325000,CM14 5JN,E07000068,{E03D3D36-1003-45B7-88FB-C9985B88DAEF},175968467312014091912012393940657,65.0,3.0,11,60,84,England and Wales: before 1900
4622.64150943396,2020,2020-09-14,F,L,245000,CM14 4HY,E07000068,{B82222EC-BE00-6691-E053-6B04A8C02FB2},1803884812922020061713522360838510,53.0,3.0,11,69,77,England and Wales: 1976-1982
4500.0,2018,2018-02-16,T,F,675000,CM4 0FP,E07000068,{8A78B2AF-838B-5CB0-E053-6B04A8C0F504},1558839749922017071209455202928153,150.0,,11,87,95,NO DATA!
5366.66666666667,2023,2023-08-08,T,F,805000,CM4 0FP,E07000068,{0B85394F-E514-69A5-E063-4704A8C07DAC},1558839749922017071209455202928153,150.0,,11,87,95,NO DATA!
4444.44444444444,2018,2018-08-24,T,F,360000,CM13 2DB,E07000068,{773788C2-8A0A-2CE4-E053-6C04A8C05E57},1296867539742015031822423031459238,81.0,4.0,11,64,86,England and Wales: 1950-1966
3641.97530864198,2015,2015-08-17,T,F,295000,CM13 2DB,E07000068,{23B6165E-2F66-FCF4-E050-A8C0620577FA},1296867539742015031822423031459238,81.0,4.0,11,64,86,England and Wales: 1950-1966
4970.58823529412,2020,2020-11-30,S,F,845000,CM15 0EL,E07000068,{BA558B32-739C-76EF-E053-6B04A8C0B4B7},1805099852802020062217382872002528,170.0,5.0,11,70,84,England and Wales: 1976-1982
3687.94326241135,2018,2018-02-02,S,F,520000,CM13 3RP,E07000068,{666758D6-C1B1-3363-E053-6B04A8C0D74E},1550490059022017060814151302388823,141.0,7.0,11,63,83,England and Wales: 1950-1966
5248.22695035461,2022,2022-11-14,S,F,740000,CM13 3RP,E07000068,{FD226035-C318-4CB7-E053-4804A8C00430},1550490059022017060814151302388823,141.0,7.0,11,63,83,England and Wales: 1950-1966
6145.17987453591,2018,2018-07-17,D,F,480000,CM14 4ND,E07000068,{726BF13A-AA3E-0A46-E053-6C04A8C01D0D},380339390962009101308495898328421,78.11,4.0,11,41,57,England and Wales: 1930-1949
4468.75,2015,2015-11-12,D,F,715000,CM4 9HB,E07000068,{288DCE29-09CC-E510-E050-A8C06205480E},1360406569062015090314051958778595,160.0,8.0,11,65,78,England and Wales: 1976-1982
2182.53968253968,2023,2023-10-09,F,L,137500,CM13 3TP,E07000068,{0B85394F-8962-69A5-E063-4704A8C07DAC},bf8d0935a8ef6da6ee4e1e56ebc286f5a6710af5778451dddde7ef8a69bd5421,63.0,5.0,11,50,62,England and Wales: 1950-1966
6034.48275862069,2019,2019-07-12,S,F,525000,CM13 1HG,E07000068,{8F1B26BD-9BC1-53DB-E053-6C04A8C03649},920893910452019021513182497910503,87.0,4.0,12,70,85,England and Wales: 1950-1966
6101.69491525424,2021,2021-09-03,F,L,360000,CM14 4JW,E07000068,{D93B27B0-3146-3100-E053-6C04A8C08887},1741157249062019090615452115398191,59.0,,11,83,83,NO DATA!
5137.61467889908,2022,2022-11-17,D,F,1120000,CM4 9HB,E07000068,{F16F63C5-9D7B-0491-E053-6C04A8C032ED},1bc411070c8327fa746ac57700213dca83583692ab8b03ea031b3f098a78cb5f,218.0,12.0,11,72,81,England and Wales: 1976-1982
3564.35643564356,2015,2015-08-18,S,F,360000,CM13 2TH,E07000068,{678F28D6-CE6D-4E67-A23A-B36BE7F83C31},1310161949962015041512584025058815,101.0,6.0,11,59,78,England and Wales: 1976-1982
3719.51219512195,2015,2015-09-25,T,F,305000,CM13 2DB,E07000068,{241A4A53-A306-706B-E050-A8C06205638B},1091510139222015062917013829918255,82.0,4.0,12,73,87,England and Wales: 1950-1966
5657.37051792829,2020,2020-12-18,D,F,1420000,CM14 4HR,E07000068,{C18F412A-C031-81A6-E053-6B04A8C0AD18},898332512962020081916274526418730,251.0,9.0,12,63,75,England and Wales: 1930-1949
8333.33333333333,2020,2020-11-20,S,F,475000,CM13 1HG,E07000068,{BA558B32-739B-76EF-E053-6B04A8C0B4B7},1677530339102018110915123161180818,57.0,4.0,11,59,84,England and Wales: 1950-1966
5615.75507395941,2016,2016-04-21,T,F,326500,CM14 5JQ,E07000068,{34428D7D-F888-B86C-E050-A8C06205059C},537226459922010091409342519878600,58.14,3.0,11,60,75,England and Wales: 1900-1929
6363.94908840729,2021,2021-06-18,T,F,370000,CM14 5JQ,E07000068,{CD5A9DCB-C738-310A-E053-6C04A8C00A1F},537226459922010091409342519878600,58.14,3.0,11,60,75,England and Wales: 1900-1929
5256.41025641026,2019,2019-09-11,F,L,205000,CM14 4XF,E07000068,{93E6821E-3D53-40FD-E053-6B04A8C0C1DF},1736898269742019071709531363519438,39.0,2.0,11,69,78,England and Wales: 1996-2002
6333.33333333333,2023,2023-02-27,F,L,247000,CM14 4XF,E07000068,{06C9F487-5942-9388-E063-4804A8C0BD98},1736898269742019071709531363519438,39.0,2.0,11,69,78,England and Wales: 1996-2002
6415.09433962264,2019,2019-10-25,S,F,340000,CM15 0AE,E07000068,{98C75471-C2D4-72E9-E053-6B04A8C042F0},1059594325112013121120433395979918,53.0,3.0,11,57,91,England and Wales: 1930-1949
3732.02614379085,2023,2023-11-29,S,F,571000,CM4 9AP,E07000068,{237B17FD-E764-22AC-E063-4804A8C0EA3A},e18f857ab8073c8dc9803c33ee30b32511c217d8ea86ade9baf0fab75b85b30a,153.0,4.0,11,77,84,England and Wales: 1950-1966
5937.5,2021,2021-04-30,F,L,380000,CM14 4JW,E07000068,{CFC9085C-3F24-9A70-E053-6B04A8C09D6A},1741109299002019090615450669510698,64.0,,11,83,83,NO DATA!
6415.09433962264,2021,2021-08-25,D,F,1020000,CM13 3QP,E07000068,{D93B27B0-A15F-3100-E053-6C04A8C08887},02b3b857521b5b830cd93b5bbc59cda1fed793dd3ece26f947121f6aa1df8d46,159.0,8.0,11,67,79,England and Wales: 1967-1975
4464.28571428571,2021,2021-06-01,D,F,750000,CM13 2QR,E07000068,{C8A3A576-214D-0425-E053-6C04A8C0947B},1807129005312020070120582627200075,168.0,8.0,11,60,72,England and Wales: 1950-1966
5326.08695652174,2019,2019-09-12,D,F,490000,CM14 5ES,E07000068,{93E6821E-38F9-40FD-E053-6B04A8C0C1DF},884199852732013022023185640978903,92.0,5.0,11,51,85,England and Wales: 1967-1975
