priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
10655.737704918,2016,2016-06-24,F,L,650000,NW3 7AT,E09000007,{42A5A709-7FC7-56E8-E050-A8C06205331E},1446810641012016052415220699260441,61.0,,12,80,80,NO DATA!
14144.4444444444,2018,2018-06-22,F,L,1273000,EC1N 7AE,E09000007,{75050A85-6EB2-9A88-E053-6B04A8C02390},1522780909062017060710011900238123,90.0,,11,83,83,NO DATA!
14644.4444444444,2021,2021-07-26,F,L,1318000,EC1N 7AE,E09000007,{D707E535-AC18-0AD9-E053-6B04A8C067CC},1522780909062017060710011900238123,90.0,,11,83,83,NO DATA!
15572.9166666667,2021,2021-01-21,T,F,1495000,NW3 2XN,E09000007,{BEF7EBBF-1CBC-7A76-E053-6B04A8C092F7},1809835842922020071417553960678630,96.0,5.0,11,49,76,England and Wales: 1930-1949
9104.4776119403,2015,2015-01-09,F,L,610000,NW3 2LB,E09000007,{4017BDAA-3147-40D1-835A-1CEE76AE64BB},831313756612012090310181193720905,67.0,4.0,11,54,74,England and Wales: before 1900
14752.4752475248,2018,2018-05-01,F,L,1490000,WC1X 8BD,E09000007,{75050A85-6EA9-9A88-E053-6B04A8C02390},1577406519002017092518072557432958,101.0,,11,85,85,NO DATA!
14821.4285714286,2015,2015-09-18,F,L,1245000,NW3 7SG,E09000007,{23B6165E-9EC9-FCF4-E050-A8C0620577FA},824360828232012081916174444978209,84.0,3.0,11,81,83,England and Wales: 1996-2002
12980.7692307692,2023,2023-08-30,F,L,675000,NW6 3DB,E09000007,{1061746E-3EE6-3C34-E063-4804A8C0F9E7},169d71193a00b83f8873cd9dbfd70a91ecb392aa8f5cff6b520a87f0ade4eb6d,52.0,2.0,12,71,80,England and Wales: 1900-1929
12045.4545454545,2019,2019-11-08,F,L,530000,WC1N 1HD,E09000007,{9B361206-848C-1904-E053-6B04A8C0EEB5},799013129062019070308441549998201,44.0,1.0,12,69,78,England and Wales: 1930-1949
10379.746835443,2018,2018-07-06,F,L,820000,NW3 7AS,E09000007,{773788C2-F056-2CE4-E053-6C04A8C05E57},1634814329642018052414592252882648,79.0,,11,84,84,NO DATA!
11111.1111111111,2024,2024-09-12,F,L,1000000,NW8 6JA,E09000007,{25E9DA81-2826-555E-E063-4704A8C066F2},bd89908477c3e050bb6c8c3e17bd75f5c3813b1f6a99591aa3f4552ed4daa0a9,90.0,4.0,12,68,82,England and Wales: 1930-1949
11451.6129032258,2020,2020-08-14,F,L,710000,NW3 2UT,E09000007,{B0A9D11B-A1EE-4C1F-E053-6C04A8C0D716},1602803928312018012419350799280450,62.0,3.0,11,71,82,England and Wales: 1900-1929
10126.582278481,2022,2022-12-16,T,F,1600000,NW3 2NG,E09000007,{F3B6C198-5EB3-6E40-E053-6C04A8C0B3B4},1643450308752018070516062798280450,158.0,6.0,11,54,82,England and Wales: 1900-1929
14955.3050847458,2017,2017-10-11,F,L,1764726,WC1X 8BD,E09000007,{666758D7-1835-3363-E053-6B04A8C0D74E},1577273956352017092518073091230154,118.0,,11,90,90,NO DATA!
9704.64135021097,2022,2022-09-30,T,F,2300000,NW6 1QD,E09000007,{EC7AD099-DD99-9200-E053-6C04A8C0E306},2e5527c52156c94d6e3eb9e053292acf2fd8e388586e578ed1894a82540687c5,237.0,6.0,11,71,84,England and Wales: 1930-1949
16573.5294117647,2018,2018-09-24,F,L,1127000,WC1X 8BD,E09000007,{7E86B6FB-1D28-458C-E053-6B04A8C0C84C},1581537724912018071217092894080755,68.0,,11,82,82,NO DATA!
7707.31707317073,2024,2024-07-15,F,L,316000,NW1 7NH,E09000007,{1EAE3DF6-C979-9EB1-E063-4704A8C09D02},48875109062019100900552225128311,41.0,2.0,12,66,77,England and Wales: 1900-1929
11088.0829015544,2021,2021-03-30,S,F,2140000,N6 6AL,E09000007,{C8A3A575-CBD3-0425-E053-6C04A8C0947B},ce48fdada2adf6c87104a162fb10c69c0cf244a32fa2cabb233d0badbfa7e09b,193.0,7.0,11,33,72,England and Wales: 1930-1949
14740.8801903882,2018,2018-03-29,T,F,4150000,NW1 8TP,E09000007,{6B32222C-7877-01F1-E053-6C04A8C0D2C8},95790589302010060214492244600328,281.53,,11,78,79,NO DATA!
13541.6666666667,2018,2018-09-07,F,L,325000,WC1H 0LP,E09000007,{79A74E21-E511-1289-E053-6B04A8C01627},1103146059432014111122444168978494,24.0,1.0,11,69,75,England and Wales: 1930-1949
9666.66666666667,2021,2021-04-30,F,L,1015000,NW6 3DB,E09000007,{CB0035E6-0B44-58AE-E053-6B04A8C091AF},4140092302020091416481242609298,105.0,4.0,11,70,80,England and Wales: 1900-1929
18958.7580645161,2017,2017-09-25,F,L,1175443,WC1X 8BD,E09000007,{666758D7-1822-3363-E053-6B04A8C0D74E},1575553809102017091909342755439518,62.0,,11,84,84,NO DATA!
8230.76923076923,2016,2016-10-03,F,L,321000,NW2 3XG,E09000007,{404A5AF3-C7B5-CD2B-E050-A8C063055C7B},203373052212020080520281721000353,39.0,2.0,12,70,77,England and Wales: 1900-1929
11290.3225806452,2022,2022-02-04,T,F,2800000,NW6 3HB,E09000007,{D93B27B1-150C-3100-E053-6C04A8C08887},9c64c523ce2913a6dd04ba216376a3574b93fb64f181afb8d7a49cddffd22232,248.0,10.0,11,58,76,England and Wales: 1900-1929
8667.88321167883,2021,2021-02-05,F,L,475000,NW6 3HB,E09000007,{C3C3F9B6-0F95-362B-E053-6B04A8C03ACC},41545020342008111306214754489578,54.8,2.0,11,69,71,England and Wales: before 1900
32433.3800841515,2017,2017-07-28,F,L,1850000,NW1 8XH,E09000007,{5A9D8B55-754D-68EB-E053-6B04A8C0D293},377194230742009100713470065812078,57.04,2.0,11,79,80,England and Wales: before 1900
6569.14893617021,2018,2018-10-26,F,L,617500,NW1 3JP,E09000007,{7C2D0700-67F9-4963-E053-6B04A8C07B97},1518159366652017020920104999030645,94.0,4.0,11,65,72,England and Wales: 1950-1966
13888.8888888889,2016,2016-03-29,F,L,625000,WC1H 9QR,E09000007,{31FB4C17-B30C-57B9-E050-A8C063053436},1391366269762015120108200980408885,45.0,3.0,11,48,71,England and Wales: 1950-1966
11619.7183098592,2021,2021-06-09,F,L,825000,NW3 3RD,E09000007,{CD5A9DCC-2462-310A-E053-6C04A8C00A1F},c3dd1ee6e46842a0e60522c78cb872ec61b1b8b54c949795455be8e4ad09b9c5,71.0,3.0,12,66,77,England and Wales: 1900-1929
11092.7152317881,2017,2017-02-10,F,L,1675000,NW6 2BR,E09000007,{55BDCAE6-42FB-521D-E053-6B04A8C0DD7A},1510008156712017010909391893030847,151.0,,11,83,83,NO DATA!
9888.88888888889,2021,2021-06-28,F,L,890000,NW6 3RP,E09000007,{CB0035E6-0A3D-58AE-E053-6B04A8C091AF},279122419132019012308475828268301,90.0,4.0,12,59,78,England and Wales: before 1900
12498.2142857143,2016,2016-12-22,F,L,349950,WC1H 0LP,E09000007,{4C4EDFFF-ABF9-1854-E050-A8C063054F34},1102778669142016092714064028062238,28.0,1.0,11,77,79,England and Wales: before 1900
11999.0,2017,2017-06-12,F,L,599950,WC1N 3PS,E09000007,{55BDCAE6-4238-521D-E053-6B04A8C0DD7A},1479231319922016091615462217568106,50.0,2.0,12,56,82,England and Wales: before 1900
11447.3684210526,2017,2017-05-02,F,L,435000,NW3 2HN,E09000007,{50F18103-520D-9FD5-E050-A8C063054923},768721629922013081922014006588497,38.0,2.0,12,73,79,England and Wales: before 1900
