priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
10208.3333333333,2022,2022-01-21,F,L,490000,EC4A 1EP,E09000001,{DE2D0CDF-F797-51EE-E053-6C04A8C00671},e945b620789bef005316b21cbd295a43066fe5a4d505e84854e29f9ffb4cad66,48.0,2.0,12,82,86,England and Wales: 2003-2006
10422.0779220779,2015,2015-10-16,F,L,802500,EC1Y 0ST,E09000001,{23B6165E-9D97-FCF4-E050-A8C0620577FA},651980999022011070809531558038509,77.0,4.0,12,70,70,England and Wales: 1950-1966
15189.8734177215,2019,2019-08-16,F,L,1200000,EC2Y 5AG,E09000001,{93E6821D-E5C2-40FD-E053-6B04A8C0C1DF},1186252058432014080615222995078808,79.0,,11,88,88,NO DATA!
12780.612244898,2015,2015-03-03,F,L,626250,EC2Y 5AG,E09000001,{637497CC-ECF1-4AFD-B581-E63781F99F4B},1186068049242014080615200025640258,49.0,,11,85,85,NO DATA!
14436.9230769231,2015,2015-01-29,F,L,938400,EC2Y 5AG,E09000001,{74550953-773F-4D4F-A43E-1E79826CD95B},1186003089062014080615153726958924,65.0,,12,87,87,NO DATA!
14693.8775510204,2018,2018-01-03,F,L,720000,EC2Y 5AG,E09000001,{64342BFD-AE68-422C-E053-6C04A8C0FB8A},1185956498812014080615200594040125,49.0,,11,85,85,NO DATA!
12959.1836734694,2015,2015-02-02,F,L,635000,EC2Y 5AG,E09000001,{0D2228AA-ABAB-41D8-9E27-2F913DF1CAEE},1185956498812014080615200594040125,49.0,,11,85,85,NO DATA!
9719.1011235955,2019,2019-08-09,F,L,865000,EC4A 1DT,E09000001,{93E6821D-E579-40FD-E053-6B04A8C0C1DF},a0d487fe6c74d5f940206c2029701d1bc265161de0a1017ee4b4358f7d0b1c89,89.0,4.0,12,42,58,England and Wales: before 1900
13797.4683544304,2015,2015-01-15,F,L,1090000,EC2Y 5AG,E09000001,{60564F51-801E-4339-A5E5-63DAEAB05AC0},1185950948852014080615223694040124,79.0,,12,88,88,NO DATA!
15104.1666666667,2015,2015-01-22,F,L,725000,EC2Y 5AG,E09000001,{52451719-E238-4F86-9F03-448919CD8CF5},1186418149442014080615192725640258,48.0,,11,84,84,NO DATA!
8849.55752212389,2019,2019-03-14,F,L,800000,EC4R 0DR,E09000001,{85866A65-090E-143F-E053-6B04A8C06A15},371462890942009092717453461712758,90.4,3.0,11,63,81,England and Wales: 2003-2006
14341.3111111111,2015,2015-01-09,F,L,645359,EC2Y 5AG,E09000001,{982DE37C-24B9-41C1-87BD-54C84236A00D},1185988489022014080615221096658714,45.0,,11,85,85,NO DATA!
12109.375,2022,2022-12-12,F,L,775000,EC2Y 5AG,E09000001,{09266DDB-78BD-AF90-E063-4704A8C02087},1186254753432014080615233186278808,64.0,,11,83,83,NO DATA!
15094.3396226415,2015,2015-09-10,F,L,800000,EC2Y 5AG,E09000001,{23B6165D-CEB0-FCF4-E050-A8C0620577FA},1186502688712014080615230394040928,53.0,,11,85,85,NO DATA!
12830.1886792453,2015,2015-03-18,F,L,680000,EC2Y 5AG,E09000001,{392A1BA8-DA9A-44D6-B855-370E29020DBA},1186502688712014080615230394040928,53.0,,11,85,85,NO DATA!
11170.2127659574,2021,2021-06-24,F,L,525000,EC1A 7HN,E09000001,{D4D42646-11C6-27F6-E053-6C04A8C0A572},301911596132019062523395709268604,47.0,2.0,12,74,80,England and Wales: 1900-1929
13250.0,2015,2015-02-17,F,L,530000,EC2Y 5AG,E09000001,{336DCCC8-6EEE-4E6A-B157-CCDBE18C1D2C},1186466549142014080615135624640658,40.0,,12,83,83,NO DATA!
12340.9090909091,2015,2015-02-27,F,L,814500,EC2Y 5AG,E09000001,{6900D061-4B4E-49B4-BBE4-9F94ADCF5606},1186433089022014080615155176258184,66.0,,12,85,85,NO DATA!
11642.8571428571,2017,2017-02-17,F,L,570500,EC4V 3PL,E09000001,{4C4EDFFF-AAAA-1854-E050-A8C063054F34},61e8aafe35611b9c1148d79930a6b0b180ecbca0156b247f382b5051c58a75f9,49.0,3.0,12,78,79,England and Wales: 1996-2002
8681.31868131868,2019,2019-06-14,F,L,395000,E1 8RB,E09000001,{8F1B26BD-45AE-53DB-E053-6C04A8C03649},542062689922010091821180349788050,45.5,2.0,11,79,83,England and Wales: 1983-1990
13028.431372549,2015,2015-01-28,F,L,664450,EC2Y 5AG,E09000001,{A193DB70-9657-4568-B491-05747C991FCB},1186138168352014080615183094040422,51.0,,12,85,85,NO DATA!
12530.7692307692,2015,2015-02-23,F,L,814500,EC2Y 5AG,E09000001,{E0873F3D-B09A-4A2F-B0F0-819E2C943049},1186077838812014080615144294040323,65.0,,12,85,85,NO DATA!
