priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
4786.76470588235,2015,2015-08-28,T,F,325500,CR0 6JG,E09000008,{23668C0B-EC67-40EA-8968-B35550A23B45},1347680189222015072820482147188535,68.0,4.0,11,58,84,England and Wales: 1900-1929
5818.96551724138,2021,2021-10-29,F,L,337500,CR2 0BE,E09000008,{DE2D0CE0-1D40-51EE-E053-6C04A8C00671},1551877839942017061310101051239178,58.0,,11,80,80,NO DATA!
4018.98734177215,2022,2022-06-30,S,F,635000,CR0 6UA,E09000008,{E53EDD2E-404D-83EC-E053-6B04A8C03A59},06007c5afb6afacf3e6e77762c131c7343ae4beb2f9a0c32f8e618c52436996a,158.0,5.0,11,55,83,England and Wales: 1900-1929
6078.43137254902,2021,2021-11-22,F,L,310000,CR8 1BF,E09000008,{09266DDC-0CC4-AF90-E063-4704A8C02087},b51e7727c57c8748f46a4bc4af3a04a9005926dbcd5ecea93657c6f8ccee3583,51.0,,11,84,84,2021
5542.85714285714,2021,2021-09-02,S,F,582000,CR8 1EG,E09000008,{D22473F5-EEE8-7B40-E053-6C04A8C0A630},002f0cc823f4a1e5253b8dbd08ace203af7c9ec761619ec5efe72a301ff554c8,105.0,6.0,11,74,85,England and Wales: 1930-1949
5120.48192771084,2024,2024-04-02,T,F,425000,CR7 8HY,E09000008,{2131FCF6-7A49-86E8-E063-4804A8C0372B},3a48b1ea5b3989242975a025d6719c90abb629fd7e5fabc9bd2887226feaf354,83.0,5.0,11,63,81,England and Wales: 1930-1949
5000.0,2020,2020-11-12,S,F,450000,CR5 1LN,E09000008,{BA558B33-151B-76EF-E053-6B04A8C0B4B7},167771402832018121416024158968991,90.0,6.0,12,66,81,England and Wales: 1930-1949
6496.40041138156,2018,2018-06-01,T,F,379000,CR7 8FJ,E09000008,{7011B109-CA88-8ED6-E053-6B04A8C075C1},53087019552009021211245205010453,58.34,,11,84,85,NO DATA!
5612.24489795918,2021,2021-09-03,F,L,550000,CR8 2HS,E09000008,{045A1898-F83E-9A24-E063-4804A8C048EA},eee3088a1e49f1f0f068c1d0d717c2e4efd670a789b861a020bcdaca97368529,98.0,,11,85,85,2020
5546.55870445344,2022,2022-07-20,D,F,1370000,CR2 0LA,E09000008,{EED73E76-16BB-6AF3-E053-6C04A8C08ABA},445b4620ecb5ff30915c4575ccf80b2cc9a46f2de90bc76a6e2559b5421c0701,247.0,9.0,11,50,71,England and Wales: 1900-1929
3430.42071197411,2019,2019-10-11,T,F,530000,CR0 5ED,E09000008,{965B6D91-E9D0-95E4-E053-6C04A8C07729},565215069922010111516310921758680,154.5,8.0,11,64,71,England and Wales: 1930-1949
5909.09090909091,2022,2022-01-10,T,F,520000,SE25 4EA,E09000008,{DBA933F9-E73B-669D-E053-6B04A8C0AD56},1205284889502014091520113327749058,88.0,5.0,11,74,88,England and Wales: 1950-1966
4403.40909090909,2015,2015-12-15,T,F,387500,SE25 4EA,E09000008,{2AC10E4F-F282-1AF6-E050-A8C063052BA1},1205284889502014091520113327749058,88.0,5.0,11,74,88,England and Wales: 1950-1966
4500.0,2024,2024-09-13,T,F,405000,CR0 6DD,E09000008,{25E9DA81-537B-555E-E063-4704A8C066F2},1147990979342014053018464529347608,90.0,4.0,11,48,76,England and Wales: 1900-1929
4166.66666666667,2018,2018-09-21,T,F,375000,CR0 6DD,E09000008,{79A74E22-0F94-1289-E053-6B04A8C01627},1147990979342014053018464529347608,90.0,4.0,11,48,76,England and Wales: 1900-1929
6129.62962962963,2018,2018-09-14,F,L,331000,SE25 6HT,E09000008,{80E1AA98-9155-7BF8-E053-6C04A8C00BF2},1662222929202018091111500361089498,54.0,,11,85,85,NO DATA!
6357.14285714286,2020,2020-08-21,F,L,445000,CR8 3BB,E09000008,{DBA933F9-EDAC-669D-E053-6B04A8C0AD56},1796989314032020042210191462278009,70.0,,11,85,85,NO DATA!
6790.12345679012,2019,2019-01-04,D,F,550000,CR0 8HR,E09000008,{8355F009-7102-55C5-E053-6B04A8C0D090},1668424186712018100420413996089462,81.0,5.0,11,61,84,England and Wales: 1950-1966
4083.33333333333,2024,2024-05-23,F,L,245000,CR0 4BB,E09000008,{1C3E72FE-92EE-F410-E063-4804A8C0DFA6},b40b7311d8606dede9a93fb63b8426c2698f2a4130358dbf9d7d3c7db2050649,60.0,3.0,12,74,79,England and Wales: 1930-1949
4391.89189189189,2019,2019-11-07,T,F,325000,CR0 6TF,E09000008,{98C75472-56E0-72E9-E053-6B04A8C042F0},1304027919222019062021231874908071,74.0,5.0,11,66,85,England and Wales: 1900-1929
4250.0,2015,2015-10-14,T,F,289000,CR0 6PH,E09000008,{25EA59FA-2D4E-4D50-E050-A8C0630562D0},1346505789002015072416111034752848,68.0,4.0,11,62,83,England and Wales: 1900-1929
5432.60869565217,2016,2016-03-18,F,L,249900,CR0 8TH,E09000008,{31FB4C17-E179-57B9-E050-A8C063053436},975636259402013072503365914172448,46.0,2.0,11,71,78,England and Wales: 1950-1966
