priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
4041.66666666667,2015,2015-03-03,D,F,388000,UB5 5DE,E09000009,{A6DD3D0C-DEFC-4A7E-86E2-3B9632ECE1E3},1237011709842014111717412136049038,96.0,5.0,11,42,82,England and Wales: 1930-1949
4870.12987012987,2021,2021-07-23,F,L,375000,W5 3BL,E09000009,{D707E534-B4C0-0AD9-E053-6B04A8C067CC},1427892197632016032614183856278607,77.0,3.0,11,52,74,England and Wales: 1900-1929
5519.48051948052,2016,2016-08-01,F,L,425000,W5 3BL,E09000009,{3B7E0B8F-6E3B-EA99-E050-A8C062057E77},1427892197632016032614183856278607,77.0,3.0,11,52,74,England and Wales: 1900-1929
6410.25641025641,2016,2016-09-06,S,F,500000,UB6 9LN,E09000009,{404A5AF3-C15B-CD2B-E050-A8C063055C7B},1446096389502016052409483442462228,78.0,5.0,11,64,88,England and Wales: 1930-1949
5765.30612244898,2022,2022-08-26,D,F,565000,UB1 3JA,E09000009,{EA3278AA-3995-2676-E053-6B04A8C015F8},1037264499042013110412334615570228,98.0,5.0,11,53,86,England and Wales: 1900-1929
9335.66433566434,2021,2021-02-19,S,F,1335000,W5 1LB,E09000009,{C3C3F9B6-0955-362B-E053-6B04A8C03ACC},441454189742014050313132075240798,143.0,6.0,12,69,80,England and Wales: 1930-1949
4801.9801980198,2021,2021-06-30,S,F,485000,UB2 5PL,E09000009,{D22473F5-B705-7B40-E053-6C04A8C0A630},1499821506652020052122283326200048,101.0,6.0,12,65,85,England and Wales: 1900-1929
7380.95238095238,2015,2015-07-17,T,F,775000,W5 3PQ,E09000009,{CF9AAB91-0D7D-4CB2-92A6-A26C0915C490},1310789824532015041617313320978705,105.0,5.0,11,55,85,England and Wales: 1950-1966
6333.33333333333,2022,2022-05-17,T,F,665000,W13 8AZ,E09000009,{F5E8B080-D61F-3A13-E053-6C04A8C060B7},2ae6ac46ab5a23d2ae2cd692e91d64b6d7a1c52499847f1ffacdcfd2d0ebb86f,105.0,5.0,11,66,80,England and Wales: 1976-1982
3605.76923076923,2015,2015-02-06,F,L,187500,W3 0TG,E09000009,{454BECB2-C524-4209-BE08-4BFA6110D5B1},115484669842013051620154144879768,52.0,3.0,11,66,75,England and Wales: 1930-1949
14112.9032258065,2023,2023-04-17,F,L,875000,W4 1BB,E09000009,{FFA361DA-7FC6-8A03-E053-4804A8C01F61},124268849542012050701232540920558,62.0,4.0,11,52,77,England and Wales: 1930-1949
6200.0,2022,2022-01-05,F,L,310000,W3 9EJ,E09000009,{152AB733-796D-E651-E063-4704A8C061D9},258b4e4f0aba9324622fbf3c84ac9060bec2707284582f14e6d6f2a1c4dbe41d,50.0,3.0,12,72,76,England and Wales: 1930-1949
4347.82608695652,2015,2015-02-18,T,F,400000,UB6 0DJ,E09000009,{6E72D8E2-7A99-450E-A721-412B4BB87DD3},1246136229022014120516280600358854,92.0,5.0,11,66,81,England and Wales: 1930-1949
7412.79069767442,2023,2023-10-12,F,L,637500,W3 8UH,E09000009,{12A8BAB5-D8C8-2125-E063-4804A8C08CC1},1668326379962019021418020440548111,86.0,,11,73,73,NO DATA!
7732.55813953488,2019,2019-07-02,F,L,665000,W3 8UH,E09000009,{A2479555-1471-74C7-E053-6B04A8C0887D},1668326379962019021418020440548111,86.0,,11,73,73,NO DATA!
10096.1538461538,2022,2022-12-12,F,L,525000,W3 7JB,E09000009,{1C3E72FD-C7B5-F410-E063-4804A8C0DFA6},a0e68dd1fd3b20e5b17a7d9dd07e0778eb064e3c108c8a123290cfa95f3477e2,52.0,,11,83,83,2019
6860.84142394822,2015,2015-10-20,S,F,636000,W13 0BD,E09000009,{23B6165D-CC5C-FCF4-E050-A8C0620577FA},324187400922009071023154324708021,92.7,5.0,11,64,73,England and Wales: 1930-1949
9564.81481481482,2022,2022-10-14,T,F,1033000,W5 5HX,E09000009,{EED73E75-E720-6AF3-E053-6C04A8C08ABA},2d378d02abcd04547030be334c3ce4dc1b76d335f2a5e0eeba87ad6debe26b67,108.0,4.0,11,65,85,England and Wales: 1900-1929
8615.38461538462,2019,2019-10-02,F,L,336000,W4 5JJ,E09000009,{98C75471-6FC2-72E9-E053-6B04A8C042F0},1721375109922019071717444734138251,39.0,,11,84,84,NO DATA!
5846.15384615385,2020,2020-07-14,T,F,380000,UB5 4SH,E09000009,{AE4D86D4-3A39-4619-E053-6C04A8C03CD0},1209281419222014092219064698928384,65.0,4.0,11,62,78,England and Wales: 1930-1949
4538.46153846154,2015,2015-03-24,T,F,295000,UB5 4SH,E09000009,{2E4138D9-9791-4D5B-901B-B0C47639D6DD},1209281419222014092219064698928384,65.0,4.0,11,62,78,England and Wales: 1930-1949
4266.66666666667,2021,2021-06-25,F,L,320000,W7 1LD,E09000009,{D707E534-B540-0AD9-E053-6B04A8C067CC},696d2a60690ddb5ade5e52a05c300abc50438a6100536b7682ed9672a670a8f0,75.0,3.0,11,49,78,England and Wales: 1930-1949
4741.37931034483,2022,2022-04-05,F,L,275000,UB6 9DH,E09000009,{E073986A-BF16-2134-E053-6C04A8C0233B},846206379922012101618350402768402,58.0,3.0,11,74,80,England and Wales: 1950-1966
7056.45161290323,2016,2016-03-30,T,F,875000,W5 1LB,E09000009,{34428D7E-4CA3-B86C-E050-A8C06205059C},1130797959942016011110525321269598,124.0,6.0,11,59,83,England and Wales: 1930-1949
4086.53846153846,2017,2017-11-23,T,F,425000,UB5 4HF,E09000009,{5F54B81C-A75D-2B45-E053-6B04A8C01FB0},1464148019542016080120291641660998,104.0,5.0,11,74,85,England and Wales: 1950-1966
2840.34090909091,2015,2015-03-31,T,F,249950,UB2 5HX,E09000009,{9B2A2A66-8CBF-439B-902E-DFDDC17CE05D},1250163509042014121700400639149628,88.0,4.0,11,65,89,England and Wales: 1900-1929
5844.15584415584,2018,2018-12-07,F,L,450000,W13 0FJ,E09000009,{8355F008-A501-55C5-E053-6B04A8C0D090},1630296899242018050910302756780918,77.0,,11,84,84,NO DATA!
5681.81818181818,2024,2024-02-27,F,L,437500,W13 0FJ,E09000009,{1EAE3DF6-227B-9EB1-E063-4704A8C09D02},1630296899242018050910302756780918,77.0,,11,84,84,NO DATA!
9890.10989010989,2023,2023-02-24,S,F,1800000,W13 9QB,E09000009,{12A8BAB6-6B57-2125-E063-4804A8C08CC1},9b87d2f595f5dca47c3744a11467ef97ea4d4d1fa74da1ceb0a210cb502ef5b5,182.0,7.0,11,68,80,England and Wales: 1900-1929
6213.23529411765,2021,2021-02-26,S,F,422500,UB5 5DA,E09000009,{C3C3F9B6-0994-362B-E053-6B04A8C03ACC},bc957b8ce127f24d548b0ece06e1d8bf8064afa29dcfb51a584d372185a14595,68.0,4.0,11,42,86,England and Wales: 1930-1949
