priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
3542.85714285714,2022,2022-03-21,F,L,248000,SE28 8GJ,E09000011,{DE2D0CE0-3E4D-51EE-E053-6C04A8C00671},69374777252020072918215028200447,70.0,3.0,11,82,83,England and Wales: 2003-2006
3357.14285714286,2021,2021-09-20,F,L,235000,SE28 8GJ,E09000011,{D707E536-0D8B-0AD9-E053-6B04A8C067CC},69374777252020072918215028200447,70.0,3.0,11,82,83,England and Wales: 2003-2006
8333.33333333333,2019,2019-08-19,F,L,600000,SE18 6EY,E09000011,{93E6821E-E2B5-40FD-E053-6B04A8C0C1DF},c12472058e809ac29f3c3a74990e6443ec02161b6e4090da64ae94213bebfac9,72.0,3.0,11,81,81,England and Wales: 2012 onwards
6822.30281051677,2018,2018-09-28,T,F,752500,SE7 7PH,E09000011,{79A74E21-104A-1289-E053-6B04A8C01627},28108540922008111715593812448438,110.3,6.0,11,37,46,England and Wales: 1900-1929
6699.02912621359,2021,2021-09-15,T,L,690000,SE3 0AF,E09000011,{E7B085FC-69BB-7E31-E053-6C04A8C0E67F},643325409262011062623264017568719,103.0,5.0,11,73,79,England and Wales: 1967-1975
8148.93617021277,2019,2019-09-27,F,L,766000,SE10 0YN,E09000011,{98C75472-67B2-72E9-E053-6B04A8C042F0},1730085119402019061918430467519818,94.0,,11,86,86,NO DATA!
9114.58333333333,2021,2021-11-26,T,F,875000,SE3 0AB,E09000011,{D4D42646-3F21-27F6-E053-6C04A8C0A572},1111371950452014032017035192240822,96.0,5.0,11,60,88,England and Wales: 1967-1975
4972.325,2019,2019-12-05,F,L,397786,SE18 6ZS,E09000011,{AC07BBD0-7D59-0445-E053-6C04A8C01E31},1758544029922019101617313137568421,80.0,,11,86,86,NO DATA!
4344.26229508197,2021,2021-12-01,S,F,530000,SE9 3LU,E09000011,{DBA933F9-ECFB-669D-E053-6B04A8C0AD56},5a927119aaa93cd3cc835206e45dce76b5f05d1edbfab74f907050ac2c1d79a9,122.0,6.0,11,71,82,England and Wales: 1930-1949
5465.11627906977,2019,2019-03-25,F,L,235000,SE9 2TA,E09000011,{87E1551E-9DA1-6405-E053-6C04A8C0B2EE},1221836899502017061617060022839668,43.0,3.0,11,66,78,England and Wales: 1983-1990
4837.20930232558,2017,2017-12-20,F,L,208000,SE9 2TA,E09000011,{64342BFE-E84A-422C-E053-6C04A8C0FB8A},1221836899502017061617060022839668,43.0,3.0,11,66,78,England and Wales: 1983-1990
5463.76811594203,2020,2020-12-18,T,F,377000,SE9 5EG,E09000011,{BC8936BB-E59F-0E2C-E053-6C04A8C0DBF4},1256478059262018072511144491248678,69.0,4.0,12,68,88,England and Wales: 1950-1966
5289.85507246377,2018,2018-10-19,T,F,365000,SE9 5EG,E09000011,{7C2D0700-902A-4963-E053-6B04A8C07B97},1256478059262018072511144491248678,69.0,4.0,12,68,88,England and Wales: 1950-1966
6923.07692307692,2020,2020-03-17,F,L,270000,SE10 8DH,E09000011,{A96E4ACC-98FD-9205-E053-6C04A8C0DA09},1217055866212015020220382496050025,39.0,2.0,11,71,78,England and Wales: 1991-1995
4630.87248322148,2018,2018-06-29,F,L,690000,SE18 6LA,E09000011,{726BF13B-57A2-0A46-E053-6C04A8C01D0D},1556272886332017062908141440278406,149.0,4.0,11,75,86,England and Wales: before 1900
7700.0,2015,2015-11-27,F,L,385000,SE10 0GJ,E09000011,{2FD36066-1996-4BF8-E050-A8C0620562B1},1351363008532015080715513542078703,50.0,,11,82,82,NO DATA!
7740.44795783926,2019,2019-11-29,F,L,470000,SE10 0FN,E09000011,{9B361206-C287-1904-E053-6B04A8C0EEB5},651731129002011070809161586890038,60.72,,11,76,77,NO DATA!
6985.78512396694,2016,2016-09-28,S,F,845280,SE10 0DF,E09000011,{404A5AF3-0AAC-CD2B-E050-A8C063055C7B},798222509402012060907523294920898,121.0,5.0,11,57,76,England and Wales: 1900-1929
5299.1452991453,2017,2017-09-27,T,F,620000,SE7 8AB,E09000011,{5CF9903C-646A-7F13-E053-6C04A8C074B1},1525040539062017030615033070368683,117.0,6.0,11,39,69,England and Wales: before 1900
5585.36585365854,2021,2021-03-19,T,F,458000,SE2 0UW,E09000011,{C3C3F9B6-3470-362B-E053-6B04A8C03ACC},1820918162412020082708140027200979,82.0,4.0,11,50,74,England and Wales: 1900-1929
7246.3768115942,2015,2015-03-06,F,L,500000,SE10 9DY,E09000011,{C7521CB5-1620-4802-88AD-015D9D218448},1000267239242014020513082814340358,69.0,,12,84,84,NO DATA!
6986.20689655172,2024,2024-08-20,F,L,405200,SE10 9DY,E09000011,{237B17FE-87BF-22AC-E063-4804A8C0EA3A},1000168719962019021512323083548371,58.0,,12,83,83,NO DATA!
7103.44827586207,2017,2017-02-13,F,L,412000,SE10 9DY,E09000011,{49B7852A-8B06-7921-E050-A8C063056E8D},1000168719962019021512323083548371,58.0,,12,83,83,NO DATA!
5838.54166666667,2017,2017-06-23,T,F,560500,SE10 0RR,E09000011,{55BDCAE6-6925-521D-E053-6B04A8C0DD7A},1469820778632016080914040557078200,96.0,5.0,11,56,80,England and Wales: before 1900
5092.59259259259,2020,2020-07-06,F,L,275000,SE9 1EH,E09000011,{AE4D86D4-5795-4619-E053-6C04A8C03CD0},1778157862702020012107195461809618,54.0,4.0,11,54,64,England and Wales: 1930-1949
8243.24324324324,2016,2016-12-15,D,F,1525000,SE3 0PE,E09000011,{453D27A2-9F65-EF91-E050-A8C0630574D7},1454244339922016061612092355958446,185.0,10.0,11,46,79,England and Wales: 1950-1966
11621.6216216216,2023,2023-08-31,D,F,2150000,SE3 0PE,E09000011,{09266DDB-752F-AF90-E063-4704A8C02087},1454244339922016061612092355958446,185.0,10.0,11,46,79,England and Wales: 1950-1966
5550.96256052911,2020,2020-10-20,T,F,470000,SE12 9DN,E09000011,{B82222ED-5680-6691-E053-6B04A8C02FB2},593851059922011021710163603668849,84.67,4.0,11,65,73,England and Wales: 1950-1966
5625.0,2015,2015-06-19,F,L,585000,SE18 6LA,E09000011,{23B6165E-F057-FCF4-E050-A8C0620577FA},1596182449342017121309463554539028,104.0,4.0,11,69,80,England and Wales: before 1900
5853.59756097561,2015,2015-12-03,F,L,479995,SE10 0GP,E09000011,{2D1E4B26-DFAE-FCD1-E050-A8C0630544EC},1383591545352015111014591194959049,82.0,,11,84,84,NO DATA!
4044.11764705882,2019,2019-03-29,T,F,330000,SE18 1BB,E09000011,{87E1551E-84BC-6405-E053-6C04A8C0B2EE},242538760602009030316225653810978,81.6,4.0,11,62,63,England and Wales: before 1900
4833.33333333333,2021,2021-06-28,T,F,580000,SE12 8BL,E09000011,{D22473F5-E908-7B40-E053-6C04A8C0A630},40845559222017112417541303448823,120.0,5.0,11,56,81,England and Wales: 1930-1949
7769.11764705882,2023,2023-08-14,S,F,1584900,SE3 7PE,E09000011,{0E082196-AA27-5C09-E063-4704A8C0A10E},82c6cc0aaa9dcc9b7d63c86334e79d919cb933557bc358c3819203d5a43da609,204.0,7.0,11,63,84,England and Wales: 1900-1929
7933.33333333333,2019,2019-08-30,F,L,595000,SE10 0YN,E09000011,{98C75472-67AA-72E9-E053-6B04A8C042F0},1730095366552019061918431891910067,75.0,,11,85,85,NO DATA!
7334.24939883202,2015,2015-11-23,F,L,427000,SE10 0FN,E09000011,{288DCE29-C87F-E510-E050-A8C06205480E},651514279062011070809154628738829,58.22,,11,75,76,NO DATA!
6408.38028169014,2015,2015-12-22,F,L,454995,SE10 0GP,E09000011,{2FD36066-1A02-4BF8-E050-A8C0620562B1},1383999406152016012510403594260046,71.0,,11,85,85,NO DATA!
6694.44444444444,2016,2016-01-22,F,L,482000,SE10 0GP,E09000011,{2FD36066-1AC2-4BF8-E050-A8C0620562B1},1405569189632016012215334956278700,72.0,,12,85,85,NO DATA!
5866.66666666667,2023,2023-02-15,F,L,440000,SE18 6ZS,E09000011,{F87E72F9-82AE-176C-E053-6B04A8C0D2BE},1758547520132019101617581223978295,75.0,,11,84,84,NO DATA!
6470.58823529412,2016,2016-03-30,S,F,1650000,SE3 7JU,E09000011,{3E0330F0-6A22-8D89-E050-A8C062052140},1422959629142016031614532147369768,255.0,,12,93,93,NO DATA!
9893.33333333333,2020,2020-09-25,F,L,742000,SE10 0YN,E09000011,{B82222ED-5A15-6691-E053-6B04A8C02FB2},1730352969922019061918464325718881,75.0,,11,87,87,NO DATA!
4575.22123893805,2019,2019-07-05,S,F,517000,SE9 2EJ,E09000011,{8F1B26BD-434B-53DB-E053-6C04A8C03649},734994917532015032600280869268001,113.0,6.0,12,71,85,England and Wales: 1930-1949
4940.0,2021,2021-12-20,F,L,247000,SE18 3DR,E09000011,{E2D14906-1E1A-4C2D-E053-6B04A8C0422B},1529cf048bbfdc3c2e177314f59e79db11ad77fb4518b97bbbc51911f037253c,50.0,1.0,11,61,70,England and Wales: 1950-1966
4600.0,2016,2016-07-08,F,L,230000,SE18 3DR,E09000011,{3914047A-3CC7-3206-E050-A8C063057647},1529cf048bbfdc3c2e177314f59e79db11ad77fb4518b97bbbc51911f037253c,50.0,1.0,11,61,70,England and Wales: 1950-1966
5531.91489361702,2015,2015-02-20,F,L,260000,SE18 4LN,E09000011,{44A65E45-54C8-47C3-B47B-6CD4A95AC108},1206682699302014091716141824749338,47.0,2.0,11,58,77,England and Wales: before 1900
7584.26966292135,2018,2018-11-06,F,L,675000,SE3 9BE,E09000011,{7C2D0700-48B8-4963-E053-6B04A8C07B97},47096557832018032102550299968801,89.0,4.0,11,63,74,England and Wales: 1950-1966
7400.88105726872,2020,2020-11-06,D,F,1680000,SE3 7JU,E09000011,{BC8936BB-B3A7-0E2C-E053-6C04A8C0DBF4},160955432602020082620481358202948,227.0,5.0,12,69,78,England and Wales: 1930-1949
7933.33333333333,2019,2019-07-31,F,L,595000,SE10 0YN,E09000011,{93E6821E-E214-40FD-E053-6B04A8C0C1DF},1730224769922019061918433445018641,75.0,,11,86,86,NO DATA!
7575.75757575758,2022,2022-01-28,F,L,500000,SE10 9DX,E09000011,{D93B27B1-7055-3100-E053-6C04A8C08887},1697468689612019021512200197910260,66.0,,11,85,85,NO DATA!
6164.26940639269,2023,2023-02-17,F,L,269995,SE18 3DR,E09000011,{F87E72F9-7FF7-176C-E053-6B04A8C0D2BE},626575165932011050909443450068706,43.8,2.0,11,71,74,England and Wales: before 1900
5251.14155251142,2017,2017-07-18,F,L,230000,SE18 3DR,E09000011,{582D0637-9996-8F22-E053-6C04A8C01BAC},626575165932011050909443450068706,43.8,2.0,11,71,74,England and Wales: before 1900
4756.09756097561,2017,2017-09-22,T,F,390000,SE2 0UW,E09000011,{5CF9903C-6497-7F13-E053-6C04A8C074B1},1556619053332017070113582545078802,82.0,5.0,11,54,79,England and Wales: 1930-1949
9264.70588235294,2016,2016-08-26,F,L,630000,SE10 9GE,E09000011,{3E0330F0-6974-8D89-E050-A8C062052140},1098355629402014030611232226040368,68.0,,12,78,78,NO DATA!
3761.06194690265,2018,2018-06-01,F,L,340000,SE3 7LX,E09000011,{7011B109-E536-8ED6-E053-6B04A8C075C1},723092091852011111814240793999197,90.4,4.0,11,77,78,England and Wales: 1967-1975
6896.55172413793,2015,2015-12-09,F,L,600000,SE10 0GJ,E09000011,{2FD36066-1950-4BF8-E050-A8C0620562B1},1351433317912015080715500891050136,87.0,,11,84,84,NO DATA!
7134.83146067416,2017,2017-06-09,F,L,635000,SE3 9BE,E09000011,{55BDCAE6-25DF-521D-E053-6B04A8C0DD7A},1273480861612016091717443397960433,89.0,4.0,11,43,46,England and Wales: 1950-1966
5909.09090909091,2016,2016-07-18,F,L,390000,SE10 9DJ,E09000011,{3914047A-40E1-3206-E050-A8C063057647},472778902502020040222354671500728,66.0,4.0,12,71,81,England and Wales: 1930-1949
8010.75268817204,2023,2023-08-01,F,L,745000,SE3 9BE,E09000011,{045A1898-BF5B-9A24-E063-4804A8C048EA},c491cba0adfad1eb82de3293cea89b4e461865d3768f608756ed1565891d7bd3,93.0,5.0,11,51,61,England and Wales: 1950-1966
6827.95698924731,2017,2017-10-23,F,L,635000,SE3 9BE,E09000011,{5F54B81D-56C6-2B45-E053-6B04A8C01FB0},c491cba0adfad1eb82de3293cea89b4e461865d3768f608756ed1565891d7bd3,93.0,5.0,11,51,61,England and Wales: 1950-1966
6250.0,2019,2019-07-16,F,L,600000,SE10 0YN,E09000011,{93E6821E-E22C-40FD-E053-6B04A8C0C1DF},1730379619142019061918430661519518,96.0,,11,88,88,NO DATA!
