priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
10357.1428571429,2023,2023-06-30,T,F,870000,E9 7AB,E09000012,{01EB45EF-AADF-40F3-E063-4704A8C05FDE},1058899700432014101318495793978492,84.0,5.0,12,63,87,England and Wales: before 1900
7510.28806584362,2018,2018-08-03,F,L,730000,E8 3GW,E09000012,{75050A84-A785-9A88-E053-6B04A8C02390},649780966912011070508463091090081,97.2,,11,79,79,NO DATA!
8084.61538461538,2020,2020-02-07,F,L,525500,E2 8EZ,E09000012,{9FF0D969-6969-11ED-E053-6C04A8C06383},150643859842014091019271256149808,65.0,3.0,12,80,81,England and Wales: 2003-2006
7161.53846153846,2015,2015-05-29,F,L,465500,E2 8EZ,E09000012,{2B1E6AA6-9E2C-4332-9DC8-6C24DE1F0FA8},150643859842014091019271256149808,65.0,3.0,12,80,81,England and Wales: 2003-2006
6779.66101694915,2019,2019-10-31,T,L,500000,E8 4NL,E09000012,{98C75471-BB0F-72E9-E053-6B04A8C042F0},364072940202009092317195767712378,73.75,4.0,11,67,83,England and Wales: 1950-1966
8333.33333333333,2020,2020-10-30,F,L,450000,N16 5UR,E09000012,{B82222ED-1486-6691-E053-6B04A8C02FB2},8245507e225c5471fc06808e04a4213c7177d3ef85e0e68d6af9627407a65f7c,54.0,3.0,12,79,79,England and Wales: 1967-1975
7500.0,2019,2019-10-22,F,L,405000,N16 5UR,E09000012,{965B6D91-AAE5-95E4-E053-6C04A8C07729},8245507e225c5471fc06808e04a4213c7177d3ef85e0e68d6af9627407a65f7c,54.0,3.0,12,79,79,England and Wales: 1967-1975
8431.57894736842,2020,2020-07-27,F,L,801000,E2 8HU,E09000012,{06C9F487-1911-9388-E063-4804A8C0BD98},1796055563412020051314330229900865,95.0,,11,89,89,NO DATA!
6161.61616161616,2023,2023-12-05,F,L,610000,E8 2FE,E09000012,{1061746D-E76D-3C34-E063-4804A8C0F9E7},88ad571df41384731af1e22ea331f016308540a64f914a70a74a005ea5ca3ae2,99.0,4.0,12,85,85,England and Wales: 2003-2006
7888.88888888889,2021,2021-05-17,F,L,355000,N4 2ND,E09000012,{C6209F5E-D188-295E-E053-6C04A8C0DDCC},929482929262017012615521168368243,45.0,2.0,11,76,77,England and Wales: 1996-2002
5243.24324324324,2021,2021-03-17,F,L,388000,N16 8UB,E09000012,{C6209F5F-2391-295E-E053-6C04A8C0DDCC},833139342112012091322170295020807,74.0,5.0,11,58,71,England and Wales: 1967-1975
2723.40425531915,2015,2015-03-27,F,L,128000,N16 8AP,E09000012,{C5BEEFA9-E2EF-440B-AAD3-B07283426CBD},866717889962013010314285213948782,47.0,,11,81,83,NO DATA!
11728.3950617284,2021,2021-06-24,F,L,950000,N1 6ND,E09000012,{D22473F5-2D57-7B40-E053-6C04A8C0A630},906309009952013032913022096270108,81.0,2.0,11,82,88,England and Wales: 2003-2006
8235.29411764706,2021,2021-05-17,F,L,560000,N16 8AP,E09000012,{CD5A9DCB-C119-310A-E053-6C04A8C00A1F},944970122512013100713023394079502,68.0,3.0,11,51,79,England and Wales: before 1900
9497.91666666667,2018,2018-12-19,F,L,455900,N4 2GT,E09000012,{87E1551D-DC8B-6405-E053-6C04A8C0B2EE},1667657969402018101011033663089908,48.0,,11,84,84,NO DATA!
9146.34146341463,2017,2017-08-18,F,L,375000,E8 2FE,E09000012,{5A9D8B55-0729-68EB-E053-6B04A8C0D293},50ac0dd9c220989429e4f29eed07ae0586429cd227b029583642392e14b7d285,41.0,2.0,12,83,83,England and Wales: 2007-2011
5902.77777777778,2015,2015-06-25,F,L,425000,E5 9FU,E09000012,{23B6165D-CF83-FCF4-E050-A8C0620577FA},1260866449262015012716094781338365,72.0,,11,86,86,NO DATA!
6690.14084507042,2021,2021-09-02,F,L,475000,N1 4ER,E09000012,{D707E535-1F1D-0AD9-E053-6B04A8C067CC},1769099569132019120114330950278995,71.0,3.0,11,83,83,England and Wales: 2003-2006
10459.5744680851,2019,2019-01-29,F,L,491600,N4 2GT,E09000012,{87E1551D-DCDD-6405-E053-6C04A8C0B2EE},1667811019922018101011033180608658,47.0,,11,85,85,NO DATA!
5723.33333333333,2022,2022-07-01,F,L,429250,N4 2PB,E09000012,{E53EDD2D-9862-83EC-E053-6B04A8C03A59},857f8560d5b6a1f89bf3edb30fd0d276e2abaf36fae1cb6e5e241b3034cd97fd,75.0,4.0,12,80,82,England and Wales: 1950-1966
19650.612244898,2019,2019-12-20,F,L,962880,EC2A 2FD,E09000012,{152AB733-78EF-E651-E063-4704A8C061D9},1757566015812019101118323891919263,49.0,,11,84,84,NO DATA!
10486.1111111111,2024,2024-09-25,F,L,755000,N1 5DJ,E09000012,{25E9DA80-58FD-555E-E063-4704A8C066F2},290b44b393edf967a6cc46a00fadd37265c405a3e2d46de6a7afbc5268fa797a,72.0,,11,83,83,2022
10902.7777777778,2022,2022-06-06,F,L,785000,N1 5DJ,E09000012,{09266DDB-7B12-AF90-E063-4704A8C02087},290b44b393edf967a6cc46a00fadd37265c405a3e2d46de6a7afbc5268fa797a,72.0,,11,83,83,2022
5058.13953488372,2021,2021-03-01,F,L,435000,E9 7JF,E09000012,{C6209F5F-23AE-295E-E053-6C04A8C0DDCC},158329917952013070521302690970255,86.0,7.0,12,73,76,England and Wales: 1976-1982
7133.33333333333,2021,2021-06-28,F,L,535000,N16 7LD,E09000012,{D22473F5-2B33-7B40-E053-6C04A8C0A630},177280654252019020509175397010855,75.0,4.0,12,67,90,England and Wales: 1976-1982
6188.40579710145,2015,2015-07-31,F,L,427000,E5 9FU,E09000012,{23B6165D-D0EE-FCF4-E050-A8C0620577FA},1261960292652015012716112398250236,69.0,,11,88,88,NO DATA!
9222.22222222222,2023,2023-06-30,F,L,415000,N1 5QJ,E09000012,{01EB45EF-665B-40F3-E063-4704A8C05FDE},915399743512013041716330993970602,45.0,,11,79,79,NO DATA!
1989.79591836735,2023,2023-01-23,F,L,97500,E5 9AN,E09000012,{237B17FD-95B3-22AC-E063-4804A8C0EA3A},74d2c1ab651a81e45b7d594d64efb27398ba0b57c0eb4e7e303ccdec16dea2ed,49.0,,11,83,83,2020
6976.17857142857,2017,2017-07-06,F,L,585999,E8 4TR,E09000012,{582D0636-D64E-8F22-E053-6C04A8C01BAC},1374953490532015101418105031978197,84.0,4.0,11,74,77,England and Wales: 1983-1990
9255.31914893617,2015,2015-07-30,F,L,870000,E8 3DQ,E09000012,{241A4A53-8C5B-706B-E050-A8C06205638B},1336425479262015062411515067148385,94.0,,11,85,85,NO DATA!
9016.39344262295,2021,2021-04-16,F,L,550000,N16 0JH,E09000012,{C8A3A575-CF01-0425-E053-6C04A8C0947B},1172642059002014071110443922549908,61.0,4.0,11,65,80,England and Wales: 1950-1966
5656.93430656934,2021,2021-04-29,S,F,775000,N4 1SN,E09000012,{C3C3F9B6-0E5C-362B-E053-6B04A8C03ACC},1816468598032020080721081313078209,137.0,7.0,11,62,84,England and Wales: 1930-1949
8493.15068493151,2015,2015-04-24,T,F,1240000,N16 7DJ,E09000012,{18D2808C-FB66-48C6-A4FD-DC9EE684E091},1252093704412014122217071391249632,146.0,5.0,11,57,80,England and Wales: 1900-1929
7564.10256410256,2024,2024-04-26,F,L,295000,E9 5TJ,E09000012,{1A0C5C63-3CCB-7CBE-E063-4804A8C06C96},809334229022012070314152199478482,39.0,2.0,11,74,80,England and Wales: 1983-1990
6666.53846153846,2017,2017-05-17,F,L,259995,E9 5TJ,E09000012,{5376B385-51AA-34C1-E053-6B04A8C09FF6},809334229022012070314152199478482,39.0,2.0,11,74,80,England and Wales: 1983-1990
6056.33802816901,2015,2015-02-20,F,L,430000,E5 9FU,E09000012,{28554922-8567-44E3-A24E-3CCB0BA35145},1259105394612015012110002096250237,71.0,,11,87,87,NO DATA!
7826.08695652174,2016,2016-06-22,F,L,540000,N4 2GE,E09000012,{5376B385-0408-34C1-E053-6B04A8C09FF6},1451494835812016060817070592060348,69.0,,11,87,87,NO DATA!
