priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
8489.99393571862,2023,2023-02-09,T,L,700000,W6 0EU,E09000013,{F5E8B080-DFA5-3A13-E053-6C04A8C060B7},98853690922009111309013476228371,82.45,3.0,11,56,68,England and Wales: 1900-1929
11309.5238095238,2021,2021-06-28,T,F,1425000,W6 0EZ,E09000013,{D22473F4-D37B-7B40-E053-6C04A8C0A630},6a161e750a56234d0f358f19ace0e9f85ba553d34c11bbdd9d8dc812b7856bfa,126.0,4.0,11,62,75,England and Wales: before 1900
7750.0,2018,2018-11-29,T,F,1240000,SW6 4JL,E09000013,{7E86B6FA-6D8B-458C-E053-6B04A8C0C84C},1659571109542018083114150665082718,160.0,6.0,11,56,78,England and Wales: before 1900
14487.1794871795,2023,2023-02-24,F,L,1130000,W12 7RD,E09000013,{12A8BAB5-E2A5-2125-E063-4804A8C08CC1},e6f04b3411e0bfe7c7776b23a6bb77b415ac1560941a552c3bb89c5c23b8fa96,78.0,,11,86,86,2021
7852.76073619632,2018,2018-05-25,T,F,1280000,W14 9QS,E09000013,{726BF13B-0ED0-0A46-E053-6C04A8C01D0D},1591268679332017112116504551978593,163.0,5.0,11,39,66,England and Wales: 1900-1929
11188.0231809401,2022,2022-07-22,F,L,695000,SW6 5SF,E09000013,{E7B085FB-C7FF-7E31-E053-6C04A8C0E67F},684592571932011093015105203268704,62.12,3.0,11,68,75,England and Wales: 1991-1995
11450.3816793893,2022,2022-06-17,T,F,1500000,SW6 7UA,E09000013,{EC7AD099-3392-9200-E053-6C04A8C0E306},199587199962018051116103285508798,131.0,5.0,12,50,81,England and Wales: before 1900
16440.990990991,2017,2017-12-18,F,L,1824950,W6 9AT,E09000013,{666758D6-7CAA-3363-E053-6B04A8C0D74E},1542988275332017051114483975978008,111.0,,11,88,88,NO DATA!
8333.33333333333,2020,2020-11-04,F,L,550000,W11 4JU,E09000013,{BA558B32-2754-76EF-E053-6B04A8C0B4B7},1738021191012019072220594797210666,66.0,3.0,11,80,81,England and Wales: 1991-1995
14187.5,2023,2023-09-11,F,L,1135000,W6 9YJ,E09000013,{25E9DA80-6647-555E-E063-4704A8C066F2},9ff1a4418fb1d9ddd71806788f87a4835d444c209f354e2f10e089147b6be85e,80.0,,11,87,87,2019
9971.59090909091,2015,2015-07-27,F,L,438750,W6 0AA,E09000013,{E3BB9F0A-D4B6-4E23-90F9-7915CD1D40D5},1657397079222018082114404359798418,44.0,2.0,12,68,77,England and Wales: 1900-1929
12763.1578947368,2022,2022-09-14,T,F,2425000,SW6 4AG,E09000013,{EC7AD099-456C-9200-E053-6C04A8C0E306},fd37a11abdd8af0db1a2d85b779a2ce108f746256bc72965fa64afe3c569c8f4,190.0,7.0,11,70,81,England and Wales: 1930-1949
9535.11801957398,2015,2015-09-11,F,L,530000,SW6 5LX,E09000013,{F2EA08B0-D338-4DFD-BACD-B051509BE069},756969428912012030423180490020490,55.584,2.0,12,73,73,England and Wales: 1900-1929
8333.33333333333,2024,2024-05-29,F,L,575000,W14 9QH,E09000013,{2131FCF5-B35C-86E8-E063-4804A8C0372B},330982539262016082216423725808736,69.0,3.0,12,58,79,England and Wales: 1900-1929
9601.44927536232,2016,2016-12-15,F,L,662500,W14 9QH,E09000013,{47844C7F-6429-8986-E050-A8C063056488},330982539262016082216423725808736,69.0,3.0,12,58,79,England and Wales: 1900-1929
10408.5146345281,2021,2021-03-30,F,L,665000,SW6 2NR,E09000013,{CFC9085C-4B76-9A70-E053-6B04A8C09D6A},563073199922011031806484251338069,63.89,83.0,12,64,67,England and Wales: before 1900
15476.1904761905,2023,2023-09-26,F,L,1950000,W6 9YJ,E09000013,{25E9DA80-665C-555E-E063-4704A8C066F2},56a2e76dc63712081879e41e74c5edf724f66cefbcd1f7f47d82cc49212eabc9,126.0,,11,86,86,2019
16680.959554989,2016,2016-12-15,T,F,1439400,W6 0EZ,E09000013,{453D27A3-4F0E-EF91-E050-A8C0630574D7},722675048752011111117081792999592,86.29,3.0,11,64,69,England and Wales: 1900-1929
11213.2352941176,2022,2022-12-09,T,F,1525000,SW6 4PD,E09000013,{F3B6C197-B87D-6E40-E053-6C04A8C0B3B4},8a959ae58ff85c2e48d0559687bdabace29b2d24b9de82d1f032a2e0fffe1629,136.0,6.0,11,70,85,England and Wales: 1996-2002
10898.8764044944,2017,2017-08-08,F,L,970000,SW6 7QJ,E09000013,{68FEB20B-1E9F-38DA-E053-6C04A8C051AE},1541204015332017050908365637078005,89.0,3.0,11,80,80,INVALID!
6964.28571428571,2022,2022-06-30,F,L,780000,SW6 3UL,E09000013,{EA3278AA-3EB1-2676-E053-6B04A8C015F8},95c2b0a7f1d78b90472d09174620d357929d9695bd69fe81d9c707da71956d87,112.0,4.0,11,65,75,England and Wales: 1900-1929
8705.88235294118,2017,2017-04-03,F,L,740000,SW6 6TU,E09000013,{582D0636-901F-8F22-E053-6C04A8C01BAC},1443277359922016051923255754918846,85.0,,12,45,45,NO DATA!
15807.3333333333,2022,2022-12-28,F,L,1185550,W12 7RD,E09000013,{0B85394F-973F-69A5-E063-4704A8C07DAC},20e07b3f291cd171f11c2cf1747bdbac950923fa931cb36f0d6dceca98167488,75.0,,11,87,87,2021
7758.62068965517,2019,2019-04-17,F,L,225000,W12 9LT,E09000013,{919FEC05-8713-9A90-E053-6C04A8C0A300},1680620599832018112111095115278396,29.0,1.0,11,59,82,England and Wales: 1976-1982
9027.77777777778,2023,2023-07-25,T,F,1950000,SW6 1RD,E09000013,{045A1898-3ECF-9A24-E063-4804A8C048EA},792905d351efa9ef408be327c7aeede517dbf033a51ccc34a78e6bb9aefaf06a,216.0,7.0,11,55,80,England and Wales: 1900-1929
