priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
6322.31404958678,2024,2024-05-17,S,F,765000,HA5 5LG,E09000015,{1C3E72FE-66A7-F410-E063-4804A8C0DFA6},1378679809042015102513523548052298,121.0,6.0,11,52,85,England and Wales: 1930-1949
6369.23076923077,2020,2020-02-28,F,L,414000,HA1 4GF,E09000015,{E073986A-BF60-2134-E053-6C04A8C0233B},1778034422922020021414084588948580,65.0,,11,84,84,NO DATA!
5460.52631578947,2015,2015-05-20,S,F,415000,HA5 5QP,E09000015,{2535D210-2A67-42D6-B8C1-D7F3EF329D34},1220310539112014101415085898949426,76.0,4.0,11,64,87,England and Wales: before 1900
6250.0,2015,2015-01-21,D,F,700000,HA5 1LH,E09000015,{B0B24F1B-AA71-48AC-BD39-ABCCF6630A8B},435454699352014041517344394940172,112.0,6.0,12,67,79,England and Wales: 1930-1949
4767.74305555556,2022,2022-08-25,D,F,686555,HA3 8DE,E09000015,{045A1898-EDB1-9A24-E063-4804A8C048EA},1f87edba5a54f92cfa32b1357ea6068e1030d25b2830e98929e3d29904efb45b,144.0,6.0,11,61,84,England and Wales: 1900-1929
4717.74193548387,2016,2016-02-26,F,L,292500,HA3 5FD,E09000015,{3B7E0B8F-708B-EA99-E050-A8C062057E77},1332197368512016012814121197260936,62.0,,11,83,83,NO DATA!
6384.61538461538,2015,2015-09-03,S,F,830000,HA7 4QY,E09000015,{D2C054DE-DD12-4459-84A8-DC64C7BC0986},151839847512015020317023691050550,130.0,4.0,12,66,85,England and Wales: 1930-1949
6648.93617021277,2021,2021-06-29,T,F,625000,HA3 9AA,E09000015,{D22473F5-B042-7B40-E053-6C04A8C0A630},1621c90f0966c8bc1b11966700a320da62b6b5d84dffba10495df065dda365fd,94.0,4.0,11,41,83,England and Wales: 1900-1929
4487.59124087591,2015,2015-03-10,S,F,614800,HA5 5BX,E09000015,{5E38D6D8-1512-4A3B-AC0E-03E9A372FCBF},1129857059742014042508340523242478,137.0,7.0,11,52,81,England and Wales: 1930-1949
5070.42253521127,2016,2016-01-14,T,F,720000,HA5 1LF,E09000015,{2D1E4B26-9181-FCD1-E050-A8C0630544EC},1366424739222015092309053319028505,142.0,7.0,11,61,76,England and Wales: 1930-1949
4863.31849968214,2015,2015-02-20,F,L,229500,HA5 4JX,E09000015,{3781C403-3445-43B1-9A66-A5F6DED9A69E},756956227232012030413341356068707,47.19,2.0,11,84,87,England and Wales: 1983-1990
4076.08695652174,2020,2020-02-14,S,F,375000,HA7 2QF,E09000015,{A2479555-76B8-74C7-E053-6B04A8C0887D},dd3682368faeca405b8905d1492713a391593516107d940b2081a328ead665ee,92.0,5.0,11,62,84,England and Wales: 1900-1929
7813.5593220339,2017,2017-07-17,T,F,461000,HA2 7ED,E09000015,{55BDCAE6-3F1A-521D-E053-6B04A8C0DD7A},1514085269442017012503465843932448,59.0,4.0,11,46,77,England and Wales: 1930-1949
6170.21276595745,2018,2018-01-08,S,F,580000,HA5 5LG,E09000015,{666758D7-1170-3363-E053-6B04A8C0D74E},1556740579902017070321562051230878,94.0,5.0,11,45,82,England and Wales: 1930-1949
4339.01918976546,2022,2022-04-06,F,L,203500,HA5 4JX,E09000015,{EA3278AA-3EFF-2676-E053-6B04A8C015F8},725816229222011112216574583728349,46.9,2.0,11,69,69,England and Wales: 1983-1990
5650.31982942431,2017,2017-11-17,F,L,265000,HA5 4JX,E09000015,{5F54B81D-7545-2B45-E053-6B04A8C01FB0},725816229222011112216574583728349,46.9,2.0,11,69,69,England and Wales: 1983-1990
4584.22174840085,2024,2024-07-10,F,L,215000,HA5 4JX,E09000015,{25E9DA80-5915-555E-E063-4704A8C066F2},725816229222011112216574583728349,46.9,2.0,11,69,69,England and Wales: 1983-1990
6014.49275362319,2021,2021-03-15,F,L,415000,HA5 5PA,E09000015,{C3C3F9B5-5064-362B-E053-6B04A8C03ACC},1381964589062015110408453630448595,69.0,,11,40,40,NO DATA!
6340.57971014493,2015,2015-12-04,F,L,437500,HA5 5PA,E09000015,{2FD36065-2333-4BF8-E050-A8C0620562B1},1381964589062015110408453630448595,69.0,,11,40,40,NO DATA!
6866.66666666667,2021,2021-07-20,T,F,515000,HA2 9LL,E09000015,{CFC9085C-D652-9A70-E053-6B04A8C09D6A},1487768289842016101309494641769678,75.0,5.0,11,61,87,England and Wales: 1930-1949
7567.56756756757,2020,2020-07-13,F,L,280000,HA7 3BQ,E09000015,{B32EBB13-3E39-3C99-E053-6C04A8C09CA1},1680497949962018121312150111678368,37.0,,11,63,63,NO DATA!
9019.60784313726,2019,2019-04-30,F,L,460000,HA5 5PB,E09000015,{8F1B26BD-46B3-53DB-E053-6C04A8C03649},1617079926832018061112585365978806,51.0,,11,85,85,NO DATA!
6796.875,2015,2015-12-03,F,L,435000,HA5 5PA,E09000015,{2FD36065-233B-4BF8-E050-A8C0620562B1},1381699689022015110408462590448115,64.0,,12,64,64,NO DATA!
7031.25,2015,2015-11-30,F,L,450000,HA5 5PA,E09000015,{2FD36065-22EA-4BF8-E050-A8C0620562B1},1381668948852015110408460092059341,64.0,,11,47,47,NO DATA!
