priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
4840.42553191489,2021,2021-03-02,T,F,455000,RM11 2AJ,E09000016,{C3C3F9B6-0F31-362B-E053-6B04A8C03ACC},2e2630e8008de022bb6d0c990ea2a2706decbd8feb1b7eae0219cabcce0780a1,94.0,5.0,11,69,86,England and Wales: 1930-1949
3457.44680851064,2016,2016-08-02,T,F,325000,RM3 7TU,E09000016,{3B7E0B8F-BC60-EA99-E050-A8C062057E77},1444850379962016051819183764588636,94.0,4.0,11,60,88,England and Wales: 1950-1966
5967.47724899299,2022,2022-03-02,T,F,400000,RM7 8RB,E09000016,{E2D14905-5FFC-4C2D-E053-6B04A8C0422B},424588979032010012111371788268702,67.03,5.0,11,62,66,England and Wales: 1930-1949
3582.08955223881,2017,2017-12-11,T,F,480000,RM12 5PH,E09000016,{64342BFE-916D-422C-E053-6C04A8C0FB8A},1563580389262017072819520723288373,134.0,7.0,11,64,76,England and Wales: 1967-1975
3437.5,2022,2022-02-18,T,F,302500,RM3 8PH,E09000016,{E073986B-1004-2134-E053-6C04A8C0233B},fd1771bb7a794901f8f42f488788662b69b69a1a6150a52cae238b70c4bdbe65,88.0,4.0,11,45,74,England and Wales: 1967-1975
5159.57446808511,2022,2022-03-23,T,F,485000,RM11 2NH,E09000016,{E073986B-1415-2134-E053-6C04A8C0233B},1807259372502020070122500174007008,94.0,4.0,11,62,82,England and Wales: 1930-1949
6495.26387009472,2022,2022-07-12,S,F,480000,RM14 1EP,E09000016,{E7B085FC-154D-7E31-E053-6C04A8C0E67F},394487060022009110609015569158261,73.9,5.0,11,55,58,
3378.37837837838,2015,2015-04-30,T,F,250000,RM7 0BL,E09000016,{CD417E2F-578F-453F-8A0D-E1BD35EEB512},601971672112014091022133196940181,74.0,3.0,12,54,81,England and Wales: 1900-1929
2941.17647058824,2015,2015-07-13,S,F,350000,RM5 3LB,E09000016,{DEA39BEB-9E3B-4181-ADF6-20FCE4398DDA},1185710274512014080515201594040729,119.0,5.0,11,64,80,England and Wales: 1930-1949
5778.68852459016,2022,2022-12-23,F,L,352500,RM13 9GZ,E09000016,{1EAE3DF6-2D8D-9EB1-E063-4704A8C09D02},cdc350e80727dfa87cde36fe4b5f8d5da4cad4960d420de936921405ab41ea91,61.0,,11,83,83,2020
