priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
6034.48275862069,2024,2024-05-17,S,F,700000,HA4 0AT,E09000017,{1C3E72FE-6529-F410-E063-4804A8C0DFA6},1524323139142017030410524356030578,116.0,6.0,11,61,78,England and Wales: 1930-1949
7900.0,2021,2021-05-21,F,L,395000,HA4 0GF,E09000017,{E53EDD2D-4A3B-83EC-E053-6B04A8C03A59},2af90ea995989a0140d6eba7eeacaaeb454b7ed216173c7ac1682481bfdd07b5,50.0,,11,83,83,
3816.66666666667,2015,2015-02-27,F,L,114500,UB3 5NQ,E09000017,{C1E797AC-A421-4953-A255-8BF54F501241},279979359902016062109580062169548,30.0,1.0,12,51,77,England and Wales: 1967-1975
6123.59550561798,2020,2020-01-31,S,F,545000,HA6 1PW,E09000017,{A2479555-764E-74C7-E053-6B04A8C0887D},1735744459502019071214321762519198,89.0,5.0,11,28,81,England and Wales: 1950-1966
6250.0,2015,2015-08-14,D,F,750000,HA4 7XL,E09000017,{ECBBA890-501A-408A-BB4F-5260212D6039},1307243654532015040712544416078108,120.0,5.0,11,54,79,England and Wales: 1950-1966
4569.89247311828,2020,2020-07-10,S,F,425000,UB8 2PU,E09000017,{B0A9D11B-A131-4C1F-E053-6C04A8C0D716},1753391339222019092509132716548761,93.0,6.0,11,61,86,England and Wales: 1983-1990
6071.42857142857,2018,2018-08-16,T,F,425000,HA6 1PS,E09000017,{773788C2-324C-2CE4-E053-6C04A8C05E57},1435123709142016041913214243469488,70.0,3.0,11,60,84,England and Wales: 1976-1982
4518.26923076923,2015,2015-07-31,F,L,234950,UB10 0FQ,E09000017,{2D1E4B25-EA5D-FCD1-E050-A8C0630544EC},1332811062852015061515295798950736,52.0,,11,86,86,NO DATA!
4271.3567839196,2018,2018-12-14,T,F,850000,UB10 0GQ,E09000017,{80E1AA97-AA5B-7BF8-E053-6C04A8C00BF2},1682522389262018112908255971018828,199.0,,11,90,91,NO DATA!
5092.59259259259,2016,2016-01-07,F,L,275000,UB5 6YL,E09000017,{2AC10E4F-121C-1AF6-E050-A8C063052BA1},815338649962012071807162120638372,54.0,3.0,11,66,81,England and Wales: 1976-1982
3736.26373626374,2015,2015-05-27,S,F,340000,UB3 1QE,E09000017,{3B3D48AE-7E8D-47C4-8190-F14685033946},1260089029262015012216553171228705,91.0,5.0,11,61,86,England and Wales: 1950-1966
3716.04938271605,2015,2015-11-20,T,F,301000,UB4 0DS,E09000017,{288DCE29-6F97-E510-E050-A8C06205480E},1373405709922015101015395659408195,81.0,5.0,11,43,90,England and Wales: before 1900
6973.33333333333,2023,2023-09-29,S,F,523000,UB3 1SW,E09000017,{0B85394F-8A3F-69A5-E063-4704A8C07DAC},1064847343612019042823020999210710,75.0,4.0,12,76,90,England and Wales: 2007 onwards
4556.45161290323,2023,2023-03-14,T,F,565000,UB10 0SJ,E09000017,{F87E72F8-88EE-176C-E053-6B04A8C0D2BE},1047288032512013112810554096279816,124.0,5.0,12,79,87,England and Wales: 1950-1966
4935.89743589744,2015,2015-04-02,T,F,385000,HA6 3LT,E09000017,{433457A0-6185-4A4E-9286-D36B403DB06E},453898849262014072607131623468284,78.0,3.0,12,54,80,England and Wales: 1950-1966
5182.92682926829,2018,2018-10-19,T,F,425000,UB10 9DX,E09000017,{7C2D0700-61CC-4963-E053-6B04A8C07B97},1507004425712018061117135891080541,82.0,5.0,11,65,86,England and Wales: 1930-1949
