priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
5705.88235294118,2018,2018-09-28,T,F,485000,TW5 9DS,E09000018,{79A74E21-DE05-1289-E053-6B04A8C01627},193285869262018062111462485098558,85.0,5.0,12,70,88,England and Wales: 1930-1949
4211.2676056338,2015,2015-12-22,F,L,299000,TW13 4FB,E09000018,{2AC10E4F-1673-1AF6-E050-A8C063052BA1},1392060839022015120216052361528735,71.0,,11,81,81,NO DATA!
3981.48148148148,2015,2015-09-11,T,F,430000,TW5 9LS,E09000018,{3B7E0B8F-7048-EA99-E050-A8C062057E77},1315167399552015042909333295250030,108.0,,11,89,91,NO DATA!
6696.9696969697,2016,2016-09-06,F,L,221000,TW3 1HY,E09000018,{42A5A708-BEF1-56E8-E050-A8C06205331E},1455363899252016062808555594260945,33.0,,11,75,75,NO DATA!
7100.0,2018,2018-03-28,S,F,355000,TW13 7LA,E09000018,{6DA0844A-288A-30F2-E053-6B04A8C05F3B},1579786139402017101222000453439828,50.0,4.0,11,62,88,England and Wales: 1930-1949
6988.63636363636,2021,2021-12-06,F,L,307500,TW8 8QJ,E09000018,{DBA933F8-E322-669D-E053-6B04A8C0AD56},4d8d88dcc76408b32b9956c9757938e7db460abffad380f6f5dc0db5bd5f0472,44.0,2.0,11,75,79,England and Wales: 1976-1982
8480.39215686274,2022,2022-11-10,T,F,865000,W4 3LD,E09000018,{F16F63C5-EB88-0491-E053-6C04A8C032ED},1130104963352014042414062695240326,102.0,5.0,11,60,85,England and Wales: 1950-1966
6000.0,2018,2018-02-12,F,L,300000,TW3 1HY,E09000018,{68FEB20B-1652-38DA-E053-6C04A8C051AE},1586091897352017112115280897239358,50.0,,11,80,80,NO DATA!
6491.22807017544,2023,2023-11-30,S,F,740000,TW5 0HB,E09000018,{12A8BAB6-6BAD-2125-E063-4804A8C08CC1},1493df6c96bfaffc80f400f1b34864eb8ed8c9eb11d653ca70ea1e7b039de418,114.0,8.0,11,68,84,England and Wales: 1900-1929
5873.01587301587,2023,2023-12-13,F,L,370000,TW7 5JD,E09000018,{1775CCF7-6447-38BA-E063-4704A8C05A7C},549ebfeb38cbbe62e5f5f5d97c9611d18e65404db3675c099d162876d5946509,63.0,3.0,11,59,64,England and Wales: 1950-1966
4857.14285714286,2020,2020-07-10,D,F,510000,TW3 2LY,E09000018,{B0A9D11B-9D9C-4C1F-E053-6C04A8C0D716},150120409922019021218131671228621,105.0,5.0,11,55,79,England and Wales: 1930-1949
3739.13043478261,2015,2015-09-24,T,F,344000,TW14 8PL,E09000018,{23B6165E-9C1A-FCF4-E050-A8C0620577FA},1291510127532015031216244783978108,92.0,4.0,11,52,81,England and Wales: 1930-1949
6363.63636363636,2016,2016-09-13,F,L,210000,TW3 1HY,E09000018,{47844C7F-59F6-8986-E050-A8C063056488},1455357499262016062808554825208596,33.0,,11,79,79,NO DATA!
5000.0,2015,2015-06-18,F,L,250000,TW3 1AJ,E09000018,{5C55291F-DFD6-445D-B2E6-E9B24579896B},1276286042532015020315581583078503,50.0,,11,84,84,NO DATA!
6785.71428571429,2022,2022-10-07,T,F,950000,W3 8ND,E09000018,{F3B6C198-7C88-6E40-E053-6C04A8C0B3B4},212039115752020070907494224000653,140.0,5.0,12,62,82,England and Wales: 1930-1949
4878.78787878788,2019,2019-11-26,F,L,322000,TW7 7DZ,E09000018,{9B361205-E16E-1904-E053-6B04A8C0EEB5},1667716719062018100208094020798538,66.0,3.0,11,66,75,England and Wales: 1950-1966
7777.77777777778,2017,2017-05-23,F,L,350000,TW8 9NR,E09000018,{5376B385-B640-34C1-E053-6B04A8C09FF6},39547400632016101916430695968295,45.0,3.0,12,51,71,England and Wales: 1900-1929
7470.02162374681,2018,2018-04-30,F,L,380000,TW7 6GP,E09000018,{6DA08449-8D5C-30F2-E053-6B04A8C05F3B},515396363032010071912413942968807,50.87,,11,87,87,NO DATA!
3066.66666666667,2016,2016-07-22,T,F,230000,TW5 9JW,E09000018,{3B7E0B8F-729F-EA99-E050-A8C062057E77},684850819022016060117254890698956,75.0,4.0,12,68,84,England and Wales: 1950-1966
3933.33333333333,2015,2015-02-20,S,F,295000,TW13 4LP,E09000018,{A2552D31-AC8F-4DFC-8F46-DF3F70295827},281020339222014082812034411488414,75.0,4.0,12,66,88,England and Wales: 1967-1975
10204.0816326531,2015,2015-02-02,F,L,500000,W4 3TE,E09000018,{A85E010C-214C-4F0E-9117-0DCD7A855653},1212400839602014100219343722840828,49.0,3.0,11,61,76,England and Wales: 1967-1975
7826.08695652174,2021,2021-12-21,T,F,720000,W3 8ND,E09000018,{D93B27B1-0F55-3100-E053-6C04A8C08887},50f1b308daa231b754ded925949fe3680150e995d0edbbd8a7e5c2f1e37e8d7a,92.0,5.0,11,58,78,England and Wales: 1930-1949
