priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
26200.0,2015,2015-03-04,F,F,262000,N1 0NA,E09000019,{CEDC2E01-248C-4BD3-93A3-1AA8F95570EE},1204553231432014092411151674978900,10.0,1.0,11,43,93,England and Wales: before 1900
8307.69230769231,2021,2021-03-09,F,L,540000,N7 0HN,E09000019,{F16F63C5-5909-0491-E053-6C04A8C032ED},1815274232802020080414504672100548,65.0,,11,84,84,NO DATA!
10259.7402597403,2018,2018-08-06,F,L,790000,N5 2NH,E09000019,{79A74E21-146C-1289-E053-6B04A8C01627},1616708416352018032914193199280257,77.0,,11,84,84,NO DATA!
11818.1818181818,2023,2023-06-23,F,L,910000,N5 2NH,E09000019,{01EB45EF-663F-40F3-E063-4704A8C05FDE},1616708416352018032914193199280257,77.0,,11,84,84,NO DATA!
7196.9696969697,2024,2024-05-31,F,L,950000,N1 0HX,E09000019,{25E9DA81-2756-555E-E063-4704A8C066F2},1767455449962019112120381417388761,132.0,5.0,11,72,80,England and Wales: 1930-1949
11363.6363636364,2021,2021-06-30,F,L,375000,N1 3NX,E09000019,{D4D42646-1202-27F6-E053-6C04A8C0A572},106640339062019020719175017738601,33.0,2.0,11,70,77,England and Wales: 1950-1966
8933.33333333333,2023,2023-05-19,F,L,670000,N19 5JS,E09000019,{01EB45F0-015B-40F3-E063-4704A8C05FDE},b0dc6ce56cad057d7278454744e59b18777caf8edc1612d154c2f2dd38ff4e07,75.0,4.0,12,76,77,England and Wales: 1900-1929
10076.9230769231,2020,2020-10-02,F,L,655000,EC1R 1XJ,E09000019,{B82222EC-727B-6691-E053-6B04A8C02FB2},92378620812018032212553194280947,65.0,3.0,11,55,62,England and Wales: 1950-1966
16455.2622557422,2021,2021-09-30,F,L,2400000,EC1V 3AN,E09000019,{DBA933F8-E2E2-669D-E053-6B04A8C0AD56},751587146812012021710134696920898,145.85,,11,75,75,NO DATA!
9586.77685950413,2017,2017-08-25,T,F,1160000,N19 3JW,E09000019,{5A9D8B55-58A2-68EB-E053-6B04A8C0D293},1540611659542017050312190151130178,121.0,6.0,11,61,79,England and Wales: 1930-1949
