priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
14375.0,2021,2021-06-30,F,L,690000,W14 8BU,E09000020,{D707E534-C479-0AD9-E053-6B04A8C067CC},1380246709222015102917270130618045,48.0,,11,83,83,NO DATA!
17753.125,2015,2015-12-16,F,L,852150,W14 8BU,E09000020,{3B7E0B8F-7AAF-EA99-E050-A8C062057E77},1380246709222015102917270130618045,48.0,,11,83,83,NO DATA!
19152.0,2016,2016-01-19,F,L,1915200,W14 8BU,E09000020,{369DFB15-5A7C-3A19-E050-A8C0620518C6},1380271600212015102917283892259448,100.0,,11,83,83,NO DATA!
21428.5714285714,2020,2020-11-27,T,F,10500000,W8 7JY,E09000020,{C6209F5E-CD84-295E-E053-6C04A8C0DDCC},347167615312015111614434592959567,490.0,13.0,12,57,73,England and Wales: before 1900
10013.9729855612,2018,2018-09-14,F,L,430000,SW10 9ED,E09000020,{79A74E21-1FF1-1289-E053-6B04A8C01627},633590599102011052412055589692748,42.94,2.0,11,66,71,England and Wales: before 1900
28313.2530120482,2018,2018-10-08,F,L,2350000,W8 5EH,E09000020,{7C2D06FF-AB26-4963-E053-6B04A8C07B97},1638514616832018060815022690078200,83.0,,11,86,86,NO DATA!
27951.8072289157,2019,2019-02-15,F,L,2320000,W8 5EH,E09000020,{8355F008-AD65-55C5-E053-6B04A8C0D090},1638514616832018060815022690078200,83.0,,11,86,86,NO DATA!
16581.6326530612,2019,2019-06-17,F,L,1625000,W11 2JN,E09000020,{965B6D91-ABC3-95E4-E053-6C04A8C07729},1365572649962015091811010849638745,98.0,5.0,12,49,64,England and Wales: before 1900
18750.0,2023,2023-12-06,F,L,2400000,W8 4AL,E09000020,{152AB733-812F-E651-E063-4704A8C061D9},1805891905352020062911294926200572,128.0,5.0,11,67,72,England and Wales: before 1900
11455.6962025316,2019,2019-12-17,F,L,905000,W14 8HH,E09000020,{9B361205-ECBA-1904-E053-6B04A8C0EEB5},513224499242016012918215577762918,79.0,3.0,11,67,77,England and Wales: before 1900
20718.2320441989,2016,2016-10-28,T,F,11250000,SW7 2SR,E09000020,{404A5AF3-19BE-CD2B-E050-A8C063055C7B},260537229902012112312092164022308,543.0,11.0,12,56,72,England and Wales: before 1900
18877.5510204082,2019,2019-10-21,F,L,1850000,W8 5UF,E09000020,{965B6D91-0159-95E4-E053-6C04A8C07729},124344049642018092005192646989038,98.0,3.0,11,81,83,England and Wales: 2007 onwards
19166.6666666667,2016,2016-07-25,F,L,805000,SW5 0JJ,E09000020,{3B7E0B90-2D0B-EA99-E050-A8C062057E77},162629093652020063005042022200153,42.0,2.0,12,64,77,England and Wales: before 1900
23461.6873065015,2015,2015-12-11,T,F,2425000,SW7 5AJ,E09000020,{2FD36065-2C9E-4BF8-E050-A8C0620562B1},747745839602012020716181597520968,103.36,3.0,11,62,63,England and Wales: 1900-1929
13031.914893617,2016,2016-03-11,F,L,1225000,W8 5JB,E09000020,{31FB4C17-AF0D-57B9-E050-A8C063053436},1354308059962015081511111178278275,94.0,3.0,11,74,78,England and Wales: before 1900
17721.5189873418,2020,2020-07-30,F,L,1400000,SW3 3PP,E09000020,{C18F412A-7C85-81A6-E053-6B04A8C0AD18},1083461104752014020511580992040311,79.0,3.0,12,75,80,England and Wales: 1983-1990
21241.3793103448,2022,2022-09-27,T,F,3080000,W8 7PR,E09000020,{EC7AD099-33A1-9200-E053-6C04A8C0E306},47578669502019093012130446312078,145.0,6.0,12,76,87,England and Wales: 1900-1929
13461.5384615385,2020,2020-07-24,F,L,1225000,SW7 3BE,E09000020,{B0A9D11B-3354-4C1F-E053-6C04A8C0D716},164614630712020061112180225000851,91.0,3.0,12,68,76,England and Wales: before 1900
24074.0740740741,2016,2016-12-06,T,F,2600000,SW7 3BT,E09000020,{49B78529-AFE3-7921-E050-A8C063056E8D},678812869062013062617431230428262,108.0,4.0,12,55,78,England and Wales: before 1900
20853.6693584169,2021,2021-04-23,T,F,4700000,W11 4LG,E09000020,{C8A3A575-CBE4-0425-E053-6C04A8C0947B},497287986032010060916273245068001,225.38,10.0,11,55,57,England and Wales: before 1900
25362.9525975162,2017,2017-03-31,T,F,5800000,SW7 2TD,E09000020,{4E95D757-A5BC-EDA1-E050-A8C0630539E2},425375061252010012210134197900973,228.68,8.0,11,44,51,England and Wales: before 1900
26490.3846153846,2019,2019-07-08,F,L,1377500,W8 5EH,E09000020,{B0A9D11B-32E4-4C1F-E053-6C04A8C0D716},1638683829022018060815015808388768,52.0,,11,84,84,NO DATA!
