priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
7788.46153846154,2019,2019-10-30,F,L,405000,SW9 6AN,E09000022,{98C75472-65EC-72E9-E053-6B04A8C042F0},d86b413310d02ef1e62ddd72e4728b7db43f792f6655643c342f9f925634d5b9,52.0,2.0,12,82,82,England and Wales: 2012 onwards
7200.0,2017,2017-11-24,T,F,900000,SE27 0TB,E09000022,{61D8894E-4327-3DE6-E053-6C04A8C01207},1303359529262017062917572424518353,125.0,6.0,11,46,78,England and Wales: 1900-1929
8281.31502288806,2017,2017-07-19,F,L,398000,SE11 5SE,E09000022,{61D8894E-42D8-3DE6-E053-6C04A8C01207},544404419802010092310364484002228,48.06,2.0,11,50,51,England and Wales: 1900-1929
8322.92967124428,2021,2021-06-25,F,L,400000,SE11 5SE,E09000022,{DBA933F9-E87D-669D-E053-6B04A8C0AD56},544404419802010092310364484002228,48.06,2.0,11,50,51,England and Wales: 1900-1929
7823.55389096962,2019,2019-05-31,F,L,376000,SE11 5SE,E09000022,{8F1B26BE-1D41-53DB-E053-6C04A8C03649},544404419802010092310364484002228,48.06,2.0,11,50,51,England and Wales: 1900-1929
6359.64912280702,2019,2019-06-21,T,F,725000,SE27 9BJ,E09000022,{8CAC1318-BFB8-0253-E053-6B04A8C08E51},1164930088612014062710511099240326,114.0,,11,83,92,NO DATA!
7920.38992688871,2023,2023-09-26,F,L,780000,SW12 0ND,E09000022,{0B853950-7D02-69A5-E063-4704A8C07DAC},83528699242012011016250147529708,98.48,7.0,11,46,58,England and Wales: 1900-1929
6044.10294117647,2015,2015-08-29,F,L,410999,SE11 5SE,E09000022,{599A6D0A-30D2-4D72-8CC8-7D00B975DF63},8aaea609320ad9d4de0a0102069345e1407406f3676e18eb4b71ed9cffd8a492,68.0,2.0,11,63,78,England and Wales: 1967-1975
7222.22222222222,2021,2021-09-01,F,L,650000,SE27 0AL,E09000022,{D707E536-0C6C-0AD9-E053-6B04A8C067CC},a565303384f62d347a79ae179bb9099c82c2d7574f60f13ccc8d1a50ff8ee612,90.0,3.0,12,72,75,England and Wales: 1900-1929
7995.28301886792,2015,2015-01-28,T,F,1695000,SW4 0DH,E09000022,{3F331026-351F-4975-B704-186BB62B63B1},1117642369542014033117323720147898,212.0,7.0,11,53,75,England and Wales: before 1900
5147.05882352941,2020,2020-03-11,F,L,350000,SW2 4AP,E09000022,{A96E4ACC-97E1-9205-E053-6C04A8C0DA09},769910715112017102508281190039290,68.0,3.0,11,71,81,England and Wales: 1930-1949
4687.5,2020,2020-12-01,F,L,375000,SE27 0QH,E09000022,{BC8936BC-0353-0E2C-E053-6C04A8C0DBF4},772751312802020072317334496702878,80.0,5.0,11,66,78,England and Wales: 1930-1949
2280.82191780822,2017,2017-03-03,F,L,166500,SW8 3LX,E09000022,{4E95D757-DF73-EDA1-E050-A8C0630539E2},353877070612016090318444697060966,73.0,3.0,12,83,83,England and Wales: 2003-2006
8606.55737704918,2018,2018-02-09,T,F,1050000,SE11 4AP,E09000022,{666758D6-FC37-3363-E053-6B04A8C0D74E},1550457769022017060909545002388413,122.0,6.0,11,25,80,England and Wales: before 1900
8500.0,2015,2015-06-30,F,L,595000,SE11 5NG,E09000022,{2AC10E50-1B90-1AF6-E050-A8C063052BA1},1175953879902014090109130927542638,70.0,,12,81,81,NO DATA!
7171.05263157895,2018,2018-03-30,F,L,545000,SW4 7JT,E09000022,{7011B109-E9BA-8ED6-E053-6B04A8C075C1},348277288152014032416013993240066,76.0,3.0,12,66,75,England and Wales: before 1900
7265.625,2015,2015-08-28,T,F,930000,SW2 5UJ,E09000022,{6CE9E993-F00F-421B-8755-F7858391B3BE},263004879922015051911084080088155,128.0,6.0,12,57,83,England and Wales: before 1900
7477.06422018349,2016,2016-04-20,S,F,815000,SE24 0DD,E09000022,{404A5AF4-11FB-CD2B-E050-A8C063055C7B},1330789709022016030213035526528516,109.0,,12,80,93,NO DATA!
7686.5671641791,2023,2023-12-13,T,F,1030000,SW9 8AF,E09000022,{1775CCF7-5112-38BA-E063-4704A8C05A7C},503637222642020080617412973700868,134.0,6.0,12,63,81,England and Wales: 1900-1929
7276.11940298507,2021,2021-05-14,T,F,975000,SW9 8AF,E09000022,{CFC9085C-C541-9A70-E053-6B04A8C09D6A},503637222642020080617412973700868,134.0,6.0,12,63,81,England and Wales: 1900-1929
8783.78378378378,2020,2020-08-20,T,F,1300000,SW12 0HD,E09000022,{B32EBB13-DB4D-3C99-E053-6C04A8C09CA1},784113215032020052908354605268703,148.0,7.0,12,62,80,England and Wales: 1900-1929
6132.35294117647,2018,2018-03-02,F,L,417000,SW8 1HX,E09000022,{68FEB20B-E40F-38DA-E053-6C04A8C051AE},76215599922017061509013865228933,68.0,3.0,12,41,78,England and Wales: 1900-1929
3924.05063291139,2024,2024-09-06,F,L,310000,SW9 9DD,E09000022,{25E9DA81-8047-555E-E063-4704A8C066F2},3ce5dc6083dcc681b47bb67f4a00d28c1a7f2cdb231518fbaab63aad66b7cddc,79.0,3.0,11,63,65,England and Wales: 1950-1966
9886.36363636364,2021,2021-06-30,F,L,435000,SW2 5BJ,E09000022,{D707E536-0B7B-0AD9-E053-6B04A8C067CC},925229102812013050608511990070406,44.0,2.0,11,62,79,England and Wales: before 1900
9772.72727272727,2018,2018-04-13,F,L,430000,SW2 5BJ,E09000022,{6B32222C-B4BF-01F1-E053-6C04A8C0D2C8},925229102812013050608511990070406,44.0,2.0,11,62,79,England and Wales: before 1900
9034.09090909091,2015,2015-04-13,F,L,397500,SW2 5BJ,E09000022,{0A934603-4797-4DEA-BA25-3E76FDBE8529},925229102812013050608511990070406,44.0,2.0,11,62,79,England and Wales: before 1900
11013.698630137,2016,2016-06-30,F,L,804000,SW8 2EW,E09000022,{453D27A3-967F-EF91-E050-A8C0630574D7},1450929172852016062011551592260243,73.0,,11,83,83,NO DATA!
8854.16666666667,2020,2020-08-20,S,F,1275000,SW12 9NY,E09000022,{B82222ED-3664-6691-E053-6B04A8C02FB2},1781653219252020020121400128000862,144.0,6.0,11,65,82,England and Wales: 1900-1929
