priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
7019.23076923077,2022,2022-11-07,F,L,365000,SE13 6BX,E09000023,{F16F63C6-2AA8-0491-E053-6C04A8C032ED},657829330752017060723020497030586,52.0,2.0,12,63,76,England and Wales: 1900-1929
6730.76923076923,2017,2017-09-07,F,L,350000,SE13 6BX,E09000023,{64342BFE-ECCB-422C-E053-6C04A8C0FB8A},657829330752017060723020497030586,52.0,2.0,12,63,76,England and Wales: 1900-1929
6521.12676056338,2015,2015-05-26,F,L,463000,SE8 5ES,E09000023,{1431FE86-7B8F-4B0B-A2A3-EFC8ED71CF1C},1288403949412015050610513596050631,71.0,,11,85,85,NO DATA!
5535.71428571429,2015,2015-02-04,F,L,217000,SE13 7PA,E09000023,{0308ECD5-4117-4B5B-A060-A159C80E590C},464006579722010040116105504298210,39.2,2.0,11,69,75,England and Wales: 1900-1929
5529.41176470588,2018,2018-07-13,F,L,282000,SE6 3NH,E09000023,{7C2D0700-B6C7-4963-E053-6B04A8C07B97},1575113699542017091618083850339658,51.0,3.0,11,61,76,England and Wales: 1930-1949
5500.0,2021,2021-06-21,F,L,385000,SE13 6EG,E09000023,{D22473F6-20BA-7B40-E053-6C04A8C0A630},7a2f273e79b9f94f2aa7ad67ca8f7b253fefea9dddfff8ac3b3bf374f38719d2,70.0,3.0,12,75,78,England and Wales: 1967-1975
5000.0,2016,2016-05-13,F,L,350000,SE13 6EG,E09000023,{369DFB16-20F0-3A19-E050-A8C0620518C6},7a2f273e79b9f94f2aa7ad67ca8f7b253fefea9dddfff8ac3b3bf374f38719d2,70.0,3.0,12,75,78,England and Wales: 1967-1975
3428.57142857143,2015,2015-08-10,F,L,312000,SE15 1PJ,E09000023,{288DCE29-C561-E510-E050-A8C06205480E},1190551579102014081800142528649448,91.0,6.0,11,70,76,England and Wales: 1976-1982
7063.49206349206,2021,2021-10-08,T,F,890000,SE14 5SJ,E09000023,{D93B27B1-4491-3100-E053-6C04A8C08887},5591e375772efb72725adc35bf505053498cc0bb9f21d2b051efa682299f5d9d,126.0,6.0,11,58,75,England and Wales: 1900-1929
5066.66666666667,2017,2017-08-24,T,F,380000,SE6 1JN,E09000023,{582D0637-2E54-8F22-E053-6C04A8C01BAC},1533862977952017040516275690030450,75.0,4.0,11,35,73,England and Wales: 1900-1929
6976.19047619048,2019,2019-12-18,F,L,293000,SE13 7QQ,E09000023,{AE4D86D4-7049-4619-E053-6C04A8C03CD0},1724391879802019052908571966412588,42.0,2.0,11,82,86,England and Wales: 2003-2006
6953.7732121691,2022,2022-08-24,F,L,528000,SE13 7AN,E09000023,{EED73E76-38C5-6AF3-E053-6C04A8C08ABA},584639509222011012518321073658369,75.93,3.0,11,79,82,England and Wales: 1900-1929
6170.15672329777,2018,2018-10-26,F,L,468500,SE13 7AN,E09000023,{7C2D0700-B49E-4963-E053-6B04A8C07B97},584639509222011012518321073658369,75.93,3.0,11,79,82,England and Wales: 1900-1929
8145.90542099193,2015,2015-12-10,S,F,565000,SE4 1SU,E09000023,{288DCE29-C566-E510-E050-A8C06205480E},365642081132009091718131734968703,69.36,3.0,11,61,61,England and Wales: before 1900
6296.2962962963,2024,2024-07-10,F,L,510000,SE23 3SY,E09000023,{2131FCF6-8CE5-86E8-E063-4804A8C0372B},1660771619062018090510084960048818,81.0,4.0,11,67,80,England and Wales: 1900-1929
8242.1875,2020,2020-07-01,T,F,1055000,SE13 7TW,E09000023,{BA558B32-FF01-76EF-E053-6B04A8C0B4B7},1772697429902019121913411461819778,128.0,7.0,11,54,79,England and Wales: 1900-1929
4800.0,2017,2017-04-13,T,F,456000,SE8 4BD,E09000023,{4E95D757-DE88-EDA1-E050-A8C0630539E2},600532849742014101519532484449758,95.0,5.0,12,65,86,England and Wales: 1967-1975
5393.93939393939,2020,2020-07-09,S,F,890000,SE6 1DF,E09000023,{B32EBB13-AA37-3C99-E053-6C04A8C09CA1},980078119752013080123194098070213,165.0,5.0,11,51,80,England and Wales: before 1900
4848.48484848485,2016,2016-09-09,S,F,800000,SE6 1DF,E09000023,{404A5AF3-AC49-CD2B-E050-A8C063055C7B},980078119752013080123194098070213,165.0,5.0,11,51,80,England and Wales: before 1900
4067.16417910448,2023,2023-04-06,F,L,272500,SE26 4FE,E09000023,{1775CCF7-A5FA-38BA-E063-4704A8C05A7C},b67106b1886579971704fb454bcb35869b34e91e3b9c27b17ad43b704e18b834,67.0,,11,84,84,2020
4508.65662071177,2016,2016-07-05,F,L,225000,SE9 4HG,E09000023,{3B7E0B90-7947-EA99-E050-A8C062057E77},760218869712012032920120692220590,49.904,2.0,11,66,73,England and Wales: 1976-1982
1426.08695652174,2019,2019-05-23,T,L,164000,SE6 4RS,E09000023,{8CAC1318-BDFF-0253-E053-6B04A8C08E51},1665579949742018092416380068082528,115.0,6.0,11,73,84,England and Wales: 1991-1995
4518.07228915663,2023,2023-06-28,T,F,375000,BR1 5NS,E09000023,{01EB45F0-3EE0-40F3-E063-4704A8C05FDE},77f14db60882575fb5a17a0eec41afd0aae2dc05de8488271a3a2f0bd87483b4,83.0,4.0,11,58,85,England and Wales: 1900-1929
11083.3333333333,2019,2019-12-13,T,F,665000,SE4 2BQ,E09000023,{9DBAD221-E642-6EB3-E053-6B04A8C0F257},1753684869222019092608342716658051,60.0,6.0,12,59,87,England and Wales: 1900-1929
6394.3661971831,2023,2023-02-13,F,L,454000,SE4 1LT,E09000023,{F87E72F9-7EEB-176C-E053-6B04A8C0D2BE},eb0c7533c4b3de715de2ea73c00dd9eeec79d2fbe5037659438d5885ea0a7014,71.0,3.0,12,67,77,England and Wales: 1900-1929
5344.8275862069,2018,2018-11-30,F,L,465000,SE10 8FP,E09000023,{7E86B6FB-607E-458C-E053-6B04A8C0C84C},857439329602013010916310502370418,87.0,,12,85,85,NO DATA!
5478.72340425532,2021,2021-06-14,F,L,515000,SE4 1LT,E09000023,{FAC30767-8DDB-5E20-E053-4704A8C004EE},767856477952019090913200498010690,94.0,3.0,12,65,77,England and Wales: 1900-1929
5714.28571428571,2021,2021-12-17,T,F,600000,SE6 3BH,E09000023,{E073986A-B96A-2134-E053-6C04A8C0233B},287441419442013073123445763277098,105.0,5.0,12,64,83,England and Wales: 1900-1929
7090.57639524245,2016,2016-07-27,F,L,620000,SE23 3TH,E09000023,{3B7E0B90-7997-EA99-E050-A8C062057E77},621448984932011042610283477268003,87.44,5.0,12,57,68,England and Wales: 1900-1929
4615.38461538462,2016,2016-05-31,F,L,240000,SE6 3AU,E09000023,{369DFB16-4567-3A19-E050-A8C0620518C6},1441371815632016050918380066078401,52.0,2.0,12,67,80,England and Wales: 1950-1966
5427.35042735043,2018,2018-07-16,F,L,317500,SE6 4XG,E09000023,{726BF13B-5806-0A46-E053-6C04A8C01D0D},226520260062009020812492197538701,58.5,3.0,11,60,65,England and Wales: 1930-1949
4636.36363636364,2023,2023-04-25,T,F,408000,BR1 4QN,E09000023,{FD226036-2C53-4CB7-E053-4804A8C00430},261508784132009041318192432068708,88.0,4.0,11,70,70,England and Wales: 1930-1949
6794.87179487179,2017,2017-01-09,T,F,530000,SE26 4ES,E09000023,{47844C7F-5477-8986-E050-A8C063056488},1145724961452016100914465796069927,78.0,4.0,12,57,81,England and Wales: 1900-1929
6490.38461538462,2021,2021-11-25,T,F,675000,SE23 3TG,E09000023,{D4D42646-3C9A-27F6-E053-6C04A8C0A572},952909299842013061718135109979938,104.0,5.0,11,72,86,England and Wales: 1967-1975
7043.10344827586,2016,2016-07-14,F,L,408500,SE13 7FY,E09000023,{3E0330F0-6993-8D89-E050-A8C062052140},1065281399942013123117024517777798,58.0,,12,86,86,NO DATA!
5421.68674698795,2021,2021-06-28,S,F,900000,SE6 1DF,E09000023,{D22473F5-E923-7B40-E053-6C04A8C0A630},1131671859262014042815151392288514,166.0,7.0,11,51,82,England and Wales: 1900-1929
6666.66666666667,2022,2022-05-06,F,F,380000,SE26 4JL,E09000023,{E53EDD2E-5068-83EC-E053-6B04A8C03A59},004f3c0627740e898d770bb0907a6401bf65a80837d8c52b70200b29e6b579cf,57.0,3.0,11,81,81,England and Wales: 2003-2006
5736.84210526316,2016,2016-07-29,F,F,327000,SE26 4JL,E09000023,{42A5A709-CA16-56E8-E050-A8C06205331E},004f3c0627740e898d770bb0907a6401bf65a80837d8c52b70200b29e6b579cf,57.0,3.0,11,81,81,England and Wales: 2003-2006
5866.37931034483,2015,2015-10-29,F,L,340250,SE8 4RS,E09000023,{241A4A53-CED6-706B-E050-A8C06205638B},1348391629222015072915594427518895,58.0,3.0,11,75,80,England and Wales: 1976-1982
5425.53191489362,2019,2019-12-02,F,L,510000,SE23 1RH,E09000023,{B0A9D11B-D4D9-4C1F-E053-6C04A8C0D716},770231269922019061717000286538921,94.0,5.0,12,76,76,England and Wales: 1900-1929
4029.85074626866,2022,2022-07-15,F,L,270000,BR1 5SJ,E09000023,{E7B085FC-B342-7E31-E053-6C04A8C0E67F},ca5df773c1e4bd38ce6e6ddf238852018ec26f3cab4d9089e16c32ae7a34f12c,67.0,3.0,11,65,65,England and Wales: 1950-1966
5228.75816993464,2019,2019-04-26,T,F,800000,SE23 1NZ,E09000023,{8A78B2AF-F546-5CB0-E053-6B04A8C0F504},433303719252019011220013692910278,153.0,7.0,12,72,83,England and Wales: 1900-1929
5000.0,2022,2022-03-31,T,F,425000,SE9 4HZ,E09000023,{E2D14904-F887-4C2D-E053-6B04A8C0422B},f7005d321fc61f292e298fd9afcabfc732adacc07aaea536be4a2b2727ffed30,85.0,6.0,11,54,83,England and Wales: 1930-1949
6830.98591549296,2019,2019-01-21,F,L,485000,SE6 4EJ,E09000023,{8A78B2B0-15B9-5CB0-E053-6B04A8C0F504},1523678939602017030211203656030498,71.0,,11,86,86,NO DATA!
6774.64788732394,2017,2017-04-28,F,L,481000,SE6 4EJ,E09000023,{582D0637-9B82-8F22-E053-6C04A8C01BAC},1523678939602017030211203656030498,71.0,,11,86,86,NO DATA!
5700.0,2016,2016-01-22,F,L,285000,SE8 5FB,E09000023,{3B7E0B90-7AFF-EA99-E050-A8C062057E77},1401536359252016011216392996060743,50.0,,11,89,89,NO DATA!
5480.32818532819,2016,2016-09-02,S,F,851643,SE4 2DT,E09000023,{3E0330EF-FC7A-8D89-E050-A8C062052140},562100139022010110615312831768440,155.4,7.0,11,63,63,England and Wales: 1900-1929
