priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
1392.85714285714,2019,2019-09-16,F,L,97500,E12 5NS,E09000025,{AC07BBD0-7CB6-0445-E053-6C04A8C01E31},84989999802019072521545546512158,70.0,3.0,11,79,80,England and Wales: 1967-1975
5329.67032967033,2023,2023-04-04,F,L,485000,E6 5AG,E09000025,{237B17FE-8ADF-22AC-E063-4804A8C0EA3A},3f38504a668d7a6fc6eb7b3ad1bc30236eb6e8cd3ec4efba60c2b86b4d6d0bb1,91.0,,11,84,84,2022
7907.14285714286,2019,2019-01-24,F,L,553500,E16 1YY,E09000025,{8355F009-7FC2-55C5-E053-6B04A8C0D090},1664396679962018091816462830888298,70.0,,11,86,86,NO DATA!
7108.43373493976,2021,2021-11-15,F,L,590000,E16 2SY,E09000025,{DE2D0CE0-3DE3-51EE-E053-6C04A8C00671},1631430459452018051711462299080452,83.0,,11,84,84,NO DATA!
6879.51807228916,2018,2018-06-29,F,L,571000,E16 2SY,E09000025,{773788C3-3EB4-2CE4-E053-6C04A8C05E57},1631430459452018051711462299080452,83.0,,11,84,84,NO DATA!
4754.35816164818,2021,2021-12-10,F,L,300000,E16 2RR,E09000025,{D93B27B1-71D6-3100-E053-6C04A8C08887},590079825052011021013054696090683,63.1,3.0,11,70,79,England and Wales: 2007 onwards
4278.92234548336,2015,2015-10-16,F,L,270000,E16 2RR,E09000025,{23B6165E-24D6-FCF4-E050-A8C0620577FA},590079825052011021013054696090683,63.1,3.0,11,70,79,England and Wales: 2007 onwards
4211.76470588235,2020,2020-06-24,T,F,358000,E6 3LF,E09000025,{AC07BBD0-7C16-0445-E053-6C04A8C01E31},1777033464612020011407241625900560,85.0,5.0,11,27,78,England and Wales: 1900-1929
4573.17073170732,2020,2020-01-06,T,F,375000,E6 3LF,E09000025,{9DBAD221-99F6-6EB3-E053-6B04A8C0F257},1011914819042014041120322410449898,82.0,4.0,12,56,86,England and Wales: 1900-1929
5053.1914893617,2021,2021-12-10,T,F,475000,E6 3DN,E09000025,{DBA933F9-4332-669D-E053-6B04A8C0AD56},1173157782432014121818543743978691,94.0,4.0,12,66,87,England and Wales: 1900-1929
6358.04597701149,2019,2019-10-31,T,F,553150,E15 1HH,E09000025,{98C75471-B8C2-72E9-E053-6B04A8C042F0},844402119022019041123084072818621,87.0,5.0,12,67,88,England and Wales: before 1900
5402.29885057471,2016,2016-10-25,T,F,470000,E15 1HH,E09000025,{42A5A709-0D24-56E8-E050-A8C06205331E},844402119022019041123084072818621,87.0,5.0,12,67,88,England and Wales: before 1900
5487.01298701299,2022,2022-10-28,T,F,422500,E12 6JE,E09000025,{EED73E75-763E-6AF3-E053-6C04A8C08ABA},1343121859842015071503160737759348,77.0,5.0,11,56,86,England and Wales: 1930-1949
7909.09090909091,2018,2018-05-03,F,L,609000,E16 2SJ,E09000025,{726BF13B-5AC8-0A46-E053-6C04A8C01D0D},1575824549962017091910040084328203,77.0,,11,83,83,NO DATA!
3913.04347826087,2019,2019-11-29,T,F,450000,E12 6PT,E09000025,{9DBAD221-99E4-6EB3-E053-6B04A8C0F257},940310819142013052921514005972718,115.0,7.0,11,65,80,England and Wales: 1900-1929
5862.06896551724,2023,2023-04-28,T,F,510000,E6 3LQ,E09000025,{1EAE3DF6-6D4A-9EB1-E063-4704A8C09D02},3e6251096cecd0be2316c6b68c402aa99e2b4e5339c3b2f3072ba7dd26b56aa1,87.0,4.0,11,62,84,England and Wales: 1930-1949
5555.55555555556,2019,2019-07-25,F,L,250000,E13 8JW,E09000025,{919FEC05-2115-9A90-E053-6C04A8C0A300},1676710069022018110615023041668698,45.0,3.0,11,66,77,England and Wales: 1930-1949
5855.55555555556,2016,2016-12-09,F,L,263500,E13 8JW,E09000025,{453D27A2-EC77-EF91-E050-A8C0630574D7},1676710069022018110615023041668698,45.0,3.0,11,66,77,England and Wales: 1930-1949
6562.5,2016,2016-12-16,F,L,420000,E16 2GZ,E09000025,{5376B386-0281-34C1-E053-6B04A8C09FF6},1473935429222016082414493886348946,64.0,,11,85,85,NO DATA!
6346.15384615385,2016,2016-12-16,F,L,330000,E16 2GZ,E09000025,{5376B386-01D5-34C1-E053-6B04A8C09FF6},1473974919262016082414492406748366,52.0,,11,84,84,NO DATA!
3489.58333333333,2015,2015-09-16,T,F,335000,E6 3NQ,E09000025,{6B8CC39D-2B57-4682-83CF-88B756E8D17A},1056803439602015050612171013750068,96.0,5.0,12,71,86,England and Wales: 1900-1929
4218.75,2019,2019-02-14,T,F,405000,E6 3NQ,E09000025,{85866A64-A53A-143F-E053-6B04A8C06A15},1056803439602015050612171013750068,96.0,5.0,12,71,86,England and Wales: 1900-1929
