priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
3636.36363636364,2017,2017-11-27,S,F,560000,IG3 9TD,E09000026,{61D8894D-CD4C-3DE6-E053-6C04A8C01207},1545327189642017052017183653139088,154.0,6.0,11,58,81,England and Wales: 1930-1949
5000.0,2017,2017-11-30,T,F,335000,IG1 2BF,E09000026,{61D8894D-CEA1-3DE6-E053-6C04A8C01207},1564055093332017073121342089778006,67.0,3.0,11,72,88,England and Wales: 1991-1995
4583.33333333333,2021,2021-05-14,F,L,220000,E11 2XA,E09000026,{CB0035E5-B468-58AE-E053-6B04A8C091AF},b6da087a26529fb614b0eaabe98c9008a2dcad20e12ff7795a86a1ed6ef2f89b,48.0,2.0,12,49,84,England and Wales: 1983-1990
5714.28571428571,2016,2016-09-30,T,F,600000,IG4 5LZ,E09000026,{404A5AF3-5DD0-CD2B-E050-A8C063055C7B},1007719579222015012920382033588345,105.0,5.0,12,48,84,England and Wales: 1900-1929
2870.37037037037,2018,2018-01-18,T,F,310000,IG6 3SP,E09000026,{666758D6-B8DA-3363-E053-6B04A8C0D74E},1595150312752017120719091994039959,108.0,4.0,11,55,77,England and Wales: 1950-1966
5469.00894928737,2023,2023-10-06,S,L,330000,IG8 8EE,E09000026,{1061746D-F15C-3C34-E063-4804A8C0F9E7},735588529942011122311072096492678,60.34,3.0,11,64,74,England and Wales: 1950-1966
5377.35849056604,2019,2019-10-31,S,F,570000,IG8 7QJ,E09000026,{9FF0D969-AB35-11ED-E053-6C04A8C06383},1721027965132019051517532854978701,106.0,5.0,11,48,86,England and Wales: 1930-1949
5493.82716049383,2023,2023-05-12,T,F,445000,IG8 8ED,E09000026,{09266DDB-B248-AF90-E063-4704A8C02087},5d42af94aec9fc9a81300abadb01a9d39727ea7fd49dce35ae0fa914556a51cf,81.0,4.0,11,63,86,England and Wales: 1900-1929
5533.98058252427,2022,2022-09-23,T,F,570000,IG8 8JJ,E09000026,{EED73E75-E58E-6AF3-E053-6C04A8C08ABA},72652719252018110413010890089748,103.0,6.0,11,54,83,England and Wales: 1930-1949
5637.75510204082,2018,2018-08-31,T,F,442000,IG5 0NB,E09000026,{79A74E21-6D10-1289-E053-6B04A8C01627},119740256752011062821162593290244,78.4,5.0,11,78,79,England and Wales: 2007 onwards
5666.66666666667,2018,2018-01-17,F,L,425000,IG8 8RT,E09000026,{64342BFE-0F71-422C-E053-6C04A8C0FB8A},719562809302011110209481096390498,75.0,3.0,11,78,80,England and Wales: 2003-2006
6606.3829787234,2022,2022-02-25,S,F,621000,IG8 7DU,E09000026,{DBA933F9-4063-669D-E053-6B04A8C0AD56},44f5831e631970c377beb9b6d333761991630a128373b40aced97afd21def409,94.0,5.0,11,55,77,England and Wales: 1930-1949
5411.76470588235,2024,2024-05-10,T,F,460000,RM6 4AW,E09000026,{1A0C5C63-0B18-7CBE-E063-4804A8C06C96},4bffb9996f4dbab010b6c39f855ab224f56f38262647c59eca450df7b7834b59,85.0,4.0,12,55,86,England and Wales: 1930-1949
5368.42105263158,2018,2018-10-04,T,F,408000,IG2 6QA,E09000026,{7C2D06FF-F460-4963-E053-6B04A8C07B97},1631159389022018051211290867528828,76.0,4.0,11,66,90,England and Wales: 1900-1929
6279.06976744186,2021,2021-09-23,S,F,540000,IG5 0NB,E09000026,{D93B27B0-97D3-3100-E053-6C04A8C08887},1366110178712015092110483591950334,86.0,4.0,11,62,85,England and Wales: 1950-1966
5476.19047619048,2022,2022-07-01,F,L,230000,E18 2PD,E09000026,{E53EDD2D-9818-83EC-E053-6B04A8C03A59},e8969a5feef10b41c59a281af450fca269162657b86c631ccd897db386d1cbfb,42.0,2.0,11,74,78,England and Wales: 1983-1990
7894.73684210526,2021,2021-06-15,F,L,300000,E18 1ET,E09000026,{E2D14905-08CE-4C2D-E053-6B04A8C0422B},28019adc6452814bce6e2dcb6799dcdd7af3abfa4246151406499a60d95a212f,38.0,,11,79,79,
3680.55555555556,2015,2015-05-29,T,F,397500,IG8 8JJ,E09000026,{D913F5A8-80C5-439F-97E3-ABE8F913318A},478977469352015060216130394050972,108.0,4.0,12,63,82,England and Wales: 1900-1929
3537.41496598639,2018,2018-01-15,T,F,520000,IG1 3SS,E09000026,{68FEB20B-5CAE-38DA-E053-6C04A8C051AE},1375841656952017071923451798930834,147.0,6.0,12,65,81,England and Wales: 1930-1949
