priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
11458.3333333333,2017,2017-05-19,T,F,825000,TW11 0HZ,E09000027,{5376B386-003A-34C1-E053-6B04A8C09FF6},847390239962012101913472742618362,72.0,5.0,11,49,79,England and Wales: 1930-1949
10952.380952381,2021,2021-02-26,F,L,1150000,TW1 2TD,E09000027,{C18F412B-604A-81A6-E053-6B04A8C0AD18},728226175652013031217140196970899,105.0,4.0,12,79,82,England and Wales: 1996-2002
9047.61904761905,2018,2018-04-25,F,L,950000,TW1 2TD,E09000027,{726BF13B-565E-0A46-E053-6C04A8C01D0D},728226175652013031217140196970899,105.0,4.0,12,79,82,England and Wales: 1996-2002
4210.52631578947,2016,2016-11-23,D,F,640000,TW2 7BZ,E09000027,{5A9D8B55-6EFC-68EB-E053-6B04A8C0D293},1358340165452015082720405396250631,152.0,7.0,11,56,72,England and Wales: 1950-1966
6325.30120481928,2015,2015-11-06,F,L,525000,TW9 2AB,E09000027,{2FD36066-18C7-4BF8-E050-A8C0620562B1},1211348629742014102310593627842478,83.0,,11,78,78,NO DATA!
6699.50738916256,2017,2017-08-04,T,F,1360000,TW9 4BT,E09000027,{582D0637-96C3-8F22-E053-6C04A8C01BAC},1548552719762017053119471072898883,203.0,9.0,11,72,83,England and Wales: 2003-2006
8000.0,2018,2018-12-11,F,L,640000,TW9 4FE,E09000027,{80E1AA98-B607-7BF8-E053-6C04A8C00BF2},1397322474832018041111542669978907,80.0,,11,89,89,NO DATA!
7546.58385093168,2022,2022-12-02,S,F,1215000,TW11 0LJ,E09000027,{F5E8B081-8A74-3A13-E053-6C04A8C060B7},224c7aff3ae100c2745eba33af354a5c7eb91e3fb48aa9ee4d2d415c3f945c87,161.0,8.0,11,62,83,England and Wales: 1900-1929
6727.2115708039,2017,2017-05-23,F,L,600000,TW9 4BX,E09000027,{5376B385-FF07-34C1-E053-6B04A8C09FF6},745268829762012013114074695398262,89.19,3.0,11,80,82,England and Wales: 2003-2006
11394.2407292314,2021,2021-09-24,T,F,1100000,TW10 6HS,E09000027,{D707E536-0911-0AD9-E053-6B04A8C067CC},629498030752011051611233797990187,96.54,5.0,11,78,80,England and Wales: 2003-2006
