priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
7093.02325581395,2018,2018-06-08,T,F,610000,E3 4QL,E09000030,{7011B109-A437-8ED6-E053-6B04A8C075C1},1575489809242017091818280251439888,86.0,5.0,11,57,87,England and Wales: 1967-1975
4098.76543209877,2016,2016-06-28,F,L,332000,E14 8SN,E09000030,{369DFB15-981C-3A19-E050-A8C0620518C6},1146263663152014052620430296240920,81.0,4.0,11,75,75,England and Wales: 1950-1966
11538.4615384615,2021,2021-06-16,T,F,1200000,E3 5BT,E09000030,{CB0035E5-74FE-58AE-E053-6B04A8C091AF},45109c6b7d540630b59933d2a58878b85ec534231687b9dc03ba9e6fccabb71f,104.0,5.0,11,56,72,England and Wales: before 1900
10416.6666666667,2020,2020-09-28,F,L,1750000,E1 6NQ,E09000030,{B5755FFD-B256-7D01-E053-6C04A8C036B6},130356669742018080802362245980668,168.0,4.0,11,62,65,England and Wales: 1967-1975
7769.23076923077,2020,2020-01-24,F,L,505000,E14 9ZT,E09000030,{9FF0D969-6986-11ED-E053-6C04A8C06383},1415102303632016071517054046978805,65.0,,11,83,83,NO DATA!
6668.26923076923,2016,2016-09-23,F,L,346750,E14 9BH,E09000030,{47844C7F-597B-8986-E050-A8C063056488},1455169519262016062714531805838956,52.0,,11,83,83,NO DATA!
5061.72839506173,2015,2015-03-02,F,L,410000,E14 3JB,E09000030,{44F032C5-16AD-401E-B58A-1927B32F943C},1240361238312014112402563492249536,81.0,3.0,11,72,76,England and Wales: 1983-1990
7500.0,2020,2020-10-28,F,L,330000,E3 5GH,E09000030,{D707E534-B618-0AD9-E053-6B04A8C067CC},1118817616452014040218221597040325,44.0,,11,82,82,NO DATA!
7873.01587301587,2016,2016-03-24,F,L,496000,E1 2QN,E09000030,{2FD36065-6AF0-4BF8-E050-A8C0620562B1},1326824549142015052916220738650618,63.0,3.0,12,73,78,England and Wales: 1967-1975
8064.51612903226,2019,2019-08-12,T,F,500000,E14 3EG,E09000030,{93E6821E-31F1-40FD-E053-6B04A8C0C1DF},27276369062012050418325402648442,62.0,3.0,11,60,90,England and Wales: 1983-1990
