priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
8902.43902439024,2024,2024-07-08,F,L,365000,E10 7JF,E09000031,{25E9DA80-588C-555E-E063-4704A8C066F2},474270a63a2fba9223a4b8fdfd9b92ca75535801724faab014da69c584708fd0,41.0,3.0,12,73,79,England and Wales: 1900-1929
8780.48780487805,2022,2022-01-28,F,L,360000,E10 7JF,E09000031,{F5E8B080-D343-3A13-E053-6C04A8C060B7},474270a63a2fba9223a4b8fdfd9b92ca75535801724faab014da69c584708fd0,41.0,3.0,12,73,79,England and Wales: 1900-1929
7272.72727272727,2016,2016-09-14,F,L,400000,E17 4BW,E09000031,{453D27A2-A38B-EF91-E050-A8C0630574D7},1126189985312014041719005292940521,55.0,3.0,11,58,75,England and Wales: 1900-1929
7500.0,2022,2022-05-31,F,L,442500,E11 1DA,E09000031,{12A8BAB5-D987-2125-E063-4804A8C08CC1},1696242058712019020719564496010862,59.0,3.0,11,70,79,England and Wales: 1900-1929
3201.69491525424,2015,2015-08-03,F,L,188900,E11 1DA,E09000031,{25EA59F9-623D-4D50-E050-A8C0630562D0},1696242058712019020719564496010862,59.0,3.0,11,70,79,England and Wales: 1900-1929
7352.94117647059,2022,2022-04-25,T,F,750000,E17 9JL,E09000031,{E073986B-13CD-2134-E053-6C04A8C0233B},425084025752020091809315327900479,102.0,8.0,12,68,84,England and Wales: 1900-1929
7152.45098039216,2021,2021-04-14,T,F,729550,E17 9JL,E09000031,{C8A3A576-1371-0425-E053-6C04A8C0947B},425084025752020091809315327900479,102.0,8.0,12,68,84,England and Wales: 1900-1929
9537.03703703704,2015,2015-11-09,T,F,515000,E17 9SA,E09000031,{2AC10E4F-60A0-1AF6-E050-A8C063052BA1},1123069939022014040919513602418154,54.0,3.0,11,72,91,England and Wales: 1983-1990
9722.22222222222,2022,2022-01-14,T,F,525000,E17 9SA,E09000031,{DBA933F9-4263-669D-E053-6B04A8C0AD56},1123069939022014040919513602418154,54.0,3.0,11,72,91,England and Wales: 1983-1990
4000.0,2021,2021-05-07,F,L,180000,E17 3AE,E09000031,{CB0035E5-B446-58AE-E053-6B04A8C091AF},914925339442013041622264105779868,45.0,2.0,11,64,76,England and Wales: 1976-1982
