priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad23cd,transactionid,lmk_key,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
19196.4285714286,2015,2015-10-26,F,L,1075000,SW1P 4LY,E09000033,{39140479-F4FC-3206-E050-A8C063057647},1231935119022014110516184919658764,56.0,,11,80,80,NO DATA!
9054.7263681592,2019,2019-09-02,F,L,1820000,W1H 7HE,E09000033,{93E6821E-99CB-40FD-E053-6B04A8C0C1DF},1349324509502015080220383130857098,201.0,3.0,11,64,82,England and Wales: 1930-1949
14235.2941176471,2020,2020-08-17,T,L,484000,SW1V 3EX,E09000033,{BC8936BB-C91E-0E2C-E053-6C04A8C0DBF4},1163231242262020012317313674278790,34.0,2.0,12,53,80,England and Wales: before 1900
37383.487654321,2019,2019-12-19,F,L,12112250,W1J 8AS,E09000033,{9DBAD221-5351-6EB3-E053-6B04A8C0F257},1591075419202017112312553255532478,324.0,,11,89,89,NO DATA!
22432.4324324324,2016,2016-08-30,T,F,4150000,NW8 9PY,E09000033,{3E0330F0-18EB-8D89-E050-A8C062052140},1100251549842014030318000122040578,185.0,6.0,11,48,80,England and Wales: 1930-1949
16666.6666666667,2022,2022-05-03,F,L,2500000,NW8 7PT,E09000033,{E2D14905-C953-4C2D-E053-6B04A8C0422B},2efdb6e22f03f40ad0cdf0afb0db3263dd91e785f666dfb05a65db6445f6804e,150.0,4.0,12,73,75,England and Wales: 1950-1966
9609.375,2017,2017-07-13,F,L,615000,W9 3BL,E09000033,{582D0637-491E-8F22-E053-6C04A8C01BAC},1468933669022016080519000276658696,64.0,3.0,11,61,76,England and Wales: 1900-1929
4275.95628415301,2016,2016-11-29,T,F,782500,SW1X 7BA,E09000033,{4C4EDFFF-ABBB-1854-E050-A8C063054F34},283437479402019121408443266112388,183.0,5.0,12,69,80,England and Wales: before 1900
24590.1639344262,2021,2021-03-26,T,F,4500000,SW1X 7BA,E09000033,{D4D42646-130E-27F6-E053-6C04A8C0A572},283437479402019121408443266112388,183.0,5.0,12,69,80,England and Wales: before 1900
7377.04918032787,2016,2016-03-31,T,L,1350000,SW1X 7BA,E09000033,{31FB4C17-ADCF-57B9-E050-A8C063053436},283437479402019121408443266112388,183.0,5.0,12,69,80,England and Wales: before 1900
23333.3333333333,2022,2022-03-08,F,L,2800000,SW1X 7BA,E09000033,{0B853950-3643-69A5-E063-4704A8C07DAC},1813914453452020072916194622200176,120.0,3.0,11,61,74,England and Wales: before 1900
9686.04651162791,2022,2022-02-16,F,L,833000,SW1V 2LE,E09000033,{E53EDD2E-04AB-83EC-E053-6B04A8C03A59},1556609598412017070116455896230355,86.0,5.0,11,71,74,England and Wales: 1950-1966
13725.4901960784,2018,2018-07-23,F,L,700000,W1W 5EF,E09000033,{75050A85-6E27-9A88-E053-6B04A8C02390},979395589202013072615222415172468,51.0,2.0,11,61,73,England and Wales: 1930-1949
16277.7777777778,2020,2020-09-07,F,L,1465000,W2 1GT,E09000033,{D707E534-BF47-0AD9-E053-6B04A8C067CC},1789197573712020040900463324000368,90.0,,11,87,87,NO DATA!
