pcds,lsoa11cd
BR1 1AA,E01000675
BR1 1AB,E01000676
BR1 1AD,E01000675
BR1 1AE,E01000677
BR1 1AF,E01000675
BR1 1AG,E01000675
BR1 1AH,E01000675
BR1 1AJ,E01000675
BR1 1AL,E01000676
BR1 1AX,E01000676
BR1 1BA,E01000670
BR1 1BB,E01000670
BR1 1BP,E01000674
BR1 1BQ,E01000675
BR1 1BS,E01000676
BR1 1BT,E01000829
BR1 1BU,E01000674
BR1 1BW,E01000670
BR1 1BX,E01000676
BR1 1BY,E01000676
BR1 1BZ,E01000676
BR1 1DA,E01000675
BR1 1DB,E01000676
BR1 1DD,E01000676
BR1 1DE,E01000674
BR1 1DF,E01000674
BR1 1DG,E01000674
BR1 1DH,E01000674
BR1 1DJ,E01000676
BR1 1DL,E01000674
BR1 1DN,E01000676
BR1 1DP,E01000670
BR1 1DQ,E01000674
BR1 1DR,E01000670
BR1 1DS,E01000675
BR1 1DT,E01000674
BR1 1DU,E01000670
BR1 1DW,E01000677
BR1 1DX,E01000676
BR1 1EA,E01000675
BR1 1EE,E01000675
BR1 1EG,E01000675
BR1 1EH,E01000676
BR1 1EJ,E01000675
BR1 1EL,E01000675
BR1 1EN,E01000675
BR1 1EP,E01000675
BR1 1ER,E01000675
BR1 1ES,E01000677
BR1 1EU,E01000677
BR1 1EW,E01000677
BR1 1EX,E01000677
BR1 1EY,E01000677
BR1 1EZ,E01000677
BR1 1GA,E01000677
BR1 1HA,E01000677
BR1 1HB,E01000677
BR1 1HD,E01000676
BR1 1HE,E01000677
BR1 1HF,E01000677
BR1 1HG,E01000677
BR1 1HH,E01000676
BR1 1HJ,E01000677
BR1 1HL,E01000677
BR1 1HN,E01000675
BR1 1HP,E01000675
BR1 1HQ,E01000677
BR1 1HR,E01000675
BR1 1HS,E01000675
BR1 1HT,E01000675
BR1 1HU,E01000675
BR1 1HW,E01000675
BR1 1HX,E01000675
BR1 1HY,E01000675
BR1 1HZ,E01000675
BR1 1JA,E01000675
BR1 1JB,E01000677
BR1 1JD,E01000676
BR1 1JF,E01000676
BR1 1JG,E01000676
BR1 1JH,E01000676
BR1 1JJ,E01000677
BR1 1JL,E01000676
BR1 1JN,E01000675
BR1 1JP,E01000675
BR1 1JQ,E01000675
BR1 1JR,E01000675
BR1 1JS,E01000677
BR1 1JT,E01000675
BR1 1JU,E01000675
BR1 1JW,E01000675
BR1 1JX,E01000675
BR1 1JY,E01000675
BR1 1LA,E01000675
BR1 1LB,E01000676
BR1 1LD,E01000675
BR1 1LE,E01000675
BR1 1LF,E01000675
BR1 1LG,E01000675
BR1 1LH,E01000675
BR1 1LJ,E01000675
BR1 1LL,E01000675
BR1 1LN,E01000675
BR1 1LP,E01000675
BR1 1LQ,E01000675
BR1 1LR,E01000675
BR1 1LS,E01000675
BR1 1LT,E01000675
BR1 1LU,E01000675
BR1 1LW,E01000675
BR1 1LX,E01000675
BR1 1LY,E01000676
BR1 1LZ,E01000675
BR1 1NA,E01000676
BR1 1NB,E01000677
BR1 1ND,E01000676
BR1 1NE,E01000676
BR1 1NF,E01000676
BR1 1NG,E01000676
BR1 1NH,E01000675
BR1 1NJ,E01000676
BR1 1NL,E01000676
BR1 1NN,E01000676
BR1 1NP,E01000676
BR1 1NQ,E01000676
BR1 1NR,E01000675
BR1 1NS,E01000675
BR1 1NT,E01000675
BR1 1NU,E01000675
BR1 1NW,E01000675
BR1 1NX,E01000675
BR1 1NY,E01000676
BR1 1NZ,E01000676
BR1 1PA,E01000676
BR1 1PB,E01000676
BR1 1PD,E01000676
BR1 1PE,E01000676
BR1 1PF,E01000676
BR1 1PG,E01000676
BR1 1PH,E01000676
BR1 1PJ,E01000676
BR1 1PL,E01000676
BR1 1PN,E01000676
BR1 1PP,E01000675
BR1 1PQ,E01000676
BR1 1PR,E01000676
BR1 1PS,E01000676
BR1 1PT,E01000674
BR1 1PU,E01000676
BR1 1PW,E01000676
BR1 1PX,E01000676
BR1 1PY,E01000676
BR1 1PZ,E01000676
BR1 1QA,E01000676
BR1 1QB,E01000676
BR1 1QD,E01000677
BR1 1QE,E01000675
BR1 1QF,E01000676
BR1 1QG,E01000676
BR1 1QH,E01000675
BR1 1QJ,E01000675
BR1 1QL,E01000675
BR1 1QN,E01000675
BR1 1QP,E01000675
BR1 1QQ,E01000675
BR1 1QR,E01000675
BR1 1QS,E01000676
BR1 1QT,E01000675
BR1 1QU,E01000675
BR1 1QW,E01000675
BR1 1QX,E01000676
BR1 1QY,E01000677
BR1 1RA,E01000676
BR1 1RB,E01000675
BR1 1RD,E01000676
BR1 1RE,E01000676
BR1 1RF,E01000675
BR1 1RG,E01000676
BR1 1RH,E01000675
BR1 1RJ,E01000676
BR1 1RL,E01000676
BR1 1RN,E01000676
BR1 1RP,E01000675
BR1 1RQ,E01000675
BR1 1RR,E01000676
BR1 1RS,E01000676
BR1 1RT,E01000676
BR1 1RU,E01000676
BR1 1RW,E01000676
BR1 1RX,E01000676
BR1 1RY,E01000676
BR1 1RZ,E01000676
BR1 1SA,E01000676
BR1 1SB,E01000675
BR1 1SD,E01000675
BR1 1SE,E01000675
BR1 1SG,E01000675
BR1 1SH,E01000676
BR1 1SJ,E01000675
BR1 1SP,E01000675
BR1 1SR,E01000675
BR1 1SS,E01000675
BR1 1ST,E01000675
BR1 1SU,E01000675
BR1 1SZ,E01000675
BR1 1TA,E01000675
BR1 1TB,E01000677
BR1 1TD,E01000675
BR1 1TE,E01000676
BR1 1TF,E01000675
BR1 1TG,E01000675
BR1 1TH,E01000677
BR1 1TJ,E01000676
BR1 1TL,E01000675
BR1 1TN,E01000675
BR1 1TP,E01000676
BR1 1TQ,E01000675
BR1 1TR,E01000675
BR1 1TS,E01000675
BR1 1TT,E01000675
BR1 1TU,E01000675
BR1 1TW,E01000675
BR1 1TX,E01000677
BR1 1TY,E01000676
BR1 1UA,E01000676
BR1 1UB,E01000676
BR1 1UD,E01000676
BR1 1UE,E01000676
BR1 1UF,E01000677
BR1 1UG,E01000677
BR1 1UH,E01000676
BR1 1WA,E01000676
BR1 1WB,E01000676
BR1 1WD,E01000676
BR1 1WE,E01000676
BR1 1WF,E01000676
BR1 1WG,E01000676
BR1 1WH,E01000676
BR1 1WJ,E01000676
BR1 1WL,E01000676
BR1 1WN,E01000676
BR1 1WP,E01000676
BR1 1WQ,E01000676
BR1 1WR,E01000676
BR1 1WS,E01000676
BR1 1WT,E01000676
BR1 1WU,E01000676
BR1 1WW,E01000676
BR1 1WX,E01000676
BR1 1WY,E01000676
BR1 1WZ,E01000676
BR1 1XA,E01000676
BR1 1XB,E01000676
BR1 1XD,E01000676
BR1 1XE,E01000676
BR1 1XF,E01000676
BR1 1XU,E01000676
BR1 1XW,E01000676
BR1 1XX,E01000676
BR1 1XY,E01000676
BR1 1XZ,E01000676
BR1 1YW,E01000676
BR1 1YX,E01000676
BR1 1YZ,E01000676
BR1 1ZA,E01000676
BR1 1ZB,E01000676
BR1 1ZD,E01000676
BR1 1ZE,E01000676
BR1 1ZF,E01000676
BR1 1ZG,E01000676
BR1 1ZH,E01000676
BR1 1ZJ,E01000676
BR1 1ZL,E01000676
BR1 1ZN,E01000676
BR1 1ZP,E01000676
BR1 1ZQ,E01000676
BR1 1ZR,E01000676
BR1 1ZS,E01000676
BR1 1ZU,E01000676
BR1 1ZW,E01000676
BR1 1ZX,E01000676
BR1 1ZY,E01000676
BR1 1ZZ,E01000676
BR1 2AA,E01000645
BR1 2AB,E01000649
BR1 2AD,E01000649
BR1 2AE,E01000649
BR1 2AF,E01000649
BR1 2AG,E01000649
BR1 2AH,E01000649
BR1 2AJ,E01000649
BR1 2AL,E01000649
BR1 2AN,E01000649
BR1 2AP,E01000649
BR1 2AQ,E01000649
BR1 2AR,E01000649
BR1 2AS,E01000649
BR1 2AT,E01000649
BR1 2AU,E01000649
BR1 2AW,E01000649
BR1 2AX,E01000649
BR1 2AY,E01000649
BR1 2AZ,E01000649
BR1 2BA,E01000649
BR1 2BB,E01000649
BR1 2BD,E01000649
BR1 2BE,E01000649
BR1 2BF,E01000649
BR1 2BG,E01000652
BR1 2BH,E01000649
BR1 2BJ,E01000649
BR1 2BL,E01000648
BR1 2BN,E01000648
BR1 2BP,E01000648
BR1 2BQ,E01000649
BR1 2BS,E01000648
BR1 2BT,E01000648
BR1 2BU,E01000651
BR1 2BW,E01000648
BR1 2BX,E01000651
BR1 2BY,E01000651
BR1 2BZ,E01000651
BR1 2DA,E01000651
BR1 2DB,E01000651
BR1 2DD,E01000651
BR1 2DE,E01000651
BR1 2DF,E01000651
BR1 2DG,E01000651
BR1 2DH,E01000651
BR1 2DJ,E01000651
BR1 2DL,E01000651
BR1 2DN,E01000651
BR1 2DP,E01000651
BR1 2DQ,E01000651
BR1 2DR,E01000648
BR1 2DS,E01000648
BR1 2DT,E01000648
BR1 2DU,E01000648
BR1 2DW,E01000651
BR1 2DX,E01000648
BR1 2DY,E01000648
BR1 2DZ,E01000648
BR1 2EA,E01000650
BR1 2EB,E01000651
BR1 2ED,E01000652
BR1 2EE,E01000651
BR1 2EF,E01000651
BR1 2EG,E01000651
BR1 2EH,E01000651
BR1 2EJ,E01000651
BR1 2EL,E01000650
BR1 2EN,E01000651
BR1 2EP,E01000652
BR1 2EQ,E01000651
BR1 2ER,E01000652
BR1 2ES,E01000652
BR1 2ET,E01000651
BR1 2EU,E01000651
BR1 2EW,E01000651
BR1 2EX,E01000651
BR1 2EY,E01000652
BR1 2EZ,E01000652
BR1 2FA,E01000649
BR1 2FB,E01000650
BR1 2FD,E01000650
BR1 2FE,E01000649
BR1 2FF,E01000649
BR1 2FG,E01000650
BR1 2FH,E01000650
BR1 2FJ,E01000650
BR1 2FL,E01000650
BR1 2FN,E01000650
BR1 2FP,E01000650
BR1 2FQ,E01000649
BR1 2FR,E01000649
BR1 2FS,E01000649
BR1 2FT,E01000649
BR1 2FU,E01000649
BR1 2FW,E01000649
BR1 2FX,E01000649
BR1 2FY,E01000649
BR1 2GA,E01000650
BR1 2GB,E01000648
BR1 2GD,E01000649
BR1 2GE,E01000649
BR1 2GF,E01000649
BR1 2GJ,E01000645
BR1 2GL,E01000650
BR1 2GN,E01000653
