postcode,borough_outbound,borough_name,borough_id
IG11 0AB,1_IG11,Barking_and_Dagenham,1
IG11 0AU,1_IG11,Barking_and_Dagenham,1
IG11 0BH,1_IG11,Barking_and_Dagenham,1
IG11 0BJ,1_IG11,Barking_and_Dagenham,1
IG11 0BL,1_IG11,Barking_and_Dagenham,1
IG11 0BN,1_IG11,Barking_and_Dagenham,1
IG11 0BQ,1_IG11,Barking_and_Dagenham,1
IG11 0BT,1_IG11,Barking_and_Dagenham,1
IG11 0BW,1_IG11,Barking_and_Dagenham,1
IG11 0EY,1_IG11,Barking_and_Dagenham,1
IG11 0FA,1_IG11,Barking_and_Dagenham,1
IG11 0FL,1_IG11,Barking_and_Dagenham,1
IG11 0FQ,1_IG11,Barking_and_Dagenham,1
IG11 0FS,1_IG11,Barking_and_Dagenham,1
IG11 0FT,1_IG11,Barking_and_Dagenham,1
IG11 0FW,1_IG11,Barking_and_Dagenham,1
IG11 0FX,1_IG11,Barking_and_Dagenham,1
IG11 0GD,1_IG11,Barking_and_Dagenham,1
IG11 0GE,1_IG11,Barking_and_Dagenham,1
IG11 0GF,1_IG11,Barking_and_Dagenham,1
IG11 0GG,1_IG11,Barking_and_Dagenham,1
IG11 0GH,1_IG11,Barking_and_Dagenham,1
IG11 0GJ,1_IG11,Barking_and_Dagenham,1
IG11 0GN,1_IG11,Barking_and_Dagenham,1
IG11 0GP,1_IG11,Barking_and_Dagenham,1
IG11 0GQ,1_IG11,Barking_and_Dagenham,1
IG11 0GR,1_IG11,Barking_and_Dagenham,1
IG11 0GS,1_IG11,Barking_and_Dagenham,1
IG11 0GT,1_IG11,Barking_and_Dagenham,1
IG11 0GU,1_IG11,Barking_and_Dagenham,1
IG11 0GW,1_IG11,Barking_and_Dagenham,1
IG11 0GX,1_IG11,Barking_and_Dagenham,1
IG11 0GY,1_IG11,Barking_and_Dagenham,1
IG11 0GZ,1_IG11,Barking_and_Dagenham,1
IG11 0HA,1_IG11,Barking_and_Dagenham,1
IG11 0JY,1_IG11,Barking_and_Dagenham,1
IG11 0JZ,1_IG11,Barking_and_Dagenham,1
IG11 0LA,1_IG11,Barking_and_Dagenham,1
IG11 0LB,1_IG11,Barking_and_Dagenham,1
IG11 0LD,1_IG11,Barking_and_Dagenham,1
IG11 0LE,1_IG11,Barking_and_Dagenham,1
IG11 0LF,1_IG11,Barking_and_Dagenham,1
IG11 0LH,1_IG11,Barking_and_Dagenham,1
IG11 0LJ,1_IG11,Barking_and_Dagenham,1
IG11 0LL,1_IG11,Barking_and_Dagenham,1
IG11 0LP,1_IG11,Barking_and_Dagenham,1
IG11 0LQ,1_IG11,Barking_and_Dagenham,1
IG11 0LR,1_IG11,Barking_and_Dagenham,1
IG11 0LS,1_IG11,Barking_and_Dagenham,1
IG11 0LX,1_IG11,Barking_and_Dagenham,1
IG11 0LY,1_IG11,Barking_and_Dagenham,1
IG11 0NF,1_IG11,Barking_and_Dagenham,1
IG11 0NG,1_IG11,Barking_and_Dagenham,1
IG11 0NH,1_IG11,Barking_and_Dagenham,1
IG11 0NJ,1_IG11,Barking_and_Dagenham,1
IG11 0NL,1_IG11,Barking_and_Dagenham,1
IG11 0NN,1_IG11,Barking_and_Dagenham,1
IG11 0NP,1_IG11,Barking_and_Dagenham,1
IG11 0NQ,1_IG11,Barking_and_Dagenham,1
IG11 0NR,1_IG11,Barking_and_Dagenham,1
IG11 0NS,1_IG11,Barking_and_Dagenham,1
IG11 0NT,1_IG11,Barking_and_Dagenham,1
IG11 0NU,1_IG11,Barking_and_Dagenham,1
IG11 0NW,1_IG11,Barking_and_Dagenham,1
IG11 0NX,1_IG11,Barking_and_Dagenham,1
IG11 0NZ,1_IG11,Barking_and_Dagenham,1
IG11 0PB,1_IG11,Barking_and_Dagenham,1
IG11 0PD,1_IG11,Barking_and_Dagenham,1
IG11 0PF,1_IG11,Barking_and_Dagenham,1
IG11 0PG,1_IG11,Barking_and_Dagenham,1
IG11 0PH,1_IG11,Barking_and_Dagenham,1
IG11 0PJ,1_IG11,Barking_and_Dagenham,1
IG11 0PL,1_IG11,Barking_and_Dagenham,1
IG11 0PN,1_IG11,Barking_and_Dagenham,1
IG11 0PP,1_IG11,Barking_and_Dagenham,1
IG11 0PQ,1_IG11,Barking_and_Dagenham,1
IG11 0PS,1_IG11,Barking_and_Dagenham,1
IG11 0PT,1_IG11,Barking_and_Dagenham,1
IG11 0PU,1_IG11,Barking_and_Dagenham,1
IG11 0PW,1_IG11,Barking_and_Dagenham,1
IG11 0PY,1_IG11,Barking_and_Dagenham,1
IG11 0QA,1_IG11,Barking_and_Dagenham,1
IG11 0QJ,1_IG11,Barking_and_Dagenham,1
IG11 0QL,1_IG11,Barking_and_Dagenham,1
IG11 0QQ,1_IG11,Barking_and_Dagenham,1
IG11 0QX,1_IG11,Barking_and_Dagenham,1
IG11 0QY,1_IG11,Barking_and_Dagenham,1
IG11 0QZ,1_IG11,Barking_and_Dagenham,1
IG11 0RB,1_IG11,Barking_and_Dagenham,1
IG11 0RD,1_IG11,Barking_and_Dagenham,1
IG11 0RE,1_IG11,Barking_and_Dagenham,1
IG11 0TE,1_IG11,Barking_and_Dagenham,1
IG11 0TF,1_IG11,Barking_and_Dagenham,1
IG11 0TH,1_IG11,Barking_and_Dagenham,1
IG11 0TN,1_IG11,Barking_and_Dagenham,1
IG11 0TX,1_IG11,Barking_and_Dagenham,1
IG11 0TY,1_IG11,Barking_and_Dagenham,1
IG11 0UA,1_IG11,Barking_and_Dagenham,1
IG11 0UB,1_IG11,Barking_and_Dagenham,1
IG11 0UD,1_IG11,Barking_and_Dagenham,1
IG11 0UG,1_IG11,Barking_and_Dagenham,1
IG11 0UH,1_IG11,Barking_and_Dagenham,1
